# domain	status	wayback_history(first-last, 確認できた分のみ)
akiba-toreca.com	AVAILABLE	-
boardgamecafe.tokyo	AVAILABLE	-
card-souba.com	registered	-
cardbar.com	registered	-
cardbar.jp	AVAILABLE	-
cardbar.tokyo	AVAILABLE	-
cardcafe-tokyo.com	AVAILABLE	-
cardcafe.jp	AVAILABLE	-
cardcafe.tokyo	AVAILABLE	-
cardgame.tokyo	AVAILABLE	-
cards.tokyo	AVAILABLE	20180904-20250331
cardshop-akiba.com	AVAILABLE	-
cardshop.tokyo	registered	-
duel-bank.com	AVAILABLE	-
duel-chart.com	AVAILABLE	-
duel-kaigai.com	AVAILABLE	-
duel-lab.com	AVAILABLE	-
duel-navi.com	AVAILABLE	-
duel-navi.jp	AVAILABLE	-
duel-souba.com	AVAILABLE	-
duel.tokyo	registered	-
duelbar.com	registered	-
duelbar.jp	AVAILABLE	-
duelcafe.com	AVAILABLE	-
duelcafe.jp	AVAILABLE	-
duelcafe.net	AVAILABLE	-
duelcafe.tokyo	AVAILABLE	-
duelspace.com	registered	-
duelspace.jp	AVAILABLE	-
duelspace.tokyo	AVAILABLE	-
gacha.tokyo	registered	-
game-kaitori.com	registered	-
game-souba.com	registered	-
gamebar.tokyo	registered	-
gamecafe.tokyo	AVAILABLE	-
kaitori.tokyo	registered	-
pokeca-db.com	AVAILABLE	-
pokeca-index.com	AVAILABLE	-
pokeca-kaitori.com	registered	-
pokeca-kaitori.jp	AVAILABLE	-
pokeca-lab.com	registered	-
pokeca-lab.jp	AVAILABLE	-
pokeca-log.com	registered	-
pokeca-map.com	registered	-
pokeca-map.jp	AVAILABLE	-
pokeca-market.com	AVAILABLE	-
pokeca-market.jp	AVAILABLE	-
pokeca-navi.com	registered	-
pokeca-navi.jp	registered	-
pokeca-navi.net	AVAILABLE	-
pokeca-price.com	registered	-
pokeca-souba.com	registered	-
pokeca-souba.jp	AVAILABLE	-
pokeca-souba.net	AVAILABLE	-
pokeca.tokyo	AVAILABLE	20190401-20251225
pokecafe.com	registered	-
pokecafe.jp	AVAILABLE	-
pokecafe.tokyo	AVAILABLE	-
retrogame.tokyo	registered	-
souba.tokyo	AVAILABLE	-
tcg-bank.com	registered	-
tcg-chart.com	AVAILABLE	-
tcg-db.com	AVAILABLE	-
tcg-kaigai.com	AVAILABLE	-
tcg-kaitori.com	registered	-
tcg-kaitori.jp	AVAILABLE	20111006-20180323
tcg-lab.com	registered	-
tcg-lab.jp	AVAILABLE	-
tcg-map.com	registered	-
tcg-market.com	registered	-
tcg-navi.com	registered	-
tcg-navi.jp	AVAILABLE	-
tcg-price.com	registered	-
tcg-soken.com	AVAILABLE	-
tcg-souba.com	AVAILABLE	-
tcg-souba.jp	AVAILABLE	-
tcg-souba.net	AVAILABLE	-
tcg.tokyo	AVAILABLE	20171217-20190913
tcgcafe.com	registered	-
tcgcafe.jp	AVAILABLE	-
tcgcafe.tokyo	AVAILABLE	-
toreca-akiba.com	AVAILABLE	-
toreca-bank.com	AVAILABLE	-
toreca-chart.com	AVAILABLE	-
toreca-db.com	AVAILABLE	-
toreca-index.com	AVAILABLE	-
toreca-kaigai.com	AVAILABLE	-
toreca-kaitori.com	registered	-
toreca-kaitori.jp	AVAILABLE	20130408-20200812
toreca-lab.com	registered	-
toreca-lab.jp	AVAILABLE	-
toreca-log.com	AVAILABLE	-
toreca-map.com	AVAILABLE	-
toreca-map.jp	AVAILABLE	-
toreca-market.com	AVAILABLE	-
toreca-market.jp	AVAILABLE	-
toreca-nagoya.com	AVAILABLE	-
toreca-navi.com	registered	-
toreca-navi.jp	AVAILABLE	-
toreca-navi.net	AVAILABLE	-
toreca-osaka.com	AVAILABLE	-
toreca-price.com	AVAILABLE	-
toreca-shop.tokyo	AVAILABLE	-
toreca-soken.com	AVAILABLE	-
toreca-souba.com	registered	-
toreca-souba.jp	AVAILABLE	-
toreca-souba.net	AVAILABLE	-
toreca.tokyo	AVAILABLE	-
torecacafe.com	AVAILABLE	-
torecacafe.jp	AVAILABLE	-
torecacafe.net	AVAILABLE	-
torecacafe.tokyo	AVAILABLE	-
tradingcard.tokyo	AVAILABLE	-
