# domain	status	wayback_history(first-last)
salon-navi.jp	AVAILABLE	20051106-20231004
nail-navi.com	AVAILABLE	20060706-20210224
esthe-hikaku.com	AVAILABLE	20070704-20220107
esthe-map.com	AVAILABLE	20080919-20211016
esthe-navi.jp	AVAILABLE	20050612-20140103
cosme-press.com	AVAILABLE	20180203-20250227
biyou-map.jp	AVAILABLE	20131102-20180807
biyoushi-navi.com	AVAILABLE	20080613-20130226
eternal-labyrinth.jp	AVAILABLE	-
eternal-labyrinth.com	AVAILABLE	-
biyou-times.com	AVAILABLE	-
biyou-press.com	AVAILABLE	-
cosme-souba.com	AVAILABLE	-
datsumo-souba.com	AVAILABLE	-
biyou.tokyo	AVAILABLE	-
cosme.tokyo	AVAILABLE	-
hairset.tokyo	AVAILABLE	-
matsuge.tokyo	AVAILABLE	-
musee-pla.com	registered	-
ginza-calla.jp	registered	-
c-3-esthe.com	registered	-
datsumo-labo.jp	registered	-
vitule.jp	registered	-
welq.jp	registered	-
cafy.jp	registered	-
cuta.jp	registered	-
mery.jp	registered	-
jooy.jp	registered	-
goin.jp	registered	-
puul.jp	registered	-
upin.jp	registered	-
iemo.jp	registered	-
find-travel.jp	registered	-
4meee.com	registered	-
curet.jp	registered	-
biyou-navi.com	registered	-
biyou-note.com	registered	-
biyou-labo.com	registered	-
datsumo-navi.com	registered	-
datsumo-hikaku.com	registered	-
datsumo-map.com	registered	-
datsumo-guide.com	registered	-
esthe-navi.com	registered	-
cosme-navi.com	registered	-
cosme-labo.com	registered	-
skincare-navi.com	registered	-
biyou-navi.jp	registered	-
biyou-media.jp	registered	-
datsumo-navi.jp	registered	-
datsumo-hikaku.jp	registered	-
cosme-navi.jp	registered	-
esthe.tokyo	registered	-
datsumo.tokyo	registered	-
nail.tokyo	registered	-
salon.tokyo	registered	-
skincare.tokyo	registered	-
beauty.tokyo	registered	-
