# domain	status	wayback_history(first-last)	expires
nisa-navi.com	AVAILABLE	20130804-20260315	-
shoken-navi.com	AVAILABLE	20160313-20180104	-
toushi-navi.jp	AVAILABLE	20130725-20130725	-
ideco.tokyo	AVAILABLE	20180810-20180810	-
greeninfralending.jp	AVAILABLE	-	-
cashflowfinance.jp	AVAILABLE	-	-
smart-days.jp	AVAILABLE	-	-
kabu-map.com	AVAILABLE	-	-
kabu-hikaku.com	AVAILABLE	-	-
ideco-navi.com	AVAILABLE	-	-
ideco-navi.jp	AVAILABLE	-	-
toushin-navi.jp	AVAILABLE	-	-
fx.tokyo	AVAILABLE	-	-
money.tokyo	AVAILABLE	-	-
kinyu.tokyo	AVAILABLE	-	-
sbi-sociallending.jp	registered	-	2026/08/31
crowdlease.jp	registered	-	2026/10/31
maneo.jp	registered	-	2026/10/31
kinyu-navi.jp	registered	-	2026/10/31
toushi-hikaku.jp	registered	-	2026/11/30
fx-hikaku.jp	registered	-	2027/01/31
money-navi.jp	registered	-	2027/01/31
moneyzine.jp	registered	-	2027/02/28
daily-ands.jp	registered	-	2027/02/28
nisa-navi.jp	registered	-	2027/03/31
kabu-navi.jp	registered	-	2027/04/30
fx-navi.jp	registered	-	2027/04/30
smartdays.jp	registered	-	2027/04/30
gaiafunding.jp	registered	-	2027/05/31
americanfunding.jp	registered	-	2027/05/31
money-goround.jp	registered	-	2027/05/31
lucky-bank.jp	registered	-	2027/06/30
greeninfra.jp	registered	-	2027/08/31
trust-lending.net	registered	-	-
toushi-navi.com	registered	-	-
toushi-hikaku.com	registered	-	-
kabu-navi.com	registered	-	-
fx-hikaku.com	registered	-	-
shisan-navi.com	registered	-	-
kabu.tokyo	registered	-	-
nisa.tokyo	registered	-	-
shisan.tokyo	registered	-	-
toushi.tokyo	registered	-	-
