id,price,users,start,months,rate,name
5933,11000,349,2014/08/04,144.8,2.41,HT_Endurance_Line
5939,19800,174,2014/08/28,144.0,1.21,インジケーターつくーる
5941,39800,146,2014/09/01,143.9,1.01,EAつくーる＆インジケーターつくーるセット販売
6599,10000,112,2014/11/22,141.2,0.79,HT_Turning_Point
7311,18000,127,2015/04/03,136.8,0.93,HT_Sec_Chart
7561,1980,1034,2015/05/21,135.2,7.65,インジケーターつくーる【1ヶ月版】
8774,6900,142,2016/01/08,127.6,1.11,【自分のトレンドラインで】LINE TRADER【自動売買】
11836,49800,444,2017/06/04,110.8,4.01,【RCIを極めて勝つ！！】RCIとの組み合わせで威力を発揮するインジケーター【BODSOR・mBDSR】と手法・ケーススタディ（PDF） ★
15116,4900,1091,2018/09/15,95.4,11.44,【EATradeStop】経済指標発表や任意の時間でEAを停止、開始できるMT4トレードツール
15797,6000,3242,2018/11/14,93.4,34.7,MT4ラインオートコピー＋ChangeObject
15799,3500,12695,2018/11/14,93.4,135.88,MT4 チャート検証用インジケーター【ShiftChart】
15803,3000,553,2018/11/14,93.4,5.92,MT4CustomCandle
15804,3800,415,2018/11/14,93.4,4.44,MT4ShortLine
15809,4800,1118,2018/11/15,93.4,11.97,MT5ラインオートコピー
15813,3500,2553,2018/11/15,93.4,27.33,MT5ShiftChart
15815,3500,234,2018/11/15,93.4,2.51,MT4ショートカットキー
15816,3800,94,2018/11/15,93.4,1.01,MT5ShortLine
15837,3500,185,2018/11/16,93.4,1.98,MT5ショートカットキー
15984,560,3020,2018/11/23,93.1,32.43,"ForexTester用 日本時間表示 &amp; 時差調整 インジケーター (FT6,FT5,FT4,FT3,FT2 対応)"
15985,7000,2016,2018/11/23,93.1,21.65,ReviewCandleChart for MT4 トリセツ＆ライセンスキー
17547,9800,18,2019/03/30,89.0,0.2,ボリンジャーバンド態を全ての通貨・時間足を監視するヤバイツール
18117,3000,222,2019/04/28,88.0,2.52,MT4AutoSquare
18260,3000,424,2019/05/08,87.7,4.84,MT4フリーハンドライン
18580,6800,657,2019/05/26,87.1,7.54,MT4 ダウ理論トレンドモニター
18702,4800,750,2019/06/02,86.9,8.63,MT4VT_Chart
18947,4800,189,2019/06/15,86.4,2.19,MT4VT_Trade
20367,1500,268,2019/09/03,83.8,3.2,MT4/MT5で日本時間を表示するインディケーター
21171,29800,58,2019/10/17,82.4,0.7,MT4/MT5『世界基準ＭＡPro３』市場が反応しやすい主要ＭＡ期間自動計算インジケーター
21435,3000,914,2019/11/01,81.9,11.16,環境認識2.0
21527,4800,77,2019/11/06,81.7,0.94,MT5VT_Chart
24226,860,908,2020/05/28,75.0,12.11,"ForexTester用 ラウンドナンバー キリ番 時間 グリッド インジケーター (FT2,FT3,FT4,FT5 対応)"
24650,7000,512,2020/07/09,73.6,6.95,【MT5】ReviewCandleChart for MT5 トリセツ＆ライセンスキー
25019,3000,238,2020/08/11,72.5,3.28,MT4ClickStamp
25325,5980,151,2020/09/07,71.6,2.11,ダウ理論のアラート・メール送信サインツール
25916,5980,49,2020/10/31,69.9,0.7,[MT5]【ダウ理論】トレンドライン＆水平線自動描画ツール
26799,3000,2508,2020/12/27,68.0,36.88,【MT4】ロット自動調整エントリーツール
