商品名,販売額,手数料,仕入れ値,仕入れ可能数,出典
クララ,75000,10800,28555,,コピー～ポケモン利益計算(2022-10-16)
ユウリ,150000,18300,41000,,コピー～ポケモン利益計算(2022-10-16)
サナ,55999,8899.9,17888,,コピー～ポケモン利益計算(2022-10-16)
ルリナ,83000,11600,18500,,コピー～ポケモン利益計算(2022-10-16)
セレナ,179000,21200,46500,,コピー～ポケモン利益計算(2022-10-16)
観光客,300000,33300,111000,,コピー～ポケモン利益計算(2022-10-09)
ソニア,169999,20299.9,43521,,コピー～ポケモン利益計算(2022-10-09)
マリィのプライド,97777,13077.7,35000,,コピー～ポケモン利益計算(2022-10-09)
マリィ,91000,12400,45000,,コピー～ポケモン利益計算(2022-10-09)
カイ,71800,10480,34333,,コピー～ポケモン利益計算(2022-10-09)
