bank,date,time_local,utc
FOMC,2016-01-27,14:00,2016-01-27 19:00
FOMC,2016-03-16,14:00,2016-03-16 18:00
FOMC,2016-04-27,14:00,2016-04-27 18:00
FOMC,2016-06-15,14:00,2016-06-15 18:00
FOMC,2016-07-27,14:00,2016-07-27 18:00
FOMC,2016-09-21,14:00,2016-09-21 18:00
FOMC,2016-11-02,14:00,2016-11-02 18:00
FOMC,2016-12-14,14:00,2016-12-14 19:00
FOMC,2017-02-01,14:00,2017-02-01 19:00
FOMC,2017-03-15,14:00,2017-03-15 18:00
FOMC,2017-05-03,14:00,2017-05-03 18:00
FOMC,2017-06-14,14:00,2017-06-14 18:00
FOMC,2017-07-26,14:00,2017-07-26 18:00
FOMC,2017-09-20,14:00,2017-09-20 18:00
FOMC,2017-11-01,14:00,2017-11-01 18:00
FOMC,2017-12-13,14:00,2017-12-13 19:00
FOMC,2018-01-31,14:00,2018-01-31 19:00
FOMC,2018-03-21,14:00,2018-03-21 18:00
FOMC,2018-05-02,14:00,2018-05-02 18:00
FOMC,2018-06-13,14:00,2018-06-13 18:00
FOMC,2018-08-01,14:00,2018-08-01 18:00
FOMC,2018-09-26,14:00,2018-09-26 18:00
FOMC,2018-11-08,14:00,2018-11-08 19:00
FOMC,2018-12-19,14:00,2018-12-19 19:00
FOMC,2019-01-30,14:00,2019-01-30 19:00
FOMC,2019-03-20,14:00,2019-03-20 18:00
FOMC,2019-05-01,14:00,2019-05-01 18:00
FOMC,2019-06-19,14:00,2019-06-19 18:00
FOMC,2019-07-31,14:00,2019-07-31 18:00
FOMC,2019-09-18,14:00,2019-09-18 18:00
FOMC,2019-10-30,14:00,2019-10-30 18:00
FOMC,2019-12-11,14:00,2019-12-11 19:00
FOMC,2020-01-29,14:00,2020-01-29 19:00
FOMC,2020-04-29,14:00,2020-04-29 18:00
FOMC,2020-06-10,14:00,2020-06-10 18:00
FOMC,2020-07-29,14:00,2020-07-29 18:00
FOMC,2020-09-16,14:00,2020-09-16 18:00
FOMC,2020-11-05,14:00,2020-11-05 19:00
FOMC,2020-12-16,14:00,2020-12-16 19:00
FOMC,2021-01-27,14:00,2021-01-27 19:00
FOMC,2021-03-17,14:00,2021-03-17 18:00
FOMC,2021-04-28,14:00,2021-04-28 18:00
FOMC,2021-06-16,14:00,2021-06-16 18:00
FOMC,2021-07-28,14:00,2021-07-28 18:00
FOMC,2021-09-22,14:00,2021-09-22 18:00
FOMC,2021-11-03,14:00,2021-11-03 18:00
FOMC,2021-12-15,14:00,2021-12-15 19:00
FOMC,2022-01-26,14:00,2022-01-26 19:00
FOMC,2022-03-16,14:00,2022-03-16 18:00
FOMC,2022-05-04,14:00,2022-05-04 18:00
FOMC,2022-06-15,14:00,2022-06-15 18:00
FOMC,2022-07-27,14:00,2022-07-27 18:00
FOMC,2022-09-21,14:00,2022-09-21 18:00
FOMC,2022-11-02,14:00,2022-11-02 18:00
FOMC,2022-12-14,14:00,2022-12-14 19:00
FOMC,2023-02-01,14:00,2023-02-01 19:00
FOMC,2023-03-22,14:00,2023-03-22 18:00
FOMC,2023-05-03,14:00,2023-05-03 18:00
FOMC,2023-06-14,14:00,2023-06-14 18:00
FOMC,2023-07-26,14:00,2023-07-26 18:00
FOMC,2023-09-20,14:00,2023-09-20 18:00
FOMC,2023-11-01,14:00,2023-11-01 18:00
FOMC,2023-12-13,14:00,2023-12-13 19:00
FOMC,2024-01-31,14:00,2024-01-31 19:00
FOMC,2024-03-20,14:00,2024-03-20 18:00
FOMC,2024-05-01,14:00,2024-05-01 18:00
FOMC,2024-06-12,14:00,2024-06-12 18:00
FOMC,2024-07-31,14:00,2024-07-31 18:00
FOMC,2024-09-18,14:00,2024-09-18 18:00
FOMC,2024-11-07,14:00,2024-11-07 19:00
FOMC,2024-12-18,14:00,2024-12-18 19:00
FOMC,2025-01-29,14:00,2025-01-29 19:00
FOMC,2025-03-19,14:00,2025-03-19 18:00
FOMC,2025-05-07,14:00,2025-05-07 18:00
FOMC,2025-06-18,14:00,2025-06-18 18:00
FOMC,2025-07-30,14:00,2025-07-30 18:00
FOMC,2025-09-17,14:00,2025-09-17 18:00
FOMC,2025-10-29,14:00,2025-10-29 18:00
FOMC,2025-12-10,14:00,2025-12-10 19:00
FOMC,2026-01-28,14:00,2026-01-28 19:00
FOMC,2026-03-18,14:00,2026-03-18 18:00
FOMC,2026-04-29,14:00,2026-04-29 18:00
FOMC,2026-06-17,14:00,2026-06-17 18:00
FOMC,2026-07-29,14:00,2026-07-29 18:00
FOMC,2026-09-16,14:00,2026-09-16 18:00
ECB,2016-01-21,13:45,2016-01-21 12:45
ECB,2016-03-10,13:45,2016-03-10 12:45
ECB,2016-04-21,13:45,2016-04-21 11:45
ECB,2016-06-02,13:45,2016-06-02 11:45
ECB,2016-07-21,13:45,2016-07-21 11:45
