cal,date,name
CN,2016-01-01,元旦
CN,2016-02-08,春节
CN,2016-02-09,春节
CN,2016-02-10,春节
CN,2016-02-11,休息日（由 2016-02-06 调休）
CN,2016-02-12,休息日（由 2016-02-14 调休）
CN,2016-04-04,清明节
CN,2016-05-01,劳动节
CN,2016-05-02,劳动节（补假）
CN,2016-06-09,端午节
CN,2016-06-10,休息日（由 2016-06-12 调休）
CN,2016-09-15,中秋节
CN,2016-09-16,休息日（由 2016-09-18 调休）
CN,2016-10-01,国庆节
CN,2016-10-02,国庆节
CN,2016-10-03,国庆节
CN,2016-10-04,国庆节（补假）
CN,2016-10-05,国庆节（补假）
CN,2016-10-06,休息日（由 2016-10-08 调休）
CN,2016-10-07,休息日（由 2016-10-09 调休）
CN,2017-01-01,元旦
CN,2017-01-02,元旦（补假）
CN,2017-01-27,休息日（由 2017-01-22 调休）
CN,2017-01-28,春节
CN,2017-01-29,春节
CN,2017-01-30,春节
CN,2017-01-31,春节（补假）
CN,2017-02-01,春节（补假）
CN,2017-02-02,休息日（由 2017-02-04 调休）
CN,2017-04-03,休息日（由 2017-04-01 调休）
CN,2017-04-04,清明节
CN,2017-05-01,劳动节
CN,2017-05-29,休息日（由 2017-05-27 调休）
CN,2017-05-30,端午节
CN,2017-10-01,国庆节
CN,2017-10-02,国庆节
CN,2017-10-03,国庆节
CN,2017-10-04,中秋节
CN,2017-10-05,国庆节（补假）
CN,2017-10-06,休息日（由 2017-09-30 调休）
CN,2018-01-01,元旦
CN,2018-02-15,休息日（由 2018-02-11 调休）
CN,2018-02-16,春节
CN,2018-02-17,春节
CN,2018-02-18,春节
CN,2018-02-19,春节（补假）
CN,2018-02-20,春节（补假）
CN,2018-02-21,休息日（由 2018-02-24 调休）
CN,2018-04-05,清明节
CN,2018-04-06,休息日（由 2018-04-08 调休）
CN,2018-04-30,休息日（由 2018-04-28 调休）
CN,2018-05-01,劳动节
CN,2018-06-18,端午节
CN,2018-09-24,中秋节
CN,2018-10-01,国庆节
CN,2018-10-02,国庆节
CN,2018-10-03,国庆节
CN,2018-10-04,休息日（由 2018-09-29 调休）
CN,2018-10-05,休息日（由 2018-09-30 调休）
CN,2018-12-31,休息日（由 2018-12-29 调休）
CN,2019-01-01,元旦
CN,2019-02-04,休息日（由 2019-02-02 调休）
CN,2019-02-05,春节
CN,2019-02-06,春节
CN,2019-02-07,春节
CN,2019-02-08,休息日（由 2019-02-03 调休）
CN,2019-04-05,清明节
CN,2019-05-01,劳动节
CN,2019-05-02,休息日（由 2019-04-28 调休）
CN,2019-05-03,休息日（由 2019-05-05 调休）
CN,2019-06-07,端午节
CN,2019-09-13,中秋节
CN,2019-10-01,国庆节
CN,2019-10-02,国庆节
CN,2019-10-03,国庆节
CN,2019-10-04,休息日（由 2019-09-29 调休）
CN,2019-10-07,休息日（由 2019-10-12 调休）
CN,2020-01-01,元旦
CN,2020-01-24,休息日（由 2020-01-19 调休）
CN,2020-01-25,春节
CN,2020-01-26,春节
CN,2020-01-27,春节
CN,2020-01-28,春节（补假）
CN,2020-01-29,春节（补假）
CN,2020-01-30,春节（补假）
CN,2020-01-31,春节延长假期
CN,2020-02-01,春节延长假期
CN,2020-02-02,春节延长假期
CN,2020-04-04,清明节
CN,2020-04-06,清明节（补假）
CN,2020-05-01,劳动节
CN,2020-05-04,休息日（由 2020-04-26 调休）
CN,2020-05-05,休息日（由 2020-05-09 调休）
CN,2020-06-25,端午节
CN,2020-06-26,休息日（由 2020-06-28 调休）
CN,2020-10-01,中秋节; 国庆节
CN,2020-10-02,国庆节
CN,2020-10-03,国庆节
CN,2020-10-05,国庆节（补假）
CN,2020-10-06,中秋节（补假）
CN,2020-10-07,休息日（由 2020-09-27 调休）
CN,2020-10-08,休息日（由 2020-10-10 调休）
CN,2021-01-01,元旦
CN,2021-02-11,休息日（由 2021-02-07 调休）
CN,2021-02-12,春节
CN,2021-02-13,春节
CN,2021-02-14,春节
CN,2021-02-15,春节（补假）
CN,2021-02-16,春节（补假）
CN,2021-02-17,休息日（由 2021-02-20 调休）
CN,2021-04-04,清明节
CN,2021-04-05,清明节（补假）
CN,2021-05-01,劳动节
CN,2021-05-03,劳动节（补假）
CN,2021-05-04,休息日（由 2021-04-25 调休）
CN,2021-05-05,休息日（由 2021-05-08 调休）
CN,2021-06-14,端午节
CN,2021-09-20,休息日（由 2021-09-18 调休）
CN,2021-09-21,中秋节
CN,2021-10-01,国庆节
CN,2021-10-02,国庆节
CN,2021-10-03,国庆节
CN,2021-10-04,国庆节（补假）
CN,2021-10-05,国庆节（补假）
CN,2021-10-06,休息日（由 2021-09-26 调休）
CN,2021-10-07,休息日（由 2021-10-09 调休）
CN,2022-01-01,元旦
CN,2022-01-03,元旦（补假）
CN,2022-01-31,休息日（由 2022-01-29 调休）
CN,2022-02-01,春节
CN,2022-02-02,春节
CN,2022-02-03,春节
CN,2022-02-04,休息日（由 2022-01-30 调休）
CN,2022-04-04,休息日（由 2022-04-02 调休）
CN,2022-04-05,清明节
CN,2022-05-01,劳动节
CN,2022-05-02,劳动节（补假）
CN,2022-05-03,休息日（由 2022-04-24 调休）
CN,2022-05-04,休息日（由 2022-05-07 调休）
CN,2022-06-03,端午节
CN,2022-09-10,中秋节
CN,2022-09-12,中秋节（补假）
CN,2022-10-01,国庆节
CN,2022-10-02,国庆节
CN,2022-10-03,国庆节
CN,2022-10-04,国庆节（补假）
CN,2022-10-05,国庆节（补假）
CN,2022-10-06,休息日（由 2022-10-08 调休）
CN,2022-10-07,休息日（由 2022-10-09 调休）
CN,2023-01-01,元旦
CN,2023-01-02,元旦（补假）
CN,2023-01-22,春节
CN,2023-01-23,春节
CN,2023-01-24,春节
