cal,date,name
NYSE,2016-01-01,New Year's Day
NYSE,2016-01-18,Martin Luther King Jr. Day
NYSE,2016-02-15,Washington's Birthday
NYSE,2016-03-25,Good Friday
NYSE,2016-05-30,Memorial Day
NYSE,2016-07-04,Independence Day
NYSE,2016-09-05,Labor Day
NYSE,2016-11-24,Thanksgiving Day
NYSE,2016-12-26,Christmas Day (observed)
NYSE,2017-01-02,New Year's Day (observed)
NYSE,2017-01-16,Martin Luther King Jr. Day
NYSE,2017-02-20,Washington's Birthday
NYSE,2017-04-14,Good Friday
NYSE,2017-05-29,Memorial Day
NYSE,2017-07-04,Independence Day
NYSE,2017-09-04,Labor Day
NYSE,2017-11-23,Thanksgiving Day
NYSE,2017-12-25,Christmas Day
NYSE,2018-01-01,New Year's Day
NYSE,2018-01-15,Martin Luther King Jr. Day
NYSE,2018-02-19,Washington's Birthday
NYSE,2018-03-30,Good Friday
NYSE,2018-05-28,Memorial Day
NYSE,2018-07-04,Independence Day
NYSE,2018-09-03,Labor Day
NYSE,2018-11-22,Thanksgiving Day
NYSE,2018-12-05,National Day of Mourning for former President George H. W. Bush
NYSE,2018-12-25,Christmas Day
NYSE,2019-01-01,New Year's Day
NYSE,2019-01-21,Martin Luther King Jr. Day
NYSE,2019-02-18,Washington's Birthday
NYSE,2019-04-19,Good Friday
NYSE,2019-05-27,Memorial Day
NYSE,2019-07-04,Independence Day
NYSE,2019-09-02,Labor Day
NYSE,2019-11-28,Thanksgiving Day
NYSE,2019-12-25,Christmas Day
NYSE,2020-01-01,New Year's Day
NYSE,2020-01-20,Martin Luther King Jr. Day
NYSE,2020-02-17,Washington's Birthday
NYSE,2020-04-10,Good Friday
NYSE,2020-05-25,Memorial Day
NYSE,2020-07-03,Independence Day (observed)
NYSE,2020-09-07,Labor Day
NYSE,2020-11-26,Thanksgiving Day
NYSE,2020-12-25,Christmas Day
NYSE,2021-01-01,New Year's Day
NYSE,2021-01-18,Martin Luther King Jr. Day
NYSE,2021-02-15,Washington's Birthday
NYSE,2021-04-02,Good Friday
NYSE,2021-05-31,Memorial Day
NYSE,2021-07-05,Independence Day (observed)
NYSE,2021-09-06,Labor Day
NYSE,2021-11-25,Thanksgiving Day
NYSE,2021-12-24,Christmas Day (observed)
NYSE,2022-01-17,Martin Luther King Jr. Day
NYSE,2022-02-21,Washington's Birthday
NYSE,2022-04-15,Good Friday
NYSE,2022-05-30,Memorial Day
NYSE,2022-06-20,Juneteenth National Independence Day (observed)
NYSE,2022-07-04,Independence Day
NYSE,2022-09-05,Labor Day
NYSE,2022-11-24,Thanksgiving Day
NYSE,2022-12-26,Christmas Day (observed)
NYSE,2023-01-02,New Year's Day (observed)
NYSE,2023-01-16,Martin Luther King Jr. Day
NYSE,2023-02-20,Washington's Birthday
NYSE,2023-04-07,Good Friday
NYSE,2023-05-29,Memorial Day
NYSE,2023-06-19,Juneteenth National Independence Day
NYSE,2023-07-04,Independence Day
NYSE,2023-09-04,Labor Day
NYSE,2023-11-23,Thanksgiving Day
NYSE,2023-12-25,Christmas Day
NYSE,2024-01-01,New Year's Day
NYSE,2024-01-15,Martin Luther King Jr. Day
NYSE,2024-02-19,Washington's Birthday
NYSE,2024-03-29,Good Friday
NYSE,2024-05-27,Memorial Day
NYSE,2024-06-19,Juneteenth National Independence Day
NYSE,2024-07-04,Independence Day
NYSE,2024-09-02,Labor Day
NYSE,2024-11-28,Thanksgiving Day
NYSE,2024-12-25,Christmas Day
NYSE,2025-01-01,New Year's Day
NYSE,2025-01-09,National Day of Mourning for former President Jimmy Carter
NYSE,2025-01-20,Martin Luther King Jr. Day
NYSE,2025-02-17,Washington's Birthday
NYSE,2025-04-18,Good Friday
NYSE,2025-05-26,Memorial Day
NYSE,2025-06-19,Juneteenth National Independence Day
NYSE,2025-07-04,Independence Day
NYSE,2025-09-01,Labor Day
NYSE,2025-11-27,Thanksgiving Day
NYSE,2025-12-25,Christmas Day
NYSE,2026-01-01,New Year's Day
NYSE,2026-01-19,Martin Luther King Jr. Day
NYSE,2026-02-16,Washington's Birthday
NYSE,2026-04-03,Good Friday
NYSE,2026-05-25,Memorial Day
NYSE,2026-06-19,Juneteenth National Independence Day
NYSE,2026-07-03,Independence Day (observed)
NYSE,2026-09-07,Labor Day
NYSE,2026-11-26,Thanksgiving Day
NYSE,2026-12-25,Christmas Day
NYSE,2027-01-01,New Year's Day
NYSE,2027-01-18,Martin Luther King Jr. Day
NYSE,2027-02-15,Washington's Birthday
NYSE,2027-03-26,Good Friday
NYSE,2027-05-31,Memorial Day
NYSE,2027-06-18,Juneteenth National Independence Day (observed)
NYSE,2027-07-05,Independence Day (observed)
NYSE,2027-09-06,Labor Day
NYSE,2027-11-25,Thanksgiving Day
NYSE,2027-12-24,Christmas Day (observed)
USFED,2016-01-01,New Year's Day
USFED,2016-01-18,Martin Luther King Jr. Day
USFED,2016-02-15,Washington's Birthday
USFED,2016-05-30,Memorial Day
USFED,2016-07-04,Independence Day
USFED,2016-09-05,Labor Day
USFED,2016-10-10,Columbus Day
USFED,2016-11-11,Veterans Day
USFED,2016-11-24,Thanksgiving Day
USFED,2016-12-25,Christmas Day
USFED,2016-12-26,Christmas Day (observed)
USFED,2017-01-01,New Year's Day
USFED,2017-01-02,New Year's Day (observed)
USFED,2017-01-16,Martin Luther King Jr. Day
USFED,2017-02-20,Washington's Birthday
USFED,2017-05-29,Memorial Day
USFED,2017-07-04,Independence Day
USFED,2017-09-04,Labor Day
USFED,2017-10-09,Columbus Day
USFED,2017-11-10,Veterans Day (observed)
USFED,2017-11-11,Veterans Day
USFED,2017-11-23,Thanksgiving Day
USFED,2017-12-25,Christmas Day
USFED,2018-01-01,New Year's Day
USFED,2018-01-15,Martin Luther King Jr. Day
USFED,2018-02-19,Washington's Birthday
USFED,2018-05-28,Memorial Day
USFED,2018-07-04,Independence Day
USFED,2018-09-03,Labor Day
USFED,2018-10-08,Columbus Day
USFED,2018-11-11,Veterans Day
USFED,2018-11-12,Veterans Day (observed)
USFED,2018-11-22,Thanksgiving Day
USFED,2018-12-25,Christmas Day
USFED,2019-01-01,New Year's Day
USFED,2019-01-21,Martin Luther King Jr. Day
USFED,2019-02-18,Washington's Birthday
USFED,2019-05-27,Memorial Day
USFED,2019-07-04,Independence Day
USFED,2019-09-02,Labor Day
USFED,2019-10-14,Columbus Day
USFED,2019-11-11,Veterans Day
USFED,2019-11-28,Thanksgiving Day
USFED,2019-12-25,Christmas Day
USFED,2020-01-01,New Year's Day
USFED,2020-01-20,Martin Luther King Jr. Day
USFED,2020-02-17,Washington's Birthday
USFED,2020-05-25,Memorial Day
USFED,2020-07-03,Independence Day (observed)
USFED,2020-07-04,Independence Day
USFED,2020-09-07,Labor Day
USFED,2020-10-12,Columbus Day
USFED,2020-11-11,Veterans Day
USFED,2020-11-26,Thanksgiving Day
USFED,2020-12-25,Christmas Day
USFED,2021-01-01,New Year's Day
USFED,2021-01-18,Martin Luther King Jr. Day
USFED,2021-02-15,Washington's Birthday
USFED,2021-05-31,Memorial Day
USFED,2021-06-18,Juneteenth National Independence Day (observed)
USFED,2021-06-19,Juneteenth National Independence Day
USFED,2021-07-04,Independence Day
USFED,2021-07-05,Independence Day (observed)
USFED,2021-09-06,Labor Day
USFED,2021-10-11,Columbus Day
USFED,2021-11-11,Veterans Day
USFED,2021-11-25,Thanksgiving Day
USFED,2021-12-24,Christmas Day (observed)
USFED,2021-12-25,Christmas Day
USFED,2021-12-31,New Year's Day (observed)
USFED,2022-01-01,New Year's Day
USFED,2022-01-17,Martin Luther King Jr. Day
USFED,2022-02-21,Washington's Birthday
USFED,2022-05-30,Memorial Day
USFED,2022-06-19,Juneteenth National Independence Day
USFED,2022-06-20,Juneteenth National Independence Day (observed)
USFED,2022-07-04,Independence Day
USFED,2022-09-05,Labor Day
USFED,2022-10-10,Columbus Day
USFED,2022-11-11,Veterans Day
USFED,2022-11-24,Thanksgiving Day
USFED,2022-12-25,Christmas Day
USFED,2022-12-26,Christmas Day (observed)
USFED,2023-01-01,New Year's Day
USFED,2023-01-02,New Year's Day (observed)
USFED,2023-01-16,Martin Luther King Jr. Day
USFED,2023-02-20,Washington's Birthday
USFED,2023-05-29,Memorial Day
USFED,2023-06-19,Juneteenth National Independence Day
USFED,2023-07-04,Independence Day
USFED,2023-09-04,Labor Day
USFED,2023-10-09,Columbus Day
USFED,2023-11-10,Veterans Day (observed)
USFED,2023-11-11,Veterans Day
USFED,2023-11-23,Thanksgiving Day
USFED,2023-12-25,Christmas Day
USFED,2024-01-01,New Year's Day
USFED,2024-01-15,Martin Luther King Jr. Day
USFED,2024-02-19,Washington's Birthday
USFED,2024-05-27,Memorial Day
USFED,2024-06-19,Juneteenth National Independence Day
USFED,2024-07-04,Independence Day
USFED,2024-09-02,Labor Day
USFED,2024-10-14,Columbus Day
USFED,2024-11-11,Veterans Day
USFED,2024-11-28,Thanksgiving Day
USFED,2024-12-25,Christmas Day
USFED,2025-01-01,New Year's Day
USFED,2025-01-20,Martin Luther King Jr. Day
USFED,2025-02-17,Washington's Birthday
USFED,2025-05-26,Memorial Day
USFED,2025-06-19,Juneteenth National Independence Day
USFED,2025-07-04,Independence Day
USFED,2025-09-01,Labor Day
USFED,2025-10-13,Columbus Day
USFED,2025-11-11,Veterans Day
USFED,2025-11-27,Thanksgiving Day
USFED,2025-12-25,Christmas Day
USFED,2026-01-01,New Year's Day
USFED,2026-01-19,Martin Luther King Jr. Day
USFED,2026-02-16,Washington's Birthday
USFED,2026-05-25,Memorial Day
USFED,2026-06-19,Juneteenth National Independence Day
USFED,2026-07-03,Independence Day (observed)
USFED,2026-07-04,Independence Day
USFED,2026-09-07,Labor Day
USFED,2026-10-12,Columbus Day
USFED,2026-11-11,Veterans Day
USFED,2026-11-26,Thanksgiving Day
USFED,2026-12-25,Christmas Day
USFED,2027-01-01,New Year's Day
USFED,2027-01-18,Martin Luther King Jr. Day
USFED,2027-02-15,Washington's Birthday
USFED,2027-05-31,Memorial Day
USFED,2027-06-18,Juneteenth National Independence Day (observed)
USFED,2027-06-19,Juneteenth National Independence Day
USFED,2027-07-04,Independence Day
USFED,2027-07-05,Independence Day (observed)
USFED,2027-09-06,Labor Day
USFED,2027-10-11,Columbus Day
USFED,2027-11-11,Veterans Day
USFED,2027-11-25,Thanksgiving Day
USFED,2027-12-24,Christmas Day (observed)
USFED,2027-12-25,Christmas Day
USFED,2027-12-31,New Year's Day (observed)
UK,2016-01-01,New Year's Day
UK,2016-03-25,Good Friday
UK,2016-03-28,Easter Monday
UK,2016-05-02,May Day
UK,2016-05-30,Spring Bank Holiday
UK,2016-08-29,Late Summer Bank Holiday
UK,2016-12-25,Christmas Day
UK,2016-12-26,Boxing Day
UK,2016-12-27,Christmas Day (observed)
UK,2017-01-01,New Year's Day
UK,2017-01-02,New Year's Day (observed)
UK,2017-04-14,Good Friday
UK,2017-04-17,Easter Monday
UK,2017-05-01,May Day
UK,2017-05-29,Spring Bank Holiday
UK,2017-08-28,Late Summer Bank Holiday
UK,2017-12-25,Christmas Day
UK,2017-12-26,Boxing Day
UK,2018-01-01,New Year's Day
UK,2018-03-30,Good Friday
UK,2018-04-02,Easter Monday
UK,2018-05-07,May Day
UK,2018-05-28,Spring Bank Holiday
UK,2018-08-27,Late Summer Bank Holiday
UK,2018-12-25,Christmas Day
UK,2018-12-26,Boxing Day
UK,2019-01-01,New Year's Day
UK,2019-04-19,Good Friday
UK,2019-04-22,Easter Monday
UK,2019-05-06,May Day
UK,2019-05-27,Spring Bank Holiday
UK,2019-08-26,Late Summer Bank Holiday
UK,2019-12-25,Christmas Day
UK,2019-12-26,Boxing Day
UK,2020-01-01,New Year's Day
UK,2020-04-10,Good Friday
UK,2020-04-13,Easter Monday
UK,2020-05-08,May Day
UK,2020-05-25,Spring Bank Holiday
UK,2020-08-31,Late Summer Bank Holiday
UK,2020-12-25,Christmas Day
UK,2020-12-26,Boxing Day
UK,2020-12-28,Boxing Day (observed)
UK,2021-01-01,New Year's Day
UK,2021-04-02,Good Friday
UK,2021-04-05,Easter Monday
UK,2021-05-03,May Day
UK,2021-05-31,Spring Bank Holiday
UK,2021-08-30,Late Summer Bank Holiday
UK,2021-12-25,Christmas Day
UK,2021-12-26,Boxing Day
UK,2021-12-27,Christmas Day (observed)
UK,2021-12-28,Boxing Day (observed)
UK,2022-01-01,New Year's Day
UK,2022-01-03,New Year's Day (observed)
UK,2022-04-15,Good Friday
UK,2022-04-18,Easter Monday
UK,2022-05-02,May Day
UK,2022-06-02,Spring Bank Holiday
UK,2022-06-03,Platinum Jubilee of Elizabeth II
UK,2022-08-29,Late Summer Bank Holiday
UK,2022-09-19,State Funeral of Queen Elizabeth II
