t,open,high,low,close,volume
2026-08-01 00:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 01:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 02:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 03:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 04:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 05:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 06:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 07:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 08:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 09:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 10:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 11:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 12:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 13:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 14:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 15:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 16:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 17:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 18:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 19:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 20:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 21:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 22:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-01 23:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 00:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 01:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 02:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 03:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 04:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 05:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 06:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 07:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 08:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 09:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 10:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 11:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 12:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 13:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 14:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 15:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 16:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 17:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 18:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 19:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 20:00:00,112.225,112.225,112.225,112.225,0.0
2026-08-02 21:00:00,112.115,112.436,112.093,112.362,2701.949951171875
2026-08-02 22:00:00,112.389,112.39,112.044,112.275,14567.400390625
2026-08-02 23:00:00,112.281,112.647,112.111,112.449,15291.1201171875
2026-08-03 00:00:00,112.449,112.644,110.832,111.344,43487.03125
2026-08-03 01:00:00,111.348,111.539,110.841,111.433,30253.970703125
2026-08-03 02:00:00,111.433,111.612,111.341,111.515,15075.33984375
2026-08-03 03:00:00,111.514,111.62,111.379,111.528,12025.5
2026-08-03 04:00:00,111.528,111.548,111.435,111.491,10041.599609375
2026-08-03 05:00:00,111.493,111.522,111.437,111.481,8808.3603515625
2026-08-03 06:00:00,111.481,111.719,111.438,111.675,14592.0595703125
2026-08-03 07:00:00,111.676,111.695,111.472,111.646,19042.529296875
2026-08-03 08:00:00,111.648,111.799,111.527,111.797,15831.5703125
2026-08-03 09:00:00,111.797,111.936,111.731,111.87,11687.1298828125
2026-08-03 10:00:00,111.869,111.872,111.573,111.666,11074.8603515625
2026-08-03 11:00:00,111.666,111.85,111.583,111.67,13249.8603515625
2026-08-03 12:00:00,111.67,111.751,111.607,111.703,14753.759765625
2026-08-03 13:00:00,111.703,111.734,111.301,111.416,25684.140625
2026-08-03 14:00:00,111.423,111.65,111.315,111.541,23836.369140625
2026-08-03 15:00:00,111.54,111.841,111.513,111.796,17052.240234375
2026-08-03 16:00:00,111.795,111.805,111.548,111.719,11680.4501953125
2026-08-03 17:00:00,111.718,111.774,111.705,111.75,6876.4501953125
2026-08-03 18:00:00,111.75,111.78,111.561,111.627,15180.9296875
2026-08-03 19:00:00,111.632,111.758,111.616,111.749,8641.8603515625
2026-08-03 20:00:00,111.75,111.93,111.698,111.879,6977.1298828125
2026-08-03 21:00:00,111.84,111.904,111.798,111.891,2148.300048828125
2026-08-03 22:00:00,111.892,112.08,111.892,112.03,4657.5
2026-08-03 23:00:00,112.029,112.235,111.977,112.152,6151.2001953125
2026-08-04 00:00:00,112.153,112.177,111.968,112.149,18899.849609375
2026-08-04 01:00:00,112.15,112.221,112.077,112.22,14272.0498046875
2026-08-04 02:00:00,112.221,112.298,112.209,112.275,11591.5498046875
2026-08-04 03:00:00,112.274,112.286,112.13,112.258,9897.0
2026-08-04 04:00:00,112.258,112.268,112.127,112.176,8902.2001953125
2026-08-04 05:00:00,112.174,112.245,112.14,112.238,8339.400390625
2026-08-04 06:00:00,112.238,112.24,112.059,112.137,14386.740234375
2026-08-04 07:00:00,112.136,112.328,112.127,112.316,15610.8896484375
2026-08-04 08:00:00,112.316,112.406,112.293,112.401,13917.7802734375
2026-08-04 09:00:00,112.402,112.519,112.402,112.492,10796.16015625
2026-08-04 10:00:00,112.492,112.512,112.388,112.393,12387.240234375
2026-08-04 11:00:00,112.393,112.396,111.955,112.016,17921.759765625
2026-08-04 12:00:00,112.014,112.081,111.881,112.014,16870.19921875
2026-08-04 13:00:00,112.015,112.033,111.792,111.919,18496.01953125
2026-08-04 14:00:00,111.93,112.154,111.895,112.079,19423.80078125
2026-08-04 15:00:00,112.08,112.116,111.82,111.879,17507.669921875
2026-08-04 16:00:00,111.878,111.985,111.848,111.946,11211.0
2026-08-04 17:00:00,111.946,112.009,111.916,111.994,9777.330078125
2026-08-04 18:00:00,111.994,112.092,111.978,112.081,15616.7099609375
2026-08-04 19:00:00,112.081,112.214,112.074,112.152,13823.4599609375
2026-08-04 20:00:00,112.152,112.183,112.122,112.125,11605.3798828125
2026-08-04 21:00:00,112.122,112.162,112.062,112.116,2189.39990234375
2026-08-04 22:00:00,112.118,112.177,112.106,112.152,3572.969970703125
2026-08-04 23:00:00,112.151,112.186,112.086,112.118,3325.949951171875
2026-08-05 00:00:00,112.12,112.145,111.934,112.001,14014.0498046875
2026-08-05 01:00:00,112.002,112.06,111.976,112.016,14839.349609375
2026-08-05 02:00:00,112.016,112.056,111.799,111.888,15688.7998046875
2026-08-05 03:00:00,111.889,111.961,111.873,111.875,12376.7998046875
2026-08-05 04:00:00,111.875,112.043,111.853,112.024,8513.25
2026-08-05 05:00:00,112.026,112.045,111.986,112.018,10081.5
2026-08-05 06:00:00,112.017,112.068,111.941,111.995,14031.0
2026-08-05 07:00:00,111.994,112.121,111.962,112.118,8500.9501953125
2026-08-05 08:00:00,112.117,112.199,112.106,112.176,8373.900390625
2026-08-05 09:00:00,112.175,112.223,112.116,112.165,9306.150390625
2026-08-05 10:00:00,112.164,112.211,112.112,112.121,7108.35009765625
2026-08-05 11:00:00,112.121,112.147,112.034,112.124,12018.5703125
2026-08-05 12:00:00,112.124,112.192,112.079,112.18,11793.83984375
2026-08-05 13:00:00,112.181,112.206,112.06,112.171,15421.5595703125
2026-08-05 14:00:00,112.17,112.381,112.107,112.345,18563.51953125
2026-08-05 15:00:00,112.345,112.458,112.298,112.458,15081.419921875
2026-08-05 16:00:00,112.46,112.48,112.403,112.463,8014.7998046875
2026-08-05 17:00:00,112.467,112.547,112.433,112.543,6303.89990234375
2026-08-05 18:00:00,112.544,112.573,112.53,112.56,5803.5
2026-08-05 19:00:00,112.561,112.592,112.523,112.561,5933.10009765625
2026-08-05 20:00:00,112.563,112.639,112.542,112.546,4698.4501953125
2026-08-05 21:00:00,112.499,112.563,112.46,112.527,2930.669921875
2026-08-05 22:00:00,112.527,112.57,112.527,112.545,2898.0
2026-08-05 23:00:00,112.545,112.546,112.473,112.499,3108.300048828125
2026-08-06 00:00:00,112.501,112.638,112.501,112.608,13596.599609375
2026-08-06 01:00:00,112.605,112.637,112.554,112.575,10379.849609375
2026-08-06 02:00:00,112.574,112.583,112.54,112.561,7999.2001953125
2026-08-06 03:00:00,112.561,112.597,112.549,112.564,6666.60009765625
2026-08-06 04:00:00,112.563,112.567,112.541,112.565,5205.60009765625
2026-08-06 05:00:00,112.566,112.596,112.549,112.586,6406.5
2026-08-06 06:00:00,112.584,112.643,112.579,112.633,9531.5400390625
2026-08-06 07:00:00,112.634,112.676,112.57,112.662,7437.35986328125
2026-08-06 08:00:00,112.664,112.72,112.612,112.668,8214.599609375
2026-08-06 09:00:00,112.669,112.705,112.665,112.681,6419.27978515625
2026-08-06 10:00:00,112.68,112.786,112.666,112.778,5745.4501953125
2026-08-06 11:00:00,112.778,112.845,112.777,112.826,10226.400390625
2026-08-06 12:00:00,112.829,112.837,112.739,112.741,9581.4296875
2026-08-06 13:00:00,112.741,112.742,112.618,112.646,11811.83984375
2026-08-06 14:00:00,112.646,112.909,112.642,112.845,18753.900390625
2026-08-06 15:00:00,112.844,112.939,112.834,112.935,15950.8798828125
2026-08-06 16:00:00,112.936,113.061,112.832,113.051,11444.25
2026-08-06 17:00:00,113.05,113.05,112.984,113.023,7497.0
2026-08-06 18:00:00,113.023,113.055,112.983,112.993,7688.0400390625
2026-08-06 19:00:00,112.993,113.071,112.973,113.033,9029.25
2026-08-06 20:00:00,113.034,113.097,113.028,113.03,5251.68017578125
2026-08-06 21:00:00,113.014,113.096,112.974,113.063,1548.9000244140625
2026-08-06 22:00:00,113.062,113.094,113.056,113.071,1559.8499755859375
2026-08-06 23:00:00,113.071,113.075,113.023,113.048,1995.300048828125
2026-08-07 00:00:00,113.049,113.119,113.043,113.085,12882.2998046875
2026-08-07 01:00:00,113.088,113.1,112.897,112.971,12340.5
2026-08-07 02:00:00,112.97,112.998,112.941,112.965,7040.85009765625
2026-08-07 03:00:00,112.964,113.02,112.954,112.999,7000.0498046875
2026-08-07 04:00:00,112.999,113.012,112.973,112.975,6832.35009765625
2026-08-07 05:00:00,112.975,112.984,112.897,112.901,6475.7998046875
2026-08-07 06:00:00,112.901,112.938,112.86,112.929,8992.7099609375
2026-08-07 07:00:00,112.93,112.999,112.913,112.959,6174.0
2026-08-07 08:00:00,112.958,112.999,112.915,112.945,7829.25
2026-08-07 09:00:00,112.943,113.014,112.932,112.988,6176.25
2026-08-07 10:00:00,112.988,112.994,112.866,112.908,7348.68017578125
2026-08-07 11:00:00,112.91,113.007,112.904,113.004,6429.2998046875
2026-08-07 12:00:00,113.005,113.149,112.329,112.844,30653.400390625
2026-08-07 13:00:00,112.845,113.095,112.774,113.081,22999.470703125
2026-08-07 14:00:00,113.08,113.323,113.076,113.27,23087.55078125
2026-08-07 15:00:00,113.273,113.302,112.992,113.071,22734.240234375
2026-08-07 16:00:00,113.072,113.072,112.888,112.994,16298.1298828125
2026-08-07 17:00:00,112.994,113.047,112.93,113.001,8315.7001953125
2026-08-07 18:00:00,113.0,113.102,112.994,113.043,7800.60009765625
2026-08-07 19:00:00,113.044,113.086,112.948,113.011,10941.669921875
2026-08-07 20:00:00,113.011,113.202,113.003,113.114,12705.5703125
2026-08-07 21:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-07 22:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-07 23:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 00:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 01:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 02:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 03:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 04:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 05:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 06:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 07:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 08:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 09:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 10:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 11:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 12:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 13:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 14:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 15:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 16:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 17:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 18:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 19:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 20:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 21:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 22:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-08 23:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 00:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 01:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 02:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 03:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 04:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 05:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 06:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 07:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 08:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 09:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 10:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 11:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 12:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 13:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 14:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 15:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 16:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 17:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 18:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 19:00:00,113.114,113.114,113.114,113.114,0.0
2026-08-09 20:00:00,113.114,113.114,113.114,113.114,0.0
