,EA1 Sess上位5 ×4.8,EA2 A+B 50/50 ×3.3,EA3 A 5年版 ×3.3,EA4 Sess 8本 ×校正
2021-10,1.11,2.66,4.55,1.03
2021-11,0.81,0.23,-0.1,0.58
2021-12,0.06,2.31,4.6,0.52
2022-01,1.59,0.48,-0.15,1.02
2022-02,2.27,-0.19,-1.94,1.79
2022-03,0.4,2.28,4.28,-0.84
2022-04,1.43,0.12,-0.81,0.62
2022-05,1.31,1.07,1.21,0.93
2022-06,2.39,-0.39,-2.47,1.38
2022-07,2.08,3.36,5.28,1.61
2022-08,3.45,-0.31,-2.97,3.07
2022-09,0.47,0.83,1.31,0.45
2022-10,-1.65,3.25,7.74,-0.97
2022-11,2.0,3.12,4.86,2.17
2022-12,-0.49,2.46,5.29,-0.09
2023-01,3.01,3.93,5.81,3.08
2023-02,-0.67,2.53,5.57,-0.64
2023-03,1.13,-0.95,-2.71,0.57
2023-04,-0.1,2.69,5.51,1.06
2023-05,1.5,1.05,1.05,1.57
2023-06,0.69,-0.68,-1.83,1.37
2023-07,1.53,1.49,1.88,1.49
2023-08,1.4,1.97,2.96,1.04
2023-09,0.16,0.81,1.51,0.39
2023-10,1.0,-0.87,-2.42,0.88
2023-11,1.27,-0.32,-1.52,1.26
2023-12,1.65,2.81,4.49,1.66
2024-01,0.43,-0.81,-1.9,0.42
2024-02,-0.18,-0.33,-0.54,-0.43
2024-03,0.44,1.68,3.07,0.96
2024-04,0.63,-0.05,-0.57,0.88
2024-05,0.39,2.51,4.79,0.8
2024-06,0.66,0.24,0.02,0.51
2024-07,0.44,-0.07,-0.45,1.38
2024-08,-0.32,-0.31,-0.42,0.17
2024-09,1.54,1.83,2.6,1.0
2024-10,1.65,-0.04,-1.22,1.63
2024-11,1.1,1.03,1.29,1.15
2024-12,1.89,1.18,1.01,1.57
2025-01,3.12,2.59,3.0,2.44
2025-02,1.22,1.24,1.63,1.31
2025-03,0.97,0.09,-0.53,0.76
2025-04,4.66,2.03,0.84,4.21
2025-05,2.56,2.13,2.46,2.62
2025-06,-2.06,-0.66,0.09,-1.02
2025-07,-0.67,0.84,2.14,-0.17
2025-08,-0.83,-0.08,0.42,-0.47
2025-09,0.26,-0.09,-0.36,0.28
2025-10,0.99,2.11,3.55,1.25
2025-11,-0.37,1.13,2.52,0.11
2025-12,1.78,-0.1,-1.41,2.13
