AtrSLMult,RR,HoldH4Bars,Strategy,Donch,TrendEma,n,PF,OOS_n,OOS_PF,Lookback,NRwin
2.0,1.5,24,volbreak,,200,881,1.194,221,1.677,,20.0
2.0,1.5,40,volbreak,,200,881,1.113,221,1.639,,20.0
2.0,2.0,40,volbreak,,200,881,1.093,221,1.573,,20.0
2.0,2.0,24,volbreak,,200,881,1.169,221,1.567,,20.0
2.0,1.5,12,volbreak,,200,881,1.197,221,1.503,,20.0
2.0,3.0,40,volbreak,,200,881,1.059,221,1.475,,20.0
2.0,3.0,12,volbreak,,200,881,1.158,221,1.471,,20.0
2.0,2.0,12,volbreak,,200,881,1.181,221,1.459,,20.0
2.0,1.5,24,volbreak,,100,920,1.121,231,1.451,,20.0
2.0,3.0,24,volbreak,,200,881,1.121,221,1.443,,20.0
2.0,1.5,40,volbreak,,100,920,1.08,231,1.438,,20.0
2.0,2.0,24,volbreak,,100,920,1.121,231,1.39,,20.0
2.0,2.0,24,volbreak,,200,2797,1.066,701,1.375,,6.0
2.0,1.5,24,volbreak,,200,2797,1.064,701,1.375,,6.0
2.0,1.5,24,volbreak,,200,1666,1.085,417,1.373,,10.0
2.0,3.0,12,volbreak,,200,2797,1.083,701,1.367,,6.0
2.0,2.0,40,volbreak,,100,920,1.08,231,1.363,,20.0
2.0,1.5,12,volbreak,,200,2797,1.072,701,1.352,,6.0
2.0,2.0,40,volbreak,,200,2797,1.033,701,1.35,,6.0
2.0,1.5,40,volbreak,,200,2797,1.045,701,1.337,,6.0
2.0,2.0,12,volbreak,,200,2797,1.074,701,1.336,,6.0
2.0,2.0,24,volbreak,,200,1666,1.074,417,1.335,,10.0
2.0,3.0,40,volbreak,,200,2797,1.058,701,1.332,,6.0
2.0,2.0,40,volbreak,,200,1666,1.041,417,1.325,,10.0
2.0,3.0,24,volbreak,,200,2797,1.055,701,1.303,,6.0
2.0,1.5,40,volbreak,,200,1666,1.045,417,1.303,,10.0
2.0,3.0,40,volbreak,,100,920,1.055,231,1.288,,20.0
2.0,3.0,24,volbreak,,100,920,1.09,231,1.286,,20.0
2.0,1.5,12,volbreak,,200,1666,1.075,417,1.274,,10.0
2.0,3.0,40,volbreak,,200,1666,1.043,417,1.265,,10.0
2.0,2.0,24,volbreak,,100,2899,1.028,726,1.259,,6.0
2.0,1.5,24,volbreak,,0,1596,1.028,400,1.248,,20.0
2.0,2.0,40,volbreak,,100,2899,1.017,726,1.239,,6.0
2.0,1.5,24,volbreak,,100,2899,1.008,726,1.234,,6.0
2.0,3.0,24,volbreak,,200,1666,1.04,417,1.233,,10.0
2.0,2.0,24,volbreak,,0,5114,1.029,1279,1.23,,6.0
2.0,1.5,40,volbreak,,0,1596,0.998,400,1.222,,20.0
2.0,1.5,12,volbreak,,0,5114,1.024,1279,1.213,,6.0
2.0,1.5,40,donchian,55.0,200,3070,1.11,768,1.212,,
2.0,2.0,24,volbreak,,0,1596,1.044,400,1.212,,20.0
2.0,1.5,40,volbreak,,100,2899,1.006,726,1.212,,6.0
2.0,1.5,24,volbreak,,0,5114,1.01,1279,1.209,,6.0
2.0,1.5,12,volbreak,,100,920,1.106,231,1.207,,20.0
2.0,2.0,12,volbreak,,0,5114,1.031,1279,1.206,,6.0
2.0,3.0,12,volbreak,,100,2899,1.02,726,1.205,,6.0
2.0,3.0,12,volbreak,,0,5114,1.033,1279,1.203,,6.0
2.0,2.0,40,volbreak,,0,5114,1.026,1279,1.201,,6.0
2.0,3.0,40,volbreak,,100,2899,1.033,726,1.2,,6.0
2.0,1.5,12,volbreak,,100,2899,1.006,726,1.2,,6.0
2.0,2.0,40,donchian,55.0,200,3070,1.091,768,1.197,,
2.0,2.0,12,volbreak,,100,2899,1.014,726,1.194,,6.0
2.0,2.0,40,donchian,20.0,200,4445,1.077,1113,1.192,,
2.0,1.5,40,donchian,20.0,200,4445,1.082,1113,1.191,,
2.0,2.0,24,volbreak,,100,1721,1.023,431,1.191,,10.0
2.0,3.0,12,volbreak,,200,1666,1.037,417,1.19,,10.0
2.0,1.5,24,volbreak,,100,1721,1.008,431,1.189,,10.0
2.0,1.5,40,volbreak,,0,5114,1.011,1279,1.188,,6.0
2.0,2.0,12,volbreak,,200,1666,1.052,417,1.183,,10.0
2.0,3.0,12,volbreak,,100,920,1.084,231,1.179,,20.0
2.0,2.0,40,volbreak,,0,1596,1.008,400,1.175,,20.0
2.0,3.0,24,volbreak,,100,2899,1.011,726,1.173,,6.0
2.0,3.0,24,volbreak,,0,1596,1.036,400,1.172,,20.0
2.0,2.0,40,volbreak,,100,1721,1.016,431,1.171,,10.0
2.0,2.0,12,volbreak,,100,920,1.1,231,1.168,,20.0
2.0,3.0,24,volbreak,,0,5114,1.02,1279,1.168,,6.0
2.0,1.5,24,volbreak,,0,3041,1.004,761,1.153,,10.0
2.0,3.0,40,volbreak,,0,5114,1.044,1279,1.152,,6.0
2.0,2.0,40,donchian,30.0,200,3847,1.068,963,1.15,,
2.0,1.5,40,donchian,55.0,100,3248,1.089,813,1.147,,
2.0,1.5,40,donchian,40.0,200,3467,1.064,868,1.147,,
2.0,3.0,40,donchian,55.0,200,3070,1.122,768,1.146,,
2.0,2.0,40,donchian,40.0,200,3467,1.051,868,1.145,,
2.0,1.5,40,volbreak,,100,1721,0.99,431,1.145,,10.0
2.0,1.5,40,donchian,55.0,0,3269,1.086,819,1.143,,
2.0,2.0,24,volbreak,,0,3041,1.02,761,1.143,,10.0
2.0,1.5,40,donchian,30.0,200,3847,1.077,963,1.141,,
2.0,3.0,40,volbreak,,0,1596,1.007,400,1.136,,20.0
2.0,1.5,24,donchian,20.0,200,4445,1.06,1113,1.133,,
2.0,2.0,40,donchian,55.0,100,3248,1.061,813,1.127,,
2.0,2.0,40,donchian,55.0,0,3269,1.059,819,1.126,,
2.0,3.0,40,volbreak,,100,1721,1.01,431,1.118,,10.0
2.0,2.0,40,volbreak,,0,3041,1.009,761,1.116,,10.0
2.0,2.0,40,tsmom,,200,19119,1.042,4781,1.115,10.0,
2.0,1.5,12,volbreak,,0,3041,1.003,761,1.115,,10.0
2.0,3.0,40,donchian,40.0,200,3467,1.076,868,1.114,,
2.0,3.0,40,donchian,20.0,200,4445,1.069,1113,1.111,,
2.0,1.5,40,donchian,20.0,100,5025,1.059,1257,1.111,,
2.0,2.0,40,donchian,20.0,100,5025,1.048,1257,1.108,,
2.0,3.0,40,tsmom,,200,19119,1.055,4781,1.107,10.0,
2.0,1.5,40,volbreak,,0,3041,0.985,761,1.106,,10.0
2.0,2.0,40,donchian,40.0,0,3872,1.017,969,1.105,,
2.0,3.0,24,volbreak,,100,1721,0.99,431,1.103,,10.0
2.0,2.0,40,donchian,40.0,100,3794,1.02,950,1.102,,
2.0,2.0,24,tsmom,,200,20748,1.039,5188,1.1,40.0,
2.0,3.0,40,donchian,30.0,200,3847,1.071,963,1.099,,
2.0,1.5,40,donchian,40.0,100,3794,1.037,950,1.099,,
2.0,1.5,40,donchian,40.0,0,3872,1.034,969,1.099,,
2.0,3.0,60,tsmom,,200,20748,1.049,5188,1.097,40.0,
2.0,1.5,12,donchian,20.0,200,4445,1.081,1113,1.095,,
2.0,2.0,24,donchian,20.0,200,4445,1.072,1113,1.095,,
2.0,3.0,40,donchian,40.0,0,3872,1.043,969,1.094,,
2.0,3.0,40,donchian,55.0,0,3269,1.092,819,1.093,,
2.0,2.0,24,tsmom,,200,19119,1.051,4781,1.092,10.0,
2.0,3.0,40,volbreak,,0,3041,1.028,761,1.092,,10.0
2.0,2.0,40,tsmom,,200,19605,1.022,4902,1.092,20.0,
2.0,3.0,24,volbreak,,0,3041,1.002,761,1.092,,10.0
2.0,1.5,12,volbreak,,0,1596,1.002,400,1.092,,20.0
2.0,2.0,40,tsmom,,200,20748,1.024,5188,1.091,40.0,
2.0,1.5,12,volbreak,,100,1721,0.995,431,1.091,,10.0
2.0,3.0,40,donchian,55.0,100,3248,1.096,813,1.09,,
2.0,1.5,40,donchian,20.0,0,5585,1.063,1397,1.09,,
2.0,3.0,40,tsmom,,200,20748,1.033,5188,1.09,40.0,
2.0,3.0,40,tsmom,,200,19605,1.031,4902,1.089,20.0,
2.0,1.5,40,tsmom,,200,19119,1.026,4781,1.089,10.0,
2.0,3.0,60,tsmom,,200,19119,1.061,4781,1.087,10.0,
2.0,2.0,60,tsmom,,200,20748,1.029,5188,1.086,40.0,
2.0,2.0,60,tsmom,,200,19119,1.038,4781,1.084,10.0,
2.0,2.0,40,donchian,20.0,0,5585,1.052,1397,1.083,,
2.0,2.0,24,tsmom,,200,19605,1.021,4902,1.083,20.0,
2.0,1.5,60,tsmom,,200,19605,1.013,4902,1.083,20.0,
2.0,1.5,40,tsmom,,200,19605,1.01,4902,1.083,20.0,
2.0,3.0,40,donchian,40.0,100,3794,1.046,950,1.082,,
2.0,1.5,24,tsmom,,200,19119,1.031,4781,1.081,10.0,
2.0,1.5,60,tsmom,,200,19119,1.03,4781,1.081,10.0,
2.0,3.0,60,tsmom,,200,19605,1.038,4902,1.08,20.0,
2.0,1.5,24,tsmom,,200,19605,1.003,4902,1.077,20.0,
2.0,3.0,24,tsmom,,200,20748,1.04,5188,1.076,40.0,
2.0,2.0,60,tsmom,,200,19605,1.021,4902,1.076,20.0,
2.0,1.5,24,donchian,55.0,200,3070,1.083,768,1.074,,
2.0,1.5,24,tsmom,,200,20748,1.014,5188,1.072,40.0,
2.0,1.5,60,tsmom,,200,20748,1.013,5188,1.061,40.0,
2.0,1.5,24,donchian,30.0,200,3847,1.053,963,1.06,,
2.0,1.5,60,tsmom,,50,23302,1.016,5827,1.06,20.0,
2.0,2.0,12,donchian,20.0,200,4445,1.085,1113,1.058,,
2.0,3.0,24,tsmom,,200,19119,1.054,4781,1.058,10.0,
2.0,2.0,12,volbreak,,0,3041,1.001,761,1.056,,10.0
2.0,2.0,40,donchian,30.0,100,4298,1.027,1076,1.055,,
2.0,3.0,60,tsmom,,100,22718,1.039,5681,1.054,40.0,
2.0,3.0,24,tsmom,,200,19605,1.02,4902,1.053,20.0,
2.0,1.5,12,donchian,55.0,200,3070,1.111,768,1.052,,
2.0,2.0,40,donchian,30.0,0,4521,1.032,1132,1.052,,
2.0,1.5,24,tsmom,,50,23302,1.009,5827,1.052,20.0,
2.0,1.5,40,tsmom,,200,20748,1.005,5188,1.052,40.0,
2.0,1.5,24,donchian,20.0,100,5025,1.034,1257,1.05,,
2.0,2.0,12,volbreak,,0,1596,1.007,400,1.05,,20.0
2.0,1.5,40,tsmom,,50,23302,1.012,5827,1.049,20.0,
2.0,3.0,12,volbreak,,0,1596,1.003,400,1.049,,20.0
2.0,3.0,12,volbreak,,0,3041,0.992,761,1.049,,10.0
2.0,1.5,40,donchian,30.0,100,4298,1.04,1076,1.046,,
2.0,2.0,24,tsmom,,50,23483,1.037,5872,1.046,40.0,
2.0,1.5,24,tsmom,,50,22316,1.032,5581,1.045,10.0,
2.0,1.5,60,tsmom,,50,22316,1.032,5581,1.045,10.0,
2.0,2.0,24,tsmom,,50,23302,1.02,5827,1.044,20.0,
2.0,3.0,12,donchian,20.0,200,4445,1.096,1113,1.041,,
2.0,3.0,40,donchian,20.0,100,5025,1.043,1257,1.04,,
2.0,2.0,40,tsmom,,50,23302,1.015,5827,1.04,20.0,
2.0,1.5,40,donchian,30.0,0,4521,1.042,1132,1.039,,
2.0,2.0,24,tsmom,,100,22718,1.025,5681,1.038,40.0,
2.0,1.5,24,donchian,40.0,200,3467,1.044,868,1.037,,
2.0,1.5,40,tsmom,,50,22316,1.026,5581,1.037,10.0,
2.0,1.5,60,tsmom,,100,21534,1.009,5385,1.037,20.0,
2.0,2.0,60,tsmom,,50,23302,1.016,5827,1.036,20.0,
2.0,1.5,12,donchian,30.0,200,3847,1.063,963,1.034,,
2.0,3.0,40,donchian,20.0,0,5585,1.048,1397,1.034,,
2.0,2.0,24,tsmom,,50,22316,1.041,5581,1.034,10.0,
2.0,2.0,60,tsmom,,100,22718,1.016,5681,1.033,40.0,
2.0,3.0,60,tsmom,,50,23483,1.047,5872,1.031,40.0,
2.0,1.5,24,tsmom,,50,23483,1.021,5872,1.031,40.0,
2.0,2.0,40,tsmom,,100,21534,1.012,5385,1.031,20.0,
2.0,1.5,24,donchian,20.0,0,5585,1.033,1397,1.029,,
2.0,3.0,40,tsmom,,100,22718,1.026,5681,1.029,40.0,
2.0,1.5,40,tsmom,,100,21534,1.006,5385,1.029,20.0,
