symbol,path,digits,contract,mid,notional_usd_1lot,margin_1lot_usd,vol_min,spread_pts,spread_bps,comm_rt_bps,rt_cost_bps_2x,swap_mode,swap_long_raw,swap_short_raw,swap_long_bps_d,swap_short_bps_d,swap_long_pct_y,swap_short_pct_y,triple_day,mon24h_long_cost_bps
EURUSD,Forex,5,100000.0,1.15577,115575.0,231.15,0.01,0,0.0,0.61,0.61,POINTS,-9.45,2.56,-0.818,0.221,-2.98,0.81,Wed,1.42
GBPUSD,Forex,5,100000.0,1.34986,134985.0,269.97,0.01,2,0.15,0.52,0.81,POINTS,-1.8,-2.11,-0.133,-0.156,-0.49,-0.57,Wed,0.95
USDJPY,Forex,3,100000.0,154.255,100000.0,200.0,0.01,0,0.0,0.7,0.7,POINTS,7.97,-19.83,0.517,-1.286,1.89,-4.69,Wed,0.18
AUDUSD,Forex,5,100000.0,0.71416,71415.0,142.83,0.01,0,0.0,0.98,0.98,POINTS,-0.92,-2.28,-0.129,-0.319,-0.47,-1.17,Wed,1.11
NZDUSD,Forex,5,100000.0,0.57845,57845.0,115.69,0.01,0,0.0,1.21,1.21,POINTS,-2.76,0.28,-0.477,0.048,-1.74,0.18,Wed,1.69
USDCAD,Forex,5,100000.0,1.38772,100000.0,200.0,0.01,0,0.0,0.7,0.7,POINTS,2.49,-9.44,0.179,-0.68,0.65,-2.48,Wed,0.52
USDCHF,Forex,5,100000.0,0.81885,100000.0,200.0,0.01,0,0.0,0.7,0.7,POINTS,5.48,-13.7,0.669,-1.673,2.44,-6.11,Wed,0.03
EURJPY,Forex,3,100000.0,178.282,115575.0,231.15,0.01,6,0.34,0.61,1.28,POINTS,2.41,-15.23,0.135,-0.854,0.49,-3.12,Wed,1.14
GBPJPY,Forex,3,100000.0,208.2225,134985.0,269.97,0.01,9,0.43,0.52,1.38,POINTS,10.55,-26.59,0.507,-1.277,1.85,-4.66,Wed,0.88
AUDJPY,Forex,3,100000.0,110.161,71415.0,142.83,0.01,8,0.73,0.98,2.43,POINTS,4.83,-11.91,0.438,-1.081,1.6,-3.95,Wed,1.99
NZDJPY,Forex,3,100000.0,89.2265,57845.0,115.69,0.01,9,1.01,1.21,3.23,POINTS,1.93,-7.39,0.216,-0.828,0.79,-3.02,Wed,3.01
CADJPY,Forex,3,100000.0,111.162,72060.0,144.12,0.01,8,0.72,0.97,2.41,POINTS,2.43,-10.37,0.219,-0.933,0.8,-3.4,Wed,2.19
CHFJPY,Forex,3,100000.0,188.379,122120.0,244.24,0.01,18,0.96,0.57,2.48,POINTS,-9.24,-0.39,-0.491,-0.021,-1.79,-0.08,Wed,2.97
EURGBP,Forex,5,100000.0,0.85623,115575.0,231.15,0.01,3,0.35,0.61,1.31,POINTS,-7.45,1.0,-0.87,0.117,-3.18,0.43,Wed,2.18
EURCHF,Forex,5,100000.0,0.9464,115575.0,231.15,0.01,6,0.63,0.61,1.87,POINTS,2.14,-8.69,0.226,-0.918,0.83,-3.35,Wed,1.65
XAUUSD,Metals,2,100.0,4326.975,432700.0,865.4,0.01,7,0.16,0.16,0.49,POINTS,-77.82,37.41,-1.798,0.865,-6.56,3.16,Wed,2.28
XAGUSD,Metals,3,5000.0,63.732,318720.0,637.44,0.01,24,3.77,0.22,7.75,POINTS,-26.61,2.02,-4.175,0.317,-15.24,1.16,Wed,11.93
USOUSD,Energies,2,100.0,98.46,9850.0,19.7,0.01,6,6.09,0.0,12.19,CCY_MARGIN,0.47,-3.7,0.477,-3.758,1.74,-13.72,Fri,11.71
UKOUSD,Energies,2,100.0,103.335,10335.0,20.67,0.01,7,6.77,0.0,13.55,CCY_MARGIN,2.01,-0.45,1.945,-0.435,7.1,-1.59,Fri,11.6
SPX500,Indices,2,1.0,7612.315,7615.0,15.23,0.1,105,1.38,0.0,2.76,CCY_MARGIN,-4.13,-0.31,-5.425,-0.407,-19.8,-1.49,Fri,8.18
NDX100,Indices,2,1.0,28988.58,28990.0,57.98,0.1,258,0.89,0.0,1.78,CCY_MARGIN,-3.72,-0.33,-1.283,-0.114,-4.68,-0.42,Fri,3.06
US30,Indices,2,1.0,52483.745,52485.0,104.97,0.1,361,0.69,0.0,1.38,CCY_MARGIN,-7.81,-2.36,-1.488,-0.45,-5.43,-1.64,Fri,2.86
US2000,Indices,2,1.0,2897.045,2900.0,5.8,0.1,107,3.69,0.0,7.39,CCY_MARGIN,-1.76,0.12,-6.075,0.414,-22.17,1.51,Fri,13.46
GER40,Indices,2,1.0,25435.22,29400.0,58.8,0.1,532,2.09,0.0,4.18,CCY_MARGIN,-7.09,-2.07,-2.787,-0.814,-10.17,-2.97,Fri,6.97
JP225,Indices,2,1.0,63515.0,410.0,0.82,0.1,3000,4.72,0.0,9.45,CCY_MARGIN,-13.06,-12.4,-2.056,-1.952,-7.51,-7.13,Fri,11.5
