cand,mult,cagr,max_dd,worst_day,worst_month,fund12,dq12,med12,p90_12,fund5y,dq5y,med5y,funded_dq250
Mon4(EA3/EA8 型),1.5,7.4,-3.01,-1.9,-1.24,64.6,0.0,357,467,81.8,0.3,278,0.0
Mon4(EA3/EA8 型),2.0,10.0,-4.0,-2.54,-1.66,84.3,0.1,282,434,90.6,1.8,218,0.7
Mon4(EA3/EA8 型),2.5,12.5,-4.98,-3.17,-2.07,91.2,0.3,232,400,93.4,3.4,170,3.1
Mon4(EA3/EA8 型),3.3,16.7,-6.55,-4.18,-2.73,95.1,1.5,176,345,94.1,5.4,123,9.0
Mon2(GBPJPY/AUDJPY),1.5,9.5,-3.98,-2.29,-1.68,99.2,0.0,212,333,91.0,0.5,236,0.3
Mon2(GBPJPY/AUDJPY),1.75,11.1,-4.63,-2.67,-1.96,99.6,0.0,181,295,94.0,1.2,198,0.7
Mon2(GBPJPY/AUDJPY),2.0,12.7,-5.28,-3.05,-2.24,99.9,0.0,158,269,94.9,2.0,177,1.1
Mon2(GBPJPY/AUDJPY),3.0,19.4,-7.85,-4.57,-3.35,99.9,0.1,102,192,95.8,3.9,108,7.3
Mon2(GBPJPY/AUDJPY),4.0,26.4,-10.39,-6.1,-4.44,99.2,0.8,75,158,95.1,4.9,77,16.2
C6m Mon2+v4 NZD/AUD,2.5,11.7,-6.36,-2.26,-1.84,99.2,0.1,183,310,95.3,0.9,192,0.9
C6m Mon2+v4 NZD/AUD,3.0,14.2,-7.59,-2.71,-2.2,99.4,0.1,150,267,95.6,2.6,159,2.9
C6m Mon2+v4 NZD/AUD,4.0,19.2,-10.03,-3.61,-2.93,99.3,0.7,111,213,95.6,4.0,111,7.8
C6m Mon2+v4 NZD/AUD,6.0,29.7,-14.76,-5.41,-4.38,97.5,2.5,71,146,93.2,6.8,65,26.5
非FX 4 本(#14166201 型),1.48,5.8,-28.33,-7.65,-13.83,92.9,7.1,47,109,63.8,36.2,65,79.2
非FX 4 本(#14166201 型),2.0,7.2,-37.5,-10.34,-18.45,88.6,11.4,33,78,64.5,35.5,43,94.7
非FX 4 本(#14166201 型),3.0,8.6,-54.37,-15.5,-26.94,85.6,14.4,21,49,67.6,32.4,26,99.9
G Mon2×4+指数×1 相当,3.0,20.1,-8.31,-4.5,-2.96,99.6,0.4,113,219,97.1,2.4,113,5.3
G Mon2×4+指数×1 相当,5.0,34.8,-13.59,-7.51,-4.96,98.2,1.8,66,139,96.2,3.8,67,19.9
ギャンブル Mon3+HoldXAU,3.0,18.4,-8.51,-3.74,-4.1,82.0,17.3,128,284,93.9,5.9,107,12.0
ギャンブル Mon3+HoldXAU,5.0,31.7,-14.12,-6.23,-6.77,80.5,19.5,60,134,90.6,9.4,57,44.4
EA8 Mon4×3.3+GER40ブレイク×2(Σ5.3),5.3,26.2,-11.36,-4.48,-7.39,71.7,27.6,120,265,89.0,11.0,81,31.1
