legs,w,maxcorr,roll,cagr,cum,dd,wm,wd,pos,sh,yrs,calmar
Hold GER40 + Hold JP225 + Hold UK100,0.32 / 0.24 / 0.44,0.75,False,11.4,70.0,-14.8,-9.4,-5.13,37/58,0.88,2022:-5.9 2023:+14.2 2024:+13.0 2025:+23.0 2026:+11.0,0.77
Hold GER40 + Hold JP225 + Hold US500,0.36 / 0.27 / 0.37,0.44,False,12.8,80.8,-21.2,-9.1,-5.14,39/58,0.94,2022:-13.8 2023:+23.7 2024:+20.8 2025:+21.9 2026:+10.1,0.6
Hold GER40 + Hold JP225 + Hold XAUUSD,0.37 / 0.28 / 0.35,0.3,False,15.5,102.9,-16.7,-11.3,-4.51,41/58,1.16,2022:-7.0 2023:+20.0 2024:+22.3 2025:+37.7 2026:+5.5,0.93
Hold GER40 + Hold JP225 + Mon AUDJPY,0.17 / 0.13 / 0.70,0.3,False,8.4,48.3,-5.8,-2.8,-1.88,38/58,1.42,2022:-0.5 2023:+14.0 2024:+6.3 2025:+10.3 2026:+8.0,1.45
Hold GER40 + Hold JP225 + Mon CADJPY,0.16 / 0.12 / 0.72,0.3,False,6.3,35.0,-5.7,-4.0,-1.6,38/58,1.18,2022:+2.3 2023:+10.7 2024:+5.9 2025:+6.7 2026:+3.3,1.11
Hold GER40 + Hold JP225 + Mon CHFJPY,0.14 / 0.11 / 0.75,0.3,False,6.2,34.2,-5.2,-3.9,-1.55,40/58,1.26,2022:+1.6 2023:+11.7 2024:+5.7 2025:+6.5 2026:+3.1,1.19
Hold GER40 + Hold JP225 + Mon EURJPY,0.15 / 0.11 / 0.74,0.3,False,6.7,37.5,-5.6,-3.1,-2.08,42/58,1.34,2022:+3.2 2023:+11.0 2024:+5.1 2025:+7.4 2026:+4.6,1.2
Hold GER40 + Hold JP225 + Mon GBPJPY,0.15 / 0.11 / 0.73,0.3,False,8.4,48.5,-6.4,-2.7,-1.82,44/58,1.59,2022:+3.0 2023:+11.6 2024:+7.6 2025:+9.8 2026:+7.3,1.31
Hold GER40 + Hold JP225 + Mon GBPUSD,0.14 / 0.11 / 0.75,0.3,False,5.4,29.2,-8.2,-2.6,-2.44,35/58,1.09,2022:-3.8 2023:+8.1 2024:+4.5 2025:+11.0 2026:+7.1,0.66
Hold GER40 + Hold JP225 + Mon GER40,0.25 / 0.19 / 0.56,0.3,False,8.9,52.3,-12.2,-4.5,-3.72,38/58,1.07,2022:-4.2 2023:+7.3 2024:+11.5 2025:+17.1 2026:+12.3,0.73
Hold GER40 + Hold JP225 + Mon NAS100,0.27 / 0.21 / 0.52,0.3,False,11.3,69.4,-9.9,-5.9,-3.23,42/58,1.31,2022:+1.3 2023:+17.8 2024:+12.2 2025:+16.5 2026:+6.8,1.14
Hold GER40 + Hold JP225 + Mon NZDJPY,0.17 / 0.13 / 0.71,0.3,False,7.3,41.3,-7.3,-2.8,-1.79,37/58,1.3,2022:-0.5 2023:+12.9 2024:+5.1 2025:+9.5 2026:+7.1,1.0
Hold GER40 + Hold JP225 + Mon US500,0.22 / 0.16 / 0.62,0.3,False,8.4,48.7,-10.5,-4.9,-2.71,39/58,1.2,2022:-2.2 2023:+14.8 2024:+8.5 2025:+13.6 2026:+6.2,0.8
Hold GER40 + Hold JP225 + Mon USDJPY,0.15 / 0.11 / 0.74,0.3,False,5.9,32.7,-5.6,-3.7,-1.6,38/58,1.21,2022:+4.4 2023:+8.2 2024:+7.1 2025:+4.5 2026:+2.8,1.05
Hold GER40 + Hold JP225 + Roll AUDJPY,0.07 / 0.05 / 0.88,0.3,True,3.1,16.4,-2.6,-1.0,-0.79,39/59,1.34,2022:-0.6 2023:+5.3 2024:+3.4 2025:+5.3 2026:+2.0,1.19
Hold GER40 + Hold JP225 + Roll CADJPY,0.05 / 0.04 / 0.90,0.3,True,2.7,14.0,-2.5,-1.1,-0.61,39/58,1.49,2022:-1.0 2023:+5.3 2024:+3.8 2025:+4.0 2026:+1.2,1.08
Hold GER40 + Hold JP225 + Roll EURJPY,0.05 / 0.04 / 0.92,0.3,True,2.6,13.3,-1.7,-0.7,-0.53,39/59,1.63,2022:-0.6 2023:+4.6 2024:+3.6 2025:+3.9 2026:+1.1,1.53
Hold GER40 + Hold JP225 + Roll GBPJPY,0.05 / 0.04 / 0.91,0.3,True,3.3,17.3,-1.9,-0.9,-0.57,41/59,1.91,2022:-0.1 2023:+5.4 2024:+4.4 2025:+4.6 2026:+1.8,1.74
Hold GER40 + Hold JP225 + Roll USDJPY,0.07 / 0.05 / 0.89,0.3,True,3.6,19.1,-3.3,-1.4,-0.73,42/59,1.67,2022:-1.3 2023:+6.5 2024:+4.7 2025:+6.2 2026:+1.7,1.09
Hold GER40 + Hold JP225 + TSMOM XAUUSD,0.36 / 0.27 / 0.36,0.3,False,12.8,80.4,-14.9,-11.3,-4.42,39/58,1.03,2022:-8.7 2023:+11.5 2024:+22.4 2025:+32.4 2026:+10.2,0.86
Hold GER40 + Hold JP225 + v4 AUDUSD,0.17 / 0.13 / 0.71,0.3,False,6.0,33.3,-6.6,-3.5,-2.22,41/58,1.05,2022:-3.0 2023:+13.9 2024:+4.1 2025:+9.2 2026:+4.4,0.91
Hold GER40 + Hold UK100 + Hold US500,0.30 / 0.40 / 0.30,0.75,False,10.2,60.9,-18.8,-8.2,-5.26,39/58,0.82,2022:-9.5 2023:+14.0 2024:+14.2 2025:+20.3 2026:+7.0,0.54
Hold GER40 + Hold UK100 + Hold XAUUSD,0.30 / 0.41 / 0.28,0.75,False,12.3,76.5,-14.3,-9.0,-4.33,38/58,1.03,2022:-3.5 2023:+11.0 2024:+15.2 2025:+32.9 2026:+3.4,0.86
