logic,2021,2022,2023,2024,2025,2026,cum5y,cagr,max_dd,worst_day,worst_month,pos_months,sharpe
+月5本 ×2.36(docs/228・未配備),6.6,16.3,15.2,5.6,10.8,10.0,83.5,13.1,-5.6,-3.19,-2.1,39/59,1.6
RF5 A案 5スリーブ ×4.8(FTMO100k #531343523),-3.9,-6.0,-0.6,-6.6,27.6,15.9,24.0,4.5,-28.4,-7.06,-9.3,33/59,0.41
Mon4 ×2.5(EA3・FTMO50k #531407058),6.4,19.8,17.3,4.6,4.8,8.8,78.2,12.5,-5.0,-3.17,-2.1,43/59,1.52
Mon4 ×3.3(EA2 Mon側・FTMO50k #521100397),8.5,26.6,23.2,6.0,6.3,11.7,113.0,16.6,-6.6,-4.19,-2.7,43/59,1.52
C案 C6m ×6.0(FTMO50k #531407058),15.0,21.3,56.5,2.3,22.3,28.5,251.1,29.1,-14.8,-5.41,-4.4,43/59,1.73
D案 v2 ×5.24(FTMO50k #521100397),7.0,31.7,29.7,17.8,16.5,8.3,171.6,22.5,-13.5,-4.89,-7.0,36/59,1.4
B案 RecentFit ×4.0(Fintokei パール),7.3,9.2,27.1,6.4,16.9,20.6,123.4,17.8,-10.7,-4.6,-5.1,41/59,1.45
速攻プロ C6m系 ×2.5(#6078225),6.1,9.0,20.9,1.1,8.9,11.2,71.1,11.5,-6.4,-2.26,-1.8,44/59,1.73
Instant ×4.0(FN #11988011),7.3,9.2,27.1,6.4,16.9,20.6,123.4,17.8,-10.7,-4.6,-5.1,41/59,1.45
非FX ×1.48(FN #14166201),0.8,-11.3,-10.7,14.9,1.6,36.8,27.7,5.1,-28.3,-7.65,-13.8,30/59,0.37
BROAD_IV 34 ×4.3(候補・EA 未完成),5.9,-0.9,25.3,34.1,18.2,14.6,138.7,19.4,-16.4,-6.65,-5.9,43/59,1.58
BROAD_IV 34 ×0.6(長寿命 2.6),3.5,-0.5,14.7,19.6,10.7,8.6,69.9,11.4,-10.1,-3.99,-3.5,43/59,1.58
TSMOM6 単独(校正 0.82),-2.1,-8.7,1.8,35.2,7.3,-2.8,28.2,5.2,-18.5,-5.29,-7.3,32/59,0.49
ロール捕捉 ×3(swap-free・2022-01〜),0.0,0.2,10.9,7.0,8.1,1.3,30.2,5.5,-2.0,-1.19,-1.3,38/59,1.67
ロール捕捉 ×5,0.0,0.3,18.7,11.8,13.8,2.2,54.8,9.3,-3.4,-1.98,-2.1,38/59,1.67
EA7 Mon4 ×2.0 + ロール ×3(Fintokei スイング候補),5.1,15.9,26.0,11.0,12.3,8.4,107.2,16.0,-5.4,-2.54,-1.4,42/59,2.12
EA7g Mon2 ×10 + ロール ×20(速攻プロ ギャンブル),33.9,60.5,324.6,79.3,139.8,87.2,7244.0,139.7,-32.9,-15.25,-10.5,44/59,2.26
