t,ret
2016-02,-0.01244
2016-03,-0.001324
2016-04,-0.000117
2016-05,0.005507
2016-06,-0.012178
2016-07,-0.001322
2016-08,0.003796
2016-09,-0.002408
2016-10,0.002661
2016-11,-0.002574
2016-12,0.00496
2017-01,-0.005082
2017-02,8.3e-05
2017-03,0.005737
2017-04,0.001325
2017-05,0.0025
2017-06,-0.000567
2017-07,-0.001269
2017-08,0.004265
2017-09,0.002145
2017-10,0.001266
2017-11,0.002684
2017-12,0.0015
2018-01,-0.001843
2018-02,-0.008169
2018-03,0.011024
2018-04,-0.001104
2018-05,-0.006448
2018-06,0.000839
2018-07,0.008283
2018-08,0.005753
2018-09,0.002623
2018-10,-0.003102
2018-11,0.001582
2018-12,-0.004523
2019-01,-0.002642
2019-02,0.003338
2019-03,0.008558
2019-04,0.00462
2019-05,-0.009901
2019-06,0.003391
2019-07,-0.001602
2019-08,-0.002722
2019-09,0.001645
2019-10,0.003253
2019-11,0.004463
2019-12,-0.006398
2020-01,0.007092
2020-02,-0.005788
2020-05,0.00837
2020-06,0.019944
2020-07,0.000497
2020-08,0.006207
2020-09,0.003385
2020-10,0.000599
2020-11,0.008159
2020-12,0.001591
2021-01,-0.004316
2021-02,0.004324
2021-03,0.008813
2021-04,0.003635
2021-05,-0.002454
2021-06,0.006199
2021-07,-0.002797
2021-08,0.005147
2021-09,-0.00197
2021-10,0.002054
2021-11,-0.003439
2021-12,0.008366
2022-01,-0.003356
2022-04,-0.005566
2022-05,0.002513
2022-06,0.019023
2022-07,-0.004757
2022-08,-0.000931
2022-09,0.008173
2022-10,0.008141
2022-11,-0.000145
2022-12,0.010172
2023-01,0.006143
2023-02,0.005559
2023-03,0.00313
2023-04,0.003574
2023-05,0.004498
2023-06,0.002249
2023-07,0.008318
2023-08,0.007477
2023-09,-0.007393
2023-10,-0.001158
2023-11,-0.002185
2023-12,0.004038
2024-01,0.001029
2024-02,-3.6e-05
2024-03,0.006526
2024-04,-0.002185
2024-05,0.013677
2024-06,0.004137
2024-07,-0.00776
2024-08,0.002719
2024-09,0.007612
2024-10,-0.00196
2024-11,0.004039
2024-12,0.004116
2025-01,0.00804
2025-02,0.007171
2025-03,-0.005578
2025-05,0.008391
2025-06,0.00287
2025-07,0.001753
2025-08,0.004644
2025-09,0.002893
2025-10,0.008202
2025-11,-4.6e-05
2025-12,-0.004144
2026-01,-0.000572
2026-02,0.010987
2026-03,-0.002584
2026-04,0.000687
2026-06,-0.001139
