族,銘柄,01,02,03,04,05,06,07,08,09,12m,YTD
Mon,EURJPY,0.2,-0.05,-0.08,0.9,0.49,0.19,0.28,0.48,-1.4,1.42,1.0
Mon,GBPJPY,0.96,0.27,0.64,1.12,1.12,0.9,0.24,0.31,-1.31,5.59,4.28
Mon,USDJPY,-0.53,0.14,-0.91,-0.67,0.39,0.38,0.75,0.66,-1.52,-2.2,-1.33
Mon,AUDJPY,0.55,0.36,1.81,2.07,0.61,-0.32,0.88,0.04,-1.34,5.68,4.72
Mon,NZDJPY,1.41,-0.21,1.22,2.37,0.49,-1.04,0.55,0.14,-1.54,2.97,3.37
Mon,CADJPY,-0.36,0.13,-1.07,1.07,0.31,-0.29,0.14,0.5,-1.3,-2.42,-0.89
Mon,CHFJPY,0.38,0.13,-1.34,1.71,0.2,-0.27,-0.67,0.19,-1.4,-1.21,-1.09
Mon,NAS100,1.45,1.69,1.64,1.35,-1.09,-1.25,-1.97,-0.29,,0.83,1.45
Mon,US500,1.24,0.8,1.19,1.43,-0.48,-0.71,-1.04,-0.09,,1.82,2.33
Mon,GER40,1.11,1.16,6.85,1.54,0.56,-0.05,0.36,-0.34,-0.58,5.16,10.91
Mon,JP225,1.71,1.76,-2.84,3.18,1.26,4.5,-3.83,0.78,0.33,12.43,6.78
Mon,UK100,0.2,1.4,0.14,-1.4,1.56,-0.74,-0.71,-0.52,-0.12,0.88,-0.23
Mon,FR40,-1.2,1.72,5.41,0.51,-1.01,-1.27,-0.17,-0.37,-0.1,-2.26,3.39
Hold,US500,1.32,-0.92,-5.14,10.37,5.1,-1.11,-0.18,2.57,-0.43,15.6,11.35
Hold,NAS100,0.9,-3.43,-4.8,15.24,8.3,-2.86,-3.25,3.88,-0.19,18.22,12.79
Hold,GER40,0.15,2.99,-10.35,7.06,3.29,-0.48,2.48,2.4,-2.68,7.25,3.93
Hold,JP225,5.88,10.31,-13.28,16.05,11.83,5.58,-8.18,2.98,-3.52,42.13,26.59
Hold,XAUUSD,8.92,10.9,-11.19,-0.76,-1.22,-11.83,0.6,9.38,-1.52,18.93,0.49
Hold,BTCUSD,-10.2,-14.83,1.8,11.77,-3.62,-20.45,7.21,24.99,-2.23,-33.82,-12.59
TSMOM,XAUUSD,8.92,10.9,-11.19,-0.76,-0.05,-0.05,-1.08,-0.05,-0.05,24.4,5.11
TSMOM,US500,1.32,-0.92,-5.14,-9.63,5.1,-1.11,-0.18,2.57,-0.43,-5.35,-8.82
TSMOM,NAS100,0.9,-3.43,-0.05,-13.56,8.3,-2.86,-3.25,3.88,-0.19,-6.89,-11.17
TSMOM,GER40,0.15,2.99,-10.35,-7.12,3.29,-0.48,2.48,2.4,-2.68,-12.86,-9.83
TSMOM,BTCUSD,9.54,11.47,-3.88,-11.62,3.07,23.5,-7.59,-21.4,-2.23,-9.25,-6.23
TSMOM,ETHUSD,16.77,14.94,-9.73,-0.05,-0.05,23.3,-17.18,-27.92,0.36,-43.24,-10.58
v4,EURUSD,0.07,1.13,-0.82,,,,,,,0.37,0.37
v4,GBPUSD,0.11,1.19,0.14,,,,,,,1.44,1.44
v4,USDJPY,-0.33,1.72,,,,,,1.19,,5.95,2.59
v4,AUDUSD,-1.4,1.76,,,,-0.23,1.06,,,1.17,1.18
v4,USDCHF,-0.19,1.96,-0.03,1.53,,,,,,3.28,3.28
v4,USDCAD,,,,,,-0.68,,,,-0.68,-0.68
v4,NZDUSD,-1.6,1.91,,1.91,,0.12,0.89,,,2.41,3.22
v4,EURJPY,-0.94,,,,,,,,,-0.49,-0.94
v4,GBPJPY,-0.38,-1.33,,-0.08,,,0.51,1.68,,2.0,0.37
Mon,GBPUSD,1.4,0.06,1.49,1.72,0.65,0.43,-0.57,-0.41,0.2,6.91,5.04
MonThuS,USDCHF,0.54,-0.24,-0.45,0.3,0.15,0.48,0.95,-0.84,0.34,1.4,1.22
RSI2a,GBPUSD,-2.91,1.22,1.66,0.53,1.04,1.72,0.86,-0.58,0.22,3.94,3.73
RSI2b,GBPJPY,1.16,1.19,0.45,-0.85,2.16,0.76,-0.79,-1.45,-1.33,6.1,1.25
Mon,ETHUSD,2.11,-0.26,23.4,6.72,-0.14,7.52,-3.1,0.7,-1.09,16.98,38.99
v4nfx,BTCUSD,9.44,8.48,8.86,-2.17,2.73,0.49,7.8,-6.47,,44.97,31.6
Hold,UK100,2.89,6.67,-6.78,1.94,0.24,0.79,3.48,-0.45,-1.66,14.04,6.76
Hold,WTI,13.51,2.72,51.2,3.59,-16.9,-20.48,21.77,1.23,16.61,58.64,73.46
