cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
MonS EURGBP,MonS,EURGBP,False,36,48,75,0.00035863483669729135,9.7,0.19,11,12,5.43,-1.34,-2.23,True,False
FriS NZDUSD,FriS,NZDUSD,False,34,48,71,0.0027576007427505544,23.5,0.46,7,12,4.96,-3.41,-9.74,True,False
WedS CADCHF,WedS,CADCHF,False,34,48,71,0.0027576007427505544,19.0,0.37,6,12,0.14,-2.5,-4.63,True,False
Hold EURJPY,Hold,EURJPY,False,33,48,69,0.006641640781122504,31.0,0.59,6,12,2.27,-4.09,-11.25,True,False
Mon GBPJPY,Mon,GBPJPY,True,33,48,69,0.006641640781122504,26.5,0.49,10,12,5.65,-1.51,-2.77,True,False
TueS CADCHF,TueS,CADCHF,False,33,48,69,0.006641640781122504,10.1,0.2,6,12,0.19,-1.58,-3.39,True,False
Thu XAUUSD,Thu,XAUUSD,False,32,48,67,0.01465247336026465,47.8,0.83,5,12,-2.07,-4.4,-6.64,True,False
Mon EURJPY,Mon,EURJPY,True,32,48,67,0.01465247336026465,19.5,0.38,8,12,1.33,-1.4,-2.38,True,False
FriS NZDCAD,FriS,NZDCAD,False,32,48,67,0.01465247336026465,16.8,0.33,6,12,3.82,-2.13,-5.73,True,False
Mon USDJPY,Mon,USDJPY,True,32,48,67,0.01465247336026465,16.5,0.32,7,12,-1.21,-1.72,-3.54,True,False
ThuS BTCUSD,ThuS,BTCUSD,False,31,48,65,0.02973168762688516,83.3,1.41,9,12,39.55,-10.58,-25.51,True,False
Hold CHFJPY,Hold,CHFJPY,False,31,48,65,0.02973168762688516,51.9,0.9,7,12,1.33,-3.29,-8.28,True,False
Mon NAS100,Mon,NAS100,True,31,48,65,0.02973168762688516,50.0,0.88,5,11,-0.44,-4.73,-10.5,True,False
FriS AUDCHF,FriS,AUDCHF,False,31,48,65,0.02973168762688516,26.5,0.5,6,12,1.63,-2.4,-4.59,True,False
WedS USDCHF,WedS,USDCHF,False,31,48,65,0.02973168762688516,17.9,0.35,5,12,-0.95,-1.56,-5.51,True,False
FriS AUDCAD,FriS,AUDCAD,False,31,48,65,0.02973168762688516,16.1,0.32,6,12,3.19,-1.56,-4.4,True,False
WedS AUDCHF,WedS,AUDCHF,False,31,48,65,0.02973168762688516,13.1,0.26,5,12,-1.48,-3.57,-4.79,True,False
FriS EURUSD,FriS,EURUSD,False,31,48,65,0.02973168762688516,9.9,0.2,10,12,4.96,-2.47,-4.51,True,False
Hold NAS100,Hold,NAS100,True,30,48,62,0.055701445530509375,53.1,1.06,5,12,15.52,-13.3,-36.81,False,False
Mon AUDJPY,Mon,AUDJPY,True,30,48,62,0.055701445530509375,23.5,0.45,9,12,5.76,-1.53,-3.3,False,False
Mon CADJPY,Mon,CADJPY,True,30,48,62,0.055701445530509375,18.5,0.36,7,12,-1.72,-1.58,-2.77,False,False
TueS NZDUSD,TueS,NZDUSD,False,30,48,62,0.055701445530509375,11.3,0.23,8,12,1.54,-3.3,-5.91,False,False
ThuS EURCHF,ThuS,EURCHF,False,30,48,62,0.055701445530509375,10.7,0.21,10,12,2.21,-0.93,-3.85,False,False
ThuS AUDCHF,ThuS,AUDCHF,False,30,48,62,0.055701445530509375,9.0,0.19,8,12,5.94,-1.94,-8.01,False,False
TueS EURUSD,TueS,EURUSD,False,30,48,62,0.055701445530509375,8.9,0.18,7,12,-1.39,-2.31,-4.11,False,False
FriS AUDUSD,FriS,AUDUSD,False,30,48,62,0.055701445530509375,5.8,0.16,6,12,3.97,-14.3,-20.04,False,False
Hold AUDNZD,Hold,AUDNZD,False,30,48,62,0.055701445530509375,6.4,0.14,9,12,7.68,-2.75,-8.29,False,False
ThuS EURCAD,ThuS,EURCAD,False,30,48,62,0.055701445530509375,2.0,0.05,7,12,-0.49,-3.07,-6.61,False,False
WedS WTI,WedS,WTI,False,29,48,60,0.09670632643096866,57.4,1.03,4,12,-14.84,-8.06,-16.73,False,False
Hold US500,Hold,US500,True,29,48,60,0.09670632643096866,51.6,0.98,6,12,13.8,-9.38,-25.76,False,False
TueS WTI,TueS,WTI,False,29,48,60,0.09670632643096866,29.2,0.63,7,12,7.73,-8.85,-23.4,False,False
Hold USDJPY,Hold,USDJPY,False,29,48,60,0.09670632643096866,29.6,0.6,7,12,3.34,-6.18,-14.88,False,False
Hold UK100,Hold,UK100,True,29,48,60,0.09670632643096866,28.8,0.57,8,12,13.22,-5.81,-13.48,False,False
Mon US500,Mon,US500,True,29,48,60,0.09670632643096866,25.2,0.48,5,11,1.1,-3.13,-7.94,False,False
Mon CHFJPY,Mon,CHFJPY,True,29,48,60,0.09670632643096866,18.4,0.36,7,12,-0.98,-1.12,-2.64,False,False
Wed NAS100,Wed,NAS100,False,29,48,60,0.09670632643096866,14.4,0.34,6,12,-4.39,-10.93,-20.03,False,False
FriS GBPUSD,FriS,GBPUSD,False,29,48,60,0.09670632643096866,15.1,0.3,8,12,3.34,-2.38,-7.9,False,False
TueS AUDCHF,TueS,AUDCHF,False,29,48,60,0.09670632643096866,12.7,0.26,4,12,-2.45,-2.67,-7.88,False,False
TueS EURGBP,TueS,EURGBP,False,29,48,60,0.09670632643096866,9.9,0.2,5,12,-2.26,-1.4,-3.14,False,False
Tue GBPJPY,Tue,GBPJPY,False,29,48,60,0.09670632643096866,8.1,0.17,5,12,-0.4,-4.4,-7.8,False,False
MonS USDCHF,MonS,USDCHF,False,29,48,60,0.09670632643096866,5.9,0.12,6,12,1.33,-1.4,-4.36,False,False
