cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
Monx3 NAS100,Monx3,NAS100,35,48,73,0.0010440536669982237,1.79,122.4,-8.59,8,11,12.64,False,True
WedSx3 GBPCHF,WedSx3,GBPCHF,35,48,73,0.0010440536669982237,0.55,29.2,-3.47,5,12,1.51,False,True
Tuex3 XAUUSD,Tuex3,XAUUSD,34,48,71,0.0027576007427505544,1.39,90.8,-3.4,8,12,21.31,False,True
Monx3 CHFJPY,Monx3,CHFJPY,34,48,71,0.0027576007427505544,0.72,40.6,-3.62,7,12,1.87,False,True
Frix3 EURJPY,Frix3,EURJPY,34,48,71,0.0027576007427505544,0.66,35.9,-4.98,9,12,5.39,False,True
Monx3 GBPJPY,Monx3,GBPJPY,34,48,71,0.0027576007427505544,0.66,36.0,-4.64,9,12,8.32,False,True
Monx3 EURJPY,Monx3,EURJPY,34,48,71,0.0027576007427505544,0.61,33.0,-5.45,10,12,5.68,False,True
TueSx3 CADCHF,TueSx3,CADCHF,34,48,71,0.0027576007427505544,0.58,31.3,-3.31,5,12,0.37,False,True
WedSx3 CADCHF,WedSx3,CADCHF,34,48,71,0.0027576007427505544,0.57,30.1,-2.95,5,12,0.51,False,True
Monx2 AUDJPY,Monx2,AUDJPY,34,48,71,0.0027576007427505544,0.51,27.2,-3.39,9,12,12.83,False,True
Monx3 US500,Monx3,US500,33,48,69,0.006641640781122504,1.18,71.4,-7.04,7,11,12.27,False,True
Frix3 GBPJPY,Frix3,GBPJPY,33,48,69,0.006641640781122504,0.75,41.9,-5.04,9,12,7.5,False,True
Tuex3 GER40,Tuex3,GER40,33,48,69,0.006641640781122504,0.65,31.6,-13.64,6,12,4.63,False,True
TueSx3 EURCHF,TueSx3,EURCHF,33,48,69,0.006641640781122504,0.34,17.3,-1.47,8,12,1.01,False,True
TOM US500,TOM,US500,33,48,69,0.006641640781122504,0.16,6.9,-6.85,7,11,8.7,False,True
Wedx2 XAUUSD,Wedx2,XAUUSD,32,48,67,0.01465247336026465,1.25,79.0,-3.66,8,12,6.16,False,True
Monx2 US500,Monx2,US500,32,48,67,0.01465247336026465,0.72,39.1,-4.12,8,11,14.38,False,True
Tuex2 EUSTX50,Tuex2,EUSTX50,32,48,67,0.01465247336026465,0.72,38.1,-6.27,7,12,13.02,False,True
Monx2 GBPJPY,Monx2,GBPJPY,32,48,67,0.01465247336026465,0.7,39.3,-2.56,9,12,5.72,False,True
