cell,family,symbol,h0,span,known,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
MonS USDCHF 20-00UTC,MonS,USDCHF,20,4,False,40,47,85,5.354559107217938e-07,0.13,6.3,-0.62,7,11,0.53,True,True
ThuS USDCHF 20-00UTC,ThuS,USDCHF,20,4,False,40,48,83,1.652633354609634e-06,0.17,8.4,-0.14,9,11,2.14,True,True
WedS USDCHF 20-00UTC,WedS,USDCHF,20,4,False,39,48,81,7.610913055344781e-06,0.2,10.0,-0.34,9,11,2.58,True,True
WedS AUDJPY 20-00UTC,WedS,AUDJPY,20,4,False,38,48,79,3.0848203888211856e-05,0.36,18.8,-0.54,10,11,2.76,True,True
WedS USDJPY 20-00UTC,WedS,USDJPY,20,4,False,37,48,77,0.00011112248131084357,0.32,16.5,-0.5,9,11,2.27,False,True
ThuS USDCHF 00-04UTC,ThuS,USDCHF,0,4,False,37,48,77,0.00011112248131084357,0.14,6.8,-0.44,6,11,0.55,False,True
WedS GBPUSD 00-04UTC,WedS,GBPUSD,0,4,False,37,48,77,0.00011112248131084357,0.12,5.8,-0.54,7,11,0.45,False,True
TueS USDCHF 20-00UTC,TueS,USDCHF,20,4,False,37,48,77,0.00011112248131084357,0.11,5.3,-0.22,8,11,2.59,False,True
FriS GBPUSD 00-08UTC,FriS,GBPUSD,0,8,False,36,47,77,0.0001730005701574555,0.19,9.2,-0.97,8,11,2.12,False,True
MonS AUDUSD 20-00UTC,MonS,AUDUSD,20,4,False,36,47,77,0.0001730005701574555,0.09,4.2,-0.68,10,11,2.11,False,True
WedS GBPJPY 20-00UTC,WedS,GBPJPY,20,4,False,36,48,75,0.00035863483669729135,0.29,14.6,-0.39,11,11,2.24,False,True
WedS EURJPY 20-00UTC,WedS,EURJPY,20,4,False,36,48,75,0.00035863483669729135,0.25,12.9,-0.28,9,11,1.49,False,True
ThuS NZDUSD 20-00UTC,ThuS,NZDUSD,20,4,False,36,48,75,0.00035863483669729135,0.17,8.4,-0.39,7,11,1.72,False,True
