cell,family,symbol,h0,span,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,worst_m_in_pct,plus_pre,n_pre,p_pre,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005,pre_sig
MonS EURGBP 20-00UTC,MonS,EURGBP,20,4,37,39,95,1.420630724169314e-09,0.14,-0.04,56,69,8.418816715061086e-08,9,12,1.01,True,True,True
TueS EURGBP 20-00UTC,TueS,EURGBP,20,4,37,39,95,1.420630724169314e-09,0.09,-0.21,54,69,1.306424001795009e-06,11,12,1.26,True,True,True
MonS EURGBP 16-00UTC,MonS,EURGBP,16,8,34,39,87,1.2149539543315768e-06,0.18,-0.34,45,69,0.0077161487268506326,8,12,1.45,True,True,True
MonS EURGBP 16-20UTC,MonS,EURGBP,16,4,33,39,85,7.14963061909657e-06,0.15,-0.58,46,69,0.0038102609275128484,9,12,1.67,True,True,True
ThuS EURGBP 20-00UTC,ThuS,EURGBP,20,4,33,39,85,7.14963061909657e-06,0.1,-0.1,55,69,3.460958460029819e-07,6,12,-0.28,True,True,True
WedS CADJPY 20-00UTC,WedS,CADJPY,20,4,32,39,82,3.5127392038702965e-05,0.3,-0.53,50,69,0.00012219850828878748,11,12,4.4,True,True,True
TueS EURGBP 00-04UTC,TueS,EURGBP,0,4,32,39,82,3.5127392038702965e-05,0.13,-0.11,47,69,0.0017724064235105262,11,12,1.16,True,True,True
ThuS GBPAUD 00-08UTC,ThuS,GBPAUD,0,8,30,39,77,0.00053250981727615,0.34,-0.68,40,69,0.11420011267664848,5,12,-1.38,False,True,False
FriS EURGBP 16-20UTC,FriS,EURGBP,16,4,30,39,77,0.00053250981727615,0.14,-0.3,46,69,0.0038102609275128484,10,12,3.46,False,True,True
WedS EURGBP 00-04UTC,WedS,EURGBP,0,4,30,39,77,0.00053250981727615,0.1,-0.5,46,69,0.0038102609275128484,7,12,0.02,False,True,True
MonS EURGBP 00-04UTC,MonS,EURGBP,0,4,30,39,77,0.00053250981727615,0.0,-2.44,47,69,0.0017724064235105262,8,12,1.06,False,True,True
TueS EURGBP 12-16UTC,TueS,EURGBP,12,4,29,39,74,0.0016889239559532143,0.27,-0.68,45,69,0.0077161487268506326,7,12,1.09,False,True,True
ThuS GBPAUD 00-04UTC,ThuS,GBPAUD,0,4,29,39,74,0.0016889239559532143,0.22,-0.68,38,69,0.2351842659290722,4,12,-0.23,False,True,False
WedS CHFJPY 20-00UTC,WedS,CHFJPY,20,4,29,39,74,0.0016889239559532143,0.19,-0.3,44,69,0.014746746765658644,9,12,3.44,False,True,True
TueS GBPAUD 16-00UTC,TueS,GBPAUD,16,8,29,39,74,0.0016889239559532143,0.19,-0.77,35,69,0.5,7,12,1.09,False,True,False
TueS GBPAUD 16-20UTC,TueS,GBPAUD,16,4,29,39,74,0.0016889239559532143,0.18,-0.23,38,69,0.2351842659290722,7,12,-0.59,False,True,False
TueS XAUUSD 20-00UTC,TueS,XAUUSD,20,4,29,39,74,0.0016889239559532143,0.1,-0.42,6,9,,7,12,1.09,False,True,False
ThuS EURGBP 00-04UTC,ThuS,EURGBP,0,4,29,39,74,0.0016889239559532143,0.08,-0.38,46,69,0.0038102609275128484,9,12,1.17,False,True,True
WedS EURGBP 20-00UTC,WedS,EURGBP,20,4,29,39,74,0.0016889239559532143,0.06,-0.13,46,69,0.0038102609275128484,10,12,0.92,False,True,True
MonS XAUUSD 00-08UTC,MonS,XAUUSD,0,8,28,39,72,0.004737652139738202,0.46,-1.6,3,9,,4,12,-8.79,False,True,False
ThuS NZDJPY 08-16UTC,ThuS,NZDJPY,8,8,28,39,72,0.004737652139738202,0.35,-2.29,43,69,0.026644681908256817,7,12,0.68,False,True,True
ThuS EURAUD 00-08UTC,ThuS,EURAUD,0,8,28,39,72,0.004737652139738202,0.35,-1.05,37,69,0.315228245893399,4,12,-2.12,False,True,False
MonS XAUUSD 04-08UTC,MonS,XAUUSD,4,4,28,39,72,0.004737652139738202,0.34,-1.12,4,9,,5,12,-2.39,False,True,False
WedS CADJPY 16-00UTC,WedS,CADJPY,16,8,28,39,72,0.004737652139738202,0.31,-1.36,36,69,0.40497452645946236,6,12,0.05,False,True,False
WedS NZDJPY 20-00UTC,WedS,NZDJPY,20,4,28,39,72,0.004737652139738202,0.28,-0.42,40,69,0.11420011267664848,10,12,4.19,False,True,False
ThuS EURAUD 04-08UTC,ThuS,EURAUD,4,4,28,39,72,0.004737652139738202,0.19,-0.31,40,69,0.11420011267664848,6,12,-1.31,False,True,False
