universe,lookback_w,hold_w,is_plus,is_n,is_rate,is_mean_bps,p,oos_plus,oos_n,oos_mean_bps,pre_rate,pre_mean_bps,passed
対USD 7,2,2,25,39,0.641,21.1,0.054064510703028645,7,19,-29.3,0.333,-24.1,False
対USD 7,2,1,24,39,0.615,6.9,0.09979543345980346,3,19,-19.9,0.348,-9.1,False
対USD 7,4,2,24,39,0.615,11.7,0.09979543345980346,8,19,-0.0,0.426,-10.0,False
対USD 7,1,1,23,39,0.59,3.8,0.1683918175949657,4,19,-17.8,0.333,-12.2,False
対USD 7,4,1,23,39,0.59,0.6,0.1683918175949657,5,19,-5.0,0.397,-5.4,False
円クロス 6,2,2,20,39,0.513,-0.3,0.5,9,19,-4.0,0.391,-11.6,False
円クロス 6,4,1,19,39,0.487,0.4,0.6253706876195793,5,19,-3.1,0.324,-3.7,False
対USD 7,1,2,19,39,0.487,-3.0,0.6253706876195793,8,19,-6.3,0.449,-6.0,False
円クロス 6,4,2,19,39,0.487,-5.3,0.6253706876195793,7,19,-9.2,0.426,-5.2,False
円クロス 6,1,1,17,39,0.436,-1.8,0.8316081824050343,7,19,-1.3,0.42,-5.4,False
円クロス 6,1,2,17,39,0.436,-4.0,0.8316081824050343,6,19,-5.6,0.42,-1.1,False
円クロス 6,2,1,15,39,0.385,-2.6,0.9459354892969714,5,19,-4.0,0.391,-4.6,False
