family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
F4 クロスアセット',AUDJPY,US13-20 → 00-08 追随,26,39,0.667,2.2,808,0.026625957048963755,7,20,-3.8,70,0.243,False
F2 週明けギャップ,NAS100,hold12h 逆行,20,31,0.645,6.3,130,0.07480639219284058,6,13,-7.1,17,0.529,False
F1 アジアレンジ,EURGBP,trig07 hold8h 逆行,3,3,1.0,9.7,3,0.125,0,1,-34.3,10,0.4,False
F2 週明けギャップ,NAS100,hold24h 逆行,19,31,0.613,5.0,129,0.14052075752988458,7,13,12.2,17,0.294,False
F4 クロスアセット,GBPJPY,US13-21 → 00-08 追随,11,17,0.647,0.8,288,0.1661529541015625,3,8,-2.1,23,0.348,False
F4 クロスアセット,AUDJPY,US17-21 → 00-08 追随,11,17,0.647,4.4,288,0.1661529541015625,3,8,0.8,23,0.304,False
F4 クロスアセット,AUDJPY,US13-21 → 00-08 追随,11,17,0.647,4.1,288,0.1661529541015625,4,8,-0.2,23,0.217,False
F4 クロスアセット,NZDJPY,US13-21 → 00-08 追随,11,17,0.647,1.5,288,0.1661529541015625,3,5,3.3,23,0.435,False
F2 週明けギャップ,EURUSD,hold24h 追随,23,39,0.59,0.7,169,0.1683918175949657,9,20,-3.3,69,0.493,False
F4 クロスアセット',GBPJPY,US16-20 → 00-08 追随,23,39,0.59,0.3,808,0.1683918175949657,7,20,-1.4,70,0.386,False
F1' アジアレンジ(終値判定),NAS100,bar08close→09 hold8h 追随,18,31,0.581,3.2,290,0.23656482994556427,4,13,-4.2,42,0.31,False
F1 アジアレンジ,GBPUSD,trig07 hold4h 追随,2,2,1.0,29.9,2,0.25,0,1,-20.3,3,0.667,False
F1 アジアレンジ,AUDJPY,trig07 hold8h 追随,2,2,1.0,23.2,2,0.25,0,2,-42.0,3,0.333,False
F1 アジアレンジ,GBPUSD,trig07 hold8h 追随,2,2,1.0,82.2,2,0.25,0,1,-26.3,3,0.333,False
F1 アジアレンジ,AUDUSD,trig08 hold8h 追随,22,39,0.564,2.4,201,0.26119869024842046,10,20,0.4,68,0.382,False
F2 週明けギャップ,GER40,hold24h 追随,22,39,0.564,4.0,165,0.26119869024842046,6,20,-25.1,69,0.478,False
F3 日中継続,EURUSD,start00 +4h→8h 逆行,22,39,0.564,0.3,843,0.26119869024842046,8,20,-1.9,69,0.304,False
F2 週明けギャップ,EURUSD,hold12h 追随,22,39,0.564,0.1,168,0.26119869024842046,7,20,-4.3,69,0.478,False
F4 クロスアセット',GBPJPY,US13-20 → 00-08 追随,22,39,0.564,0.4,808,0.26119869024842046,7,20,-2.5,70,0.3,False
F4 クロスアセット',CHFJPY,US13-20 → 00-08 追随,22,39,0.564,0.7,808,0.26119869024842046,5,12,-2.7,70,0.271,False
F1' アジアレンジ(終値判定),GBPJPY,bar07close→08 hold8h 追随,22,39,0.564,0.7,261,0.26119869024842046,10,20,-3.7,69,0.464,False
F1' アジアレンジ(終値判定),XAUUSD,bar08close→09 hold8h 追随,22,39,0.564,-0.6,325,0.26119869024842046,7,12,7.6,9,0.444,False
F1' アジアレンジ(終値判定),US500,bar08close→09 hold8h 追随,22,39,0.564,-0.3,366,0.26119869024842046,10,20,-3.9,44,0.432,False
F1 アジアレンジ,GBPJPY,trig08 hold8h 追随,22,39,0.564,0.7,259,0.26119869024842046,9,20,-4.3,69,0.464,False
F1' アジアレンジ(終値判定),GBPAUD,bar07close→08 hold4h 追随,22,39,0.564,1.0,214,0.26119869024842046,1,12,-5.3,69,0.435,False
F4 クロスアセット',AUDJPY,US16-20 → 00-08 追随,22,39,0.564,0.4,808,0.26119869024842046,7,20,-2.7,70,0.271,False
F1' アジアレンジ(終値判定),GBPAUD,bar08close→09 hold4h 追随,22,39,0.564,-0.0,305,0.26119869024842046,6,12,-1.5,69,0.522,False
F1 アジアレンジ,EURJPY,trig07 hold8h 逆行,3,4,0.75,6.2,4,0.3125,0,0,,2,1.0,False
F1 アジアレンジ,NZDJPY,trig07 hold4h 逆行,3,4,0.75,9.5,4,0.3125,1,2,4.9,4,0.25,False
