cell,symbol,is_plus,is_n,is_rate,is_gross_bps,is_net_bps,p,oos_plus,oos_n,oos_net_bps,pre_rate,passed
Fri EUSTX50 08-16UTC,EUSTX50,23,39,0.59,-0.1,-4.1,0.1683918175949657,7,20,-16.03,0.489,False
Mon EUSTX50 16-20UTC,EUSTX50,12,20,0.6,-4.32,-8.32,0.2517223358154297,4,9,2.35,0.571,False
Thu EUSTX50 08-16UTC,EUSTX50,22,39,0.564,3.17,-0.83,0.26119869024842046,10,20,-2.95,0.356,False
Wed EUSTX50 08-16UTC,EUSTX50,21,39,0.538,9.1,5.1,0.37462931238042074,8,20,-3.73,0.578,False
Wed EUSTX50 08-12UTC,EUSTX50,21,39,0.538,6.18,2.18,0.37462931238042074,10,20,-0.14,0.4,False
Fri EUSTX50 12-16UTC,EUSTX50,21,39,0.538,0.47,-3.53,0.37462931238042074,7,20,-11.07,0.422,False
Tue EUSTX50 08-16UTC,EUSTX50,21,39,0.538,-1.95,-5.95,0.37462931238042074,12,20,2.12,0.444,False
Mon EUSTX50 08-16UTC,EUSTX50,20,39,0.513,5.85,1.85,0.5,11,20,13.53,0.4,False
Fri EUSTX50 08-12UTC,EUSTX50,19,39,0.487,-0.57,-4.57,0.6253706876195793,9,20,-8.97,0.467,False
Thu EUSTX50 08-12UTC,EUSTX50,19,39,0.487,2.08,-1.92,0.6253706876195793,9,20,-4.54,0.333,False
Tue EUSTX50 08-12UTC,EUSTX50,19,39,0.487,2.76,-1.24,0.6253706876195793,12,20,0.18,0.489,False
Fri EUSTX50 16-20UTC,EUSTX50,8,17,0.471,4.22,0.22,0.6854705810546875,4,9,-5.23,0.421,False
Thu EUSTX50 16-20UTC,EUSTX50,8,18,0.444,1.76,-2.24,0.7596588134765625,2,9,-18.84,0.429,False
Tue EUSTX50 16-20UTC,EUSTX50,8,19,0.421,3.96,-0.04,0.8203582763671875,4,9,7.13,0.429,False
TueS EUSTX50 16-20UTC,EUSTX50,8,19,0.421,-3.96,-7.96,0.8203582763671875,3,9,-15.13,0.381,False
Wed EUSTX50 12-16UTC,EUSTX50,17,39,0.436,2.91,-1.09,0.8316081824050343,6,20,-7.61,0.533,False
Mon EUSTX50 12-16UTC,EUSTX50,17,39,0.436,4.11,0.11,0.8316081824050343,12,20,1.38,0.4,False
Mon EUSTX50 08-12UTC,EUSTX50,17,39,0.436,1.61,-2.39,0.8316081824050343,10,20,8.1,0.378,False
TueS EUSTX50 12-16UTC,EUSTX50,17,39,0.436,4.73,0.73,0.8316081824050343,8,20,-5.92,0.444,False
Wed EUSTX50 16-20UTC,EUSTX50,7,18,0.389,1.09,-2.91,0.8810577392578125,6,9,4.97,0.429,False
