family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
前日高安ブレイク,USDJPY,上抜け 追随 hold=4h,27,39,0.692,1.36,394,0.011851351235236507,8,20,-0.67,69,0.246,False
前日高安ブレイク,NAS100,上抜け 追随 hold=day,20,31,0.645,6.7,364,0.07480639219284058,8,13,3.17,42,0.571,False
前日高安ブレイク,USDJPY,下抜け 逆行 hold=4h,24,39,0.615,-0.61,271,0.09979543345980346,7,20,-5.5,69,0.319,False
前日高安ブレイク,NZDUSD,上抜け 逆行 hold=day,24,39,0.615,4.51,343,0.09979543345980346,8,20,-3.25,69,0.449,False
前日高安ブレイク,UK100,下抜け 逆行 hold=day,23,39,0.59,-0.84,310,0.1683918175949657,14,20,12.21,45,0.333,False
前日高安ブレイク,UK100,上抜け 逆行 hold=day,23,39,0.59,4.96,379,0.1683918175949657,8,20,-4.09,45,0.622,False
前日高安ブレイク,USDJPY,上抜け 追随 hold=day,22,39,0.564,1.99,395,0.26119869024842046,12,20,-1.99,69,0.391,False
前日高安ブレイク,GER40,上抜け 追随 hold=4h,22,39,0.564,-0.07,378,0.26119869024842046,6,20,-6.87,69,0.391,False
前日高安ブレイク,US30,下抜け 逆行 hold=day,21,39,0.538,4.95,332,0.37462931238042074,15,20,18.52,45,0.622,False
前日高安ブレイク,XAGUSD,下抜け 追随 hold=4h,21,39,0.538,-2.35,321,0.37462931238042074,7,20,-9.42,45,0.4,False
前日高安ブレイク,AUDUSD,上抜け 逆行 hold=day,21,39,0.538,4.13,357,0.37462931238042074,6,20,-4.39,69,0.449,False
前日高安ブレイク,JP225,上抜け 追随 hold=day,20,39,0.513,-2.08,376,0.5,12,20,3.93,45,0.533,False
前日高安ブレイク,GER40,上抜け 追随 hold=day,20,39,0.513,0.07,387,0.5,11,20,-2.38,69,0.406,False
前日高安ブレイク,US30,上抜け 逆行 hold=4h,20,39,0.513,-0.24,354,0.5,7,20,-3.18,45,0.489,False
前日高安ブレイク,US500,上抜け 追随 hold=day,20,39,0.513,-0.27,398,0.5,9,20,-1.5,69,0.522,False
前日高安ブレイク,XAGUSD,上抜け 逆行 hold=day,20,39,0.513,1.11,353,0.5,8,20,-20.71,45,0.4,False
前日高安ブレイク,US500,下抜け 逆行 hold=4h,20,39,0.513,0.3,309,0.5,11,20,2.68,69,0.667,False
前日高安ブレイク,AUDUSD,下抜け 追随 hold=day,20,39,0.513,-1.23,346,0.5,2,20,-12.98,69,0.29,False
前日高安ブレイク,USDJPY,下抜け 逆行 hold=day,20,39,0.513,-0.5,275,0.5,10,20,-2.2,69,0.406,False
前日高安ブレイク,US30,上抜け 追随 hold=day,20,39,0.513,-1.24,378,0.5,11,20,-2.42,45,0.489,False
前日高安ブレイク,NAS100,下抜け 逆行 hold=day,16,31,0.516,-1.11,293,0.5,11,13,29.18,42,0.643,False
前日高安ブレイク,JP225,下抜け 逆行 hold=day,19,39,0.487,-0.62,310,0.6253706876195793,14,20,25.5,45,0.578,False
前日高安ブレイク,XAGUSD,下抜け 追随 hold=day,19,39,0.487,-6.08,330,0.6253706876195793,10,20,10.81,45,0.489,False
前日高安ブレイク,GBPUSD,上抜け 逆行 hold=day,19,39,0.487,-2.62,342,0.6253706876195793,8,20,-4.21,69,0.478,False
前日高安ブレイク,GBPUSD,下抜け 逆行 hold=day,19,39,0.487,-0.97,353,0.6253706876195793,10,20,0.58,69,0.449,False
前日高安ブレイク,US500,下抜け 逆行 hold=day,19,39,0.487,-0.56,322,0.6253706876195793,14,20,21.78,69,0.667,False
前日高安ブレイク,NAS100,下抜け 逆行 hold=4h,15,31,0.484,-0.96,332,0.639949934091419,6,13,4.51,42,0.595,False
前日高安ブレイク,JP225,下抜け 逆行 hold=4h,18,39,0.462,-2.68,304,0.7388013097515795,11,20,0.65,45,0.356,False
前日高安ブレイク,UK100,下抜け 逆行 hold=4h,18,39,0.462,-1.73,310,0.7388013097515795,8,20,-0.58,45,0.422,False
前日高安ブレイク,EURUSD,下抜け 逆行 hold=day,18,39,0.462,-1.09,357,0.7388013097515795,8,20,0.72,69,0.435,False
前日高安ブレイク,EURUSD,上抜け 逆行 hold=day,18,39,0.462,-1.16,339,0.7388013097515795,5,20,-6.78,69,0.42,False
前日高安ブレイク,US500,上抜け 追随 hold=4h,18,39,0.462,-1.58,392,0.7388013097515795,6,20,-4.69,69,0.319,False
前日高安ブレイク,AUDUSD,上抜け 逆行 hold=4h,18,39,0.462,-0.4,354,0.7388013097515795,6,20,-5.27,69,0.362,False
前日高安ブレイク,NZDUSD,下抜け 追随 hold=day,18,39,0.462,-1.15,351,0.7388013097515795,6,20,-7.76,69,0.348,False
前日高安ブレイク,GBPUSD,下抜け 追随 hold=4h,17,39,0.436,-2.28,352,0.8316081824050343,6,20,-3.18,69,0.42,False
前日高安ブレイク,GER40,下抜け 追随 hold=day,17,39,0.436,-5.48,306,0.8316081824050343,7,20,-14.3,69,0.29,False
前日高安ブレイク,GER40,下抜け 逆行 hold=day,17,39,0.436,-0.52,306,0.8316081824050343,10,20,8.3,69,0.609,False
前日高安ブレイク,JP225,下抜け 追随 hold=4h,17,39,0.436,-5.32,304,0.8316081824050343,6,20,-8.65,45,0.467,False
前日高安ブレイク,US30,下抜け 逆行 hold=4h,17,39,0.436,2.09,319,0.8316081824050343,10,20,1.38,45,0.6,False
前日高安ブレイク,JP225,上抜け 逆行 hold=4h,17,39,0.436,-4.53,372,0.8316081824050343,7,20,-2.76,45,0.222,False
前日高安ブレイク,XAGUSD,上抜け 逆行 hold=4h,17,39,0.436,-1.93,338,0.8316081824050343,8,20,-12.78,45,0.4,False
前日高安ブレイク,XAUUSD,上抜け 逆行 hold=day,17,39,0.436,-5.31,423,0.8316081824050343,1,12,-27.21,9,0.444,False
前日高安ブレイク,US30,上抜け 逆行 hold=day,16,39,0.41,-4.76,378,0.9002045665401965,7,20,-3.58,45,0.4,False
前日高安ブレイク,US30,下抜け 追随 hold=4h,16,39,0.41,-8.09,319,0.9002045665401965,6,20,-7.38,45,0.267,False
前日高安ブレイク,EURUSD,上抜け 追随 hold=4h,16,39,0.41,-3.92,335,0.9002045665401965,8,20,0.74,69,0.304,False
前日高安ブレイク,EURUSD,上抜け 逆行 hold=4h,16,39,0.41,-1.65,335,0.9002045665401965,4,20,-5.99,69,0.348,False
前日高安ブレイク,USDCHF,下抜け 逆行 hold=day,16,39,0.41,-4.63,334,0.9002045665401965,5,20,-8.38,69,0.348,False
前日高安ブレイク,USDCHF,下抜け 追随 hold=4h,16,39,0.41,-2.11,330,0.9002045665401965,8,20,-0.33,69,0.246,False
前日高安ブレイク,EURUSD,下抜け 逆行 hold=4h,16,39,0.41,-2.0,353,0.9002045665401965,7,20,-1.41,69,0.319,False
前日高安ブレイク,GBPUSD,上抜け 逆行 hold=4h,16,39,0.41,0.06,335,0.9002045665401965,6,20,-3.18,69,0.391,False
前日高安ブレイク,UK100,上抜け 逆行 hold=4h,16,39,0.41,0.13,370,0.9002045665401965,8,20,-2.07,45,0.378,False
前日高安ブレイク,JP225,上抜け 逆行 hold=day,16,39,0.41,-5.92,376,0.9002045665401965,7,20,-11.93,45,0.333,False
前日高安ブレイク,US500,下抜け 追随 hold=day,16,39,0.41,-5.44,322,0.9002045665401965,4,20,-27.78,69,0.232,False
前日高安ブレイク,XAGUSD,上抜け 追随 hold=day,16,39,0.41,-11.11,353,0.9002045665401965,12,20,10.71,45,0.422,False
前日高安ブレイク,NAS100,下抜け 追随 hold=4h,12,31,0.387,-5.04,332,0.9251936078071594,3,13,-10.51,42,0.262,False
前日高安ブレイク,NAS100,上抜け 追随 hold=4h,12,31,0.387,-1.9,411,0.9251936078071594,6,13,2.68,42,0.429,False
前日高安ブレイク,UK100,下抜け 追随 hold=day,15,39,0.385,-7.16,310,0.9459354892969714,2,20,-20.21,45,0.489,False
前日高安ブレイク,XAGUSD,下抜け 逆行 hold=day,15,39,0.385,-3.92,330,0.9459354892969714,8,20,-20.81,45,0.378,False
前日高安ブレイク,USDCHF,上抜け 追随 hold=4h,15,39,0.385,-2.16,352,0.9459354892969714,6,20,-2.99,69,0.319,False
前日高安ブレイク,USDCHF,上抜け 逆行 hold=day,15,39,0.385,-2.54,355,0.9459354892969714,6,20,-3.07,69,0.522,False
前日高安ブレイク,GER40,下抜け 逆行 hold=4h,15,39,0.385,-2.4,304,0.9459354892969714,7,20,-6.69,69,0.565,False
前日高安ブレイク,US30,上抜け 追随 hold=4h,15,39,0.385,-5.76,354,0.9459354892969714,9,20,-2.82,45,0.289,False
