family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
早朝,CADJPY,21h>0.5ATR 逆行 hold=2h,21,38,0.553,1.02,134,0.31355128507857444,6,12,-3.12,67,0.299,False
早朝,CHFJPY,21h>0.5ATR 追随 hold=1h,20,38,0.526,-0.18,226,0.43570733968226705,5,11,-0.22,69,0.203,False
仲値,USDJPY,ゴトー日 01-05UTC S,19,39,0.487,0.76,234,0.6253706876195793,9,20,-0.78,69,0.42,False
仲値,EURJPY,ゴトー日 01-05UTC S,19,39,0.487,1.31,234,0.6253706876195793,11,20,1.41,69,0.362,False
早朝,EURJPY,21h>0.5ATR 追随 hold=1h,18,37,0.486,-0.94,119,0.6285853206354659,12,20,-0.32,66,0.288,False
早朝,GBPJPY,21h>0.5ATR 追随 hold=1h,18,38,0.474,0.08,153,0.6864487149214256,10,20,-0.15,67,0.358,False
仲値,GBPJPY,ゴトー日 01-05UTC S,18,39,0.462,1.3,234,0.7388013097515795,11,20,1.15,69,0.42,False
早朝,EURJPY,21h>0.5ATR 追随 hold=2h,17,37,0.459,-2.32,119,0.7443121092073852,9,20,-0.72,66,0.318,False
早朝,AUDJPY,21h>0.5ATR 追随 hold=1h,17,38,0.447,-1.93,125,0.7911539045817335,11,20,0.85,67,0.328,False
早朝,CHFJPY,21h>0.5ATR 追随 hold=2h,17,38,0.447,-0.91,226,0.7911539045817335,4,11,-0.68,69,0.246,False
早朝,USDJPY,21h>0.5ATR 逆行 hold=2h,16,37,0.432,1.13,91,0.8379956999560818,10,19,-2.3,66,0.333,False
早朝,CADJPY,21h>0.5ATR 逆行 hold=1h,16,38,0.421,-2.59,134,0.8720624602283351,3,12,-4.69,67,0.299,False
早朝,GBPUSD,21h>0.5ATR 逆行 hold=2h,13,33,0.394,-0.74,64,0.918622171273455,6,20,-2.44,65,0.338,False
