family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
押し目 LONG,XAGUSD,門なし k=1 hold=24h,20,39,0.513,-0.04,422,0.5,12,20,21.8,45,0.467,False
押し目 LONG,XAGUSD,門あり k=1 hold=8h,16,31,0.516,-4.14,430,0.5,10,19,-0.34,28,0.5,False
押し目 LONG,XAGUSD,門あり k=1 hold=24h,15,31,0.484,-8.54,222,0.639949934091419,10,19,25.15,28,0.393,False
押し目 LONG,XAGUSD,門あり k=2 hold=24h,15,31,0.484,-10.45,127,0.639949934091419,14,19,27.59,28,0.464,False
押し目 LONG,XAUUSD,門あり k=2 hold=24h,14,30,0.467,-2.87,227,0.707667644135654,9,12,17.07,5,0.6,False
押し目 LONG,XAGUSD,門なし k=2 hold=24h,18,39,0.462,0.32,251,0.7388013097515795,13,20,32.3,45,0.4,False
押し目 LONG,XAGUSD,門なし k=1 hold=8h,17,39,0.436,-3.77,815,0.8316081824050343,10,20,5.48,45,0.511,False
押し目 LONG,XAUUSD,門なし k=2 hold=24h,17,39,0.436,-4.35,391,0.8316081824050343,9,12,19.87,9,0.444,False
押し目 LONG,XAGUSD,門なし k=2 hold=8h,16,39,0.41,-5.53,416,0.9002045665401965,13,20,-1.92,45,0.556,False
押し目 LONG,XAUUSD,門なし k=1 hold=24h,15,39,0.385,-4.5,540,0.9459354892969714,8,12,11.74,9,0.444,False
押し目 LONG,XAUUSD,門あり k=1 hold=24h,11,31,0.355,-5.2,295,0.9646222270093858,7,12,8.82,5,0.8,False
押し目 LONG,XAUUSD,門なし k=2 hold=8h,13,39,0.333,-6.2,644,0.9881486487647635,7,12,5.66,9,0.333,False
押し目 LONG,XAGUSD,門あり k=2 hold=8h,9,31,0.29,-14.69,212,0.9946630797348917,11,19,-6.63,28,0.393,False
押し目 LONG,XAUUSD,門あり k=2 hold=8h,8,30,0.267,-6.4,354,0.9973885603249073,7,12,4.35,5,0.6,False
押し目 LONG,XAUUSD,門あり k=1 hold=8h,8,31,0.258,-6.77,565,0.9983365535736084,5,12,-2.52,5,0.6,False
押し目 LONG,XAUUSD,門なし k=1 hold=8h,9,39,0.231,-6.79,1036,0.9998529615622829,5,12,-0.74,9,0.333,False
