family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
ドンチャン,NAS100,N=120 L exit=fixed24h,23,31,0.742,13.04,193,0.005336920265108347,7,13,3.38,42,0.5,False
ドンチャン,NAS100,N=120 L exit=trail2ATR,23,31,0.742,26.81,145,0.005336920265108347,8,13,-3.96,42,0.595,False
ドンチャン,NAS100,N=24 L exit=fixed24h,21,31,0.677,7.4,363,0.035377772990614176,9,13,11.15,42,0.476,False
ドンチャン,USDJPY,N=24 L exit=fixed24h,24,39,0.615,-0.12,369,0.09979543345980346,8,20,-2.04,69,0.464,False
ドンチャン,US500,N=24 L exit=fixed24h,24,39,0.615,2.28,347,0.09979543345980346,10,20,-0.93,69,0.551,False
ドンチャン,GER40,N=120 L exit=trail2ATR,24,39,0.615,11.95,127,0.09979543345980346,12,19,8.52,64,0.531,False
ドンチャン,GER40,N=24 L exit=fixed24h,23,39,0.59,1.63,337,0.1683918175949657,16,20,7.68,69,0.507,False
ドンチャン,GER40,N=120 L exit=fixed24h,23,39,0.59,4.29,164,0.1683918175949657,10,19,3.59,66,0.47,False
ドンチャン,US500,N=120 L exit=trail2ATR,22,38,0.579,5.0,142,0.2088460954182665,8,19,-5.25,67,0.448,False
ドンチャン,NAS100,N=24 L exit=trail2ATR,18,31,0.581,10.94,326,0.23656482994556427,7,13,-5.11,42,0.619,False
ドンチャン,GER40,N=24 L exit=trail2ATR,22,39,0.564,0.71,275,0.26119869024842046,14,20,6.88,69,0.507,False
ドンチャン,EURUSD,N=24 S exit=trail2ATR,22,39,0.564,-0.55,289,0.26119869024842046,6,20,-7.68,69,0.377,False
ドンチャン,AUDUSD,N=24 S exit=fixed24h,21,39,0.538,-1.06,316,0.37462931238042074,4,20,-16.61,69,0.362,False
ドンチャン,USDJPY,N=120 L exit=fixed24h,20,38,0.526,5.29,200,0.43570733968226705,13,20,-2.98,68,0.456,False
ドンチャン,AUDUSD,N=24 S exit=trail2ATR,20,39,0.513,-1.69,285,0.5,6,20,-11.19,69,0.377,False
ドンチャン,USDJPY,N=24 L exit=trail2ATR,20,39,0.513,-0.38,298,0.5,8,20,-1.36,69,0.406,False
ドンチャン,US500,N=24 L exit=trail2ATR,20,39,0.513,0.91,267,0.5,8,20,-6.21,69,0.536,False
ドンチャン,XAUUSD,N=24 L exit=trail2ATR,19,39,0.487,-1.92,425,0.6253706876195793,8,12,14.28,9,0.333,False
ドンチャン,EURUSD,N=120 S exit=fixed24h,18,38,0.474,-1.86,159,0.6864487149214256,9,19,-7.68,66,0.47,False
ドンチャン,USDJPY,N=120 L exit=trail2ATR,18,38,0.474,1.97,174,0.6864487149214256,9,20,-1.89,68,0.397,False
ドンチャン,XAUUSD,N=120 L exit=trail2ATR,18,39,0.462,0.4,187,0.7388013097515795,9,12,24.68,9,0.0,False
ドンチャン,US500,N=120 L exit=fixed24h,18,39,0.462,-1.03,186,0.7388013097515795,9,19,8.01,67,0.507,False
ドンチャン,US500,N=24 S exit=fixed24h,18,39,0.462,-11.82,275,0.7388013097515795,6,20,-25.66,69,0.261,False
ドンチャン,NAS100,N=24 S exit=trail2ATR,14,31,0.452,2.49,329,0.7634351700544357,3,13,-7.35,42,0.262,False
ドンチャン,NAS100,N=120 S exit=trail2ATR,14,31,0.452,3.57,137,0.7634351700544357,6,12,4.95,41,0.341,False
ドンチャン,USDJPY,N=120 S exit=fixed24h,16,36,0.444,0.1,93,0.7974838769296184,5,17,-7.14,67,0.478,False
ドンチャン,US500,N=120 S exit=trail2ATR,15,34,0.441,-4.52,109,0.804235847434029,5,16,-5.95,51,0.255,False
ドンチャン,USDJPY,N=24 S exit=fixed24h,17,39,0.436,2.32,264,0.8316081824050343,8,20,2.6,69,0.406,False
ドンチャン,GER40,N=24 S exit=fixed24h,17,39,0.436,-9.88,276,0.8316081824050343,8,20,-11.98,68,0.279,False
ドンチャン,NAS100,N=120 S exit=fixed24h,13,31,0.419,-7.0,140,0.8594792424701154,4,12,-29.86,42,0.31,False
ドンチャン,GER40,N=120 S exit=trail2ATR,15,36,0.417,-3.38,103,0.8785075229825452,6,18,-6.59,61,0.377,False
ドンチャン,EURUSD,N=24 S exit=fixed24h,16,39,0.41,-0.07,324,0.9002045665401965,6,20,-7.72,69,0.435,False
ドンチャン,USDJPY,N=24 S exit=trail2ATR,16,39,0.41,-4.7,265,0.9002045665401965,7,20,-0.28,69,0.362,False
ドンチャン,GER40,N=24 S exit=trail2ATR,16,39,0.41,-4.07,267,0.9002045665401965,9,20,-4.16,68,0.324,False
ドンチャン,XAUUSD,N=120 L exit=fixed24h,16,39,0.41,-4.39,209,0.9002045665401965,10,12,33.9,9,0.111,False
ドンチャン,XAUUSD,N=24 L exit=fixed24h,16,39,0.41,-1.41,426,0.9002045665401965,9,12,17.43,9,0.333,False
ドンチャン,XAUUSD,N=120 S exit=fixed24h,15,38,0.395,-16.29,152,0.928346672852058,5,11,-12.53,9,0.333,False
ドンチャン,AUDUSD,N=120 S exit=fixed24h,15,38,0.395,-5.48,153,0.928346672852058,6,17,-4.27,66,0.455,False
ドンチャン,AUDUSD,N=120 L exit=fixed24h,14,36,0.389,-11.94,147,0.9337509180186316,9,20,-3.98,68,0.338,False
ドンチャン,US500,N=120 S exit=fixed24h,13,34,0.382,-6.56,114,0.9392752575222403,6,16,-15.37,52,0.327,False
ドンチャン,US500,N=24 S exit=trail2ATR,15,39,0.385,-10.76,279,0.9459354892969714,7,20,-4.89,69,0.261,False
ドンチャン,GBPUSD,N=24 S exit=fixed24h,15,39,0.385,-2.35,309,0.9459354892969714,6,20,-5.67,69,0.449,False
ドンチャン,XAUUSD,N=24 S exit=fixed24h,15,39,0.385,-3.7,362,0.9459354892969714,3,12,-26.08,9,0.333,False
ドンチャン,GBPUSD,N=120 S exit=fixed24h,14,37,0.378,0.65,144,0.9505641252035275,10,19,-0.15,66,0.318,False
ドンチャン,AUDUSD,N=120 S exit=trail2ATR,14,38,0.368,-8.41,144,0.9635243057418847,7,17,-4.22,66,0.303,False
ドンチャン,USDJPY,N=120 S exit=trail2ATR,13,36,0.361,-6.55,98,0.9673773323884234,4,17,-12.15,66,0.333,False
ドンチャン,GBPUSD,N=120 L exit=fixed24h,13,36,0.361,-4.86,140,0.9673773323884234,8,20,2.38,67,0.403,False
ドンチャン,EURUSD,N=24 L exit=fixed24h,14,39,0.359,-5.81,309,0.9733740429510362,12,20,5.53,69,0.406,False
ドンチャン,XAUUSD,N=24 S exit=trail2ATR,14,39,0.359,-6.28,390,0.9733740429510362,0,12,-29.8,9,0.444,False
ドンチャン,XAUUSD,N=120 S exit=trail2ATR,13,37,0.351,-13.18,149,0.976484486280242,2,11,-20.3,9,0.444,False
ドンチャン,EURUSD,N=120 S exit=trail2ATR,13,38,0.342,-2.52,137,0.9832237801601877,8,19,-9.38,66,0.348,False
ドンチャン,NAS100,N=24 S exit=fixed24h,10,31,0.323,-6.94,309,0.9852753132581711,4,13,-37.02,42,0.19,False
ドンチャン,GBPUSD,N=24 S exit=trail2ATR,13,39,0.333,-2.73,301,0.9881486487647635,8,20,-4.4,69,0.391,False
ドンチャン,EURUSD,N=120 L exit=trail2ATR,11,36,0.306,-10.5,129,0.9943345079082064,9,20,2.22,66,0.424,False
ドンチャン,AUDUSD,N=24 L exit=fixed24h,12,39,0.308,-12.73,344,0.9952623478602618,7,20,-1.48,69,0.362,False
ドンチャン,GBPUSD,N=120 S exit=trail2ATR,11,37,0.297,-1.66,136,0.996183960698545,4,19,-7.69,66,0.333,False
ドンチャン,EURUSD,N=120 L exit=fixed24h,10,36,0.278,-14.64,138,0.9980334134888835,8,20,5.43,67,0.343,False
ドンチャン,GER40,N=120 S exit=fixed24h,10,36,0.278,-18.48,106,0.9980334134888835,6,18,-5.46,61,0.443,False
ドンチャン,GBPUSD,N=120 L exit=trail2ATR,9,36,0.25,-8.49,122,0.9994033785187639,7,20,-0.14,67,0.388,False
ドンチャン,EURUSD,N=24 L exit=trail2ATR,10,39,0.256,-8.05,295,0.9994674901827239,8,20,3.48,69,0.377,False
ドンチャン,GBPUSD,N=24 L exit=fixed24h,10,39,0.256,-5.77,334,0.9994674901827239,9,20,1.27,69,0.478,False
ドンチャン,GBPUSD,N=24 L exit=trail2ATR,9,39,0.231,-7.51,308,0.9998529615622829,8,20,-1.27,69,0.478,False
ドンチャン,AUDUSD,N=120 L exit=trail2ATR,7,36,0.194,-19.22,137,0.999965199152939,9,20,-4.8,68,0.338,False
ドンチャン,AUDUSD,N=24 L exit=trail2ATR,7,39,0.179,-14.44,321,0.9999928503693809,10,20,0.47,69,0.304,False
