family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
出来高スパイク,JP225,追随 hold=4h,20,39,0.513,-2.34,715,0.5,9,20,-5.21,45,0.422,False
出来高スパイク,USDJPY,追随 hold=4h,20,39,0.513,-0.91,634,0.5,10,20,0.93,69,0.304,False
出来高スパイク,US500,追随 hold=2h,19,39,0.487,-1.22,1025,0.6253706876195793,7,20,-3.9,69,0.391,False
出来高スパイク,US500,逆行 hold=4h,19,39,0.487,-1.69,949,0.6253706876195793,6,20,-4.07,69,0.261,False
出来高スパイク,USDJPY,追随 hold=2h,19,39,0.487,-0.4,671,0.6253706876195793,10,20,0.15,69,0.188,False
出来高スパイク,US30,逆行 hold=4h,18,39,0.462,-2.07,1129,0.7388013097515795,10,20,1.93,45,0.422,False
出来高スパイク,XAGUSD,逆行 hold=2h,17,39,0.436,-3.77,851,0.8316081824050343,7,20,-12.34,45,0.378,False
出来高スパイク,JP225,追随 hold=2h,17,39,0.436,-3.87,714,0.8316081824050343,9,20,-2.91,45,0.4,False
出来高スパイク,GBPUSD,追随 hold=4h,16,39,0.41,-2.82,613,0.9002045665401965,8,20,-2.63,69,0.42,False
出来高スパイク,EURUSD,追随 hold=4h,15,39,0.385,-2.87,794,0.9459354892969714,7,20,-2.21,69,0.304,False
出来高スパイク,GER40,逆行 hold=4h,15,39,0.385,-2.5,839,0.9459354892969714,5,20,-4.94,69,0.377,False
出来高スパイク,GBPUSD,逆行 hold=4h,15,39,0.385,-1.93,613,0.9459354892969714,7,20,-1.88,69,0.333,False
出来高スパイク,XAGUSD,逆行 hold=4h,15,39,0.385,-5.2,814,0.9459354892969714,6,20,-10.56,45,0.333,False
出来高スパイク,XAGUSD,追随 hold=4h,14,39,0.359,-4.8,814,0.9733740429510362,10,20,0.56,45,0.444,False
出来高スパイク,JP225,逆行 hold=2h,14,39,0.359,-4.13,714,0.9733740429510362,9,20,-5.09,45,0.289,False
出来高スパイク,US500,追随 hold=4h,14,39,0.359,-4.31,949,0.9733740429510362,6,20,-1.93,69,0.522,False
出来高スパイク,EURUSD,逆行 hold=4h,14,39,0.359,-2.69,794,0.9733740429510362,4,20,-3.04,69,0.464,False
出来高スパイク,GER40,追随 hold=4h,14,39,0.359,-3.5,839,0.9733740429510362,10,20,-1.06,69,0.42,False
出来高スパイク,EURUSD,逆行 hold=2h,13,39,0.333,-2.7,849,0.9881486487647635,3,20,-2.68,69,0.319,False
出来高スパイク,GBPUSD,追随 hold=2h,13,39,0.333,-2.42,643,0.9881486487647635,4,20,-2.77,69,0.406,False
出来高スパイク,GER40,追随 hold=2h,13,39,0.333,-3.02,887,0.9881486487647635,8,20,-1.09,69,0.362,False
出来高スパイク,US30,追随 hold=2h,13,39,0.333,-2.79,1296,0.9881486487647635,7,20,-4.8,45,0.222,False
出来高スパイク,XAGUSD,追随 hold=2h,13,39,0.333,-6.23,851,0.9881486487647635,11,20,2.34,45,0.356,False
出来高スパイク,AUDUSD,追随 hold=4h,13,39,0.333,-4.06,689,0.9881486487647635,5,20,-6.06,69,0.232,False
出来高スパイク,US30,追随 hold=4h,12,39,0.308,-3.93,1129,0.9952623478602618,6,20,-7.93,45,0.333,False
出来高スパイク,USDCHF,逆行 hold=2h,12,39,0.308,-2.47,856,0.9952623478602618,1,20,-4.64,69,0.29,False
出来高スパイク,EURUSD,追随 hold=2h,12,39,0.308,-2.86,849,0.9952623478602618,5,20,-2.58,69,0.275,False
出来高スパイク,GER40,逆行 hold=2h,12,39,0.308,-2.98,887,0.9952623478602618,6,20,-4.91,69,0.29,False
出来高スパイク,GBPUSD,逆行 hold=2h,11,39,0.282,-2.33,643,0.9983110760440468,6,20,-1.75,69,0.232,False
出来高スパイク,US30,逆行 hold=2h,11,39,0.282,-3.21,1296,0.9983110760440468,8,20,-1.2,45,0.422,False
出来高スパイク,JP225,逆行 hold=4h,11,39,0.282,-5.66,715,0.9983110760440468,8,20,-2.79,45,0.267,False
