cell,trades,gross_bps,assumed3pip_bps,measured_bps,measured_cost_bps,plus_gross,plus_assumed,plus_measured,p_measured
MonThu EURGBP 20+4h S,413,-0.5,-4.03,-1.51,1.01,7/24,0/24,2/24,0.9999985098838806
MonThu NZDUSD 20+4h S,549,-0.44,-5.51,-2.22,1.78,12/32,3/32,9/32,0.99649981665425
MonThu AUDUSD 20+4h S,549,-1.06,-5.58,-2.53,1.47,10/32,0/32,6/32,0.9999434628989547
MonThu EURGBP 16+4h S,415,0.33,-3.19,-0.52,0.85,10/24,3/24,6/24,0.9966946244239807
MonThu USDCHF 00+4h S,554,0.0,-3.58,-1.15,1.15,15/32,3/32,10/32,0.9899691964965314
MonThu USDCHF 16+4h S,552,0.02,-3.57,-0.95,0.97,16/32,4/32,13/32,0.8923364251386374
MonThu NZDUSD 16+4h S,552,-0.59,-5.66,-2.21,1.62,10/32,4/32,8/32,0.9989487992133945
MonThu CHFJPY 20+4h S,413,1.05,-0.66,-0.41,1.46,16/24,6/24,8/24,0.9680426716804504
Thu USDCHF 16+6h S,137,3.34,-0.24,-1.02,4.36,21/32,19/32,17/32,0.4300250329542905
Thu USDCHF 16+4h S,137,2.22,-1.35,1.24,0.98,22/32,14/32,21/32,0.055092082591727376
Thu USDCHF 16+5h S,137,2.53,-1.05,-0.86,3.39,21/32,17/32,17/32,0.4300250329542905
