symbol,window,n,rt_bps_median,rt_bps_mean,rt_pip_median,assumed_bps
EURGBP,00-04,521,0.95,1.02,0.8,3.52
EURGBP,04-08,519,0.93,0.94,0.8,3.52
EURGBP,08-12,519,0.89,0.93,0.75,3.52
EURGBP,12-16,519,0.85,0.87,0.7,3.52
EURGBP,16-20,519,0.87,0.87,0.75,3.52
EURGBP,20-00,413,0.94,1.01,0.8,3.52
EURGBP,00-08,519,0.95,0.98,0.8,3.52
EURGBP,08-16,519,0.89,0.9,0.75,3.52
EURGBP,16-00,413,0.92,0.97,0.8,3.52
USDCHF,00-04,693,1.12,1.17,0.95,3.63
USDCHF,04-08,691,1.04,1.05,0.85,3.63
USDCHF,08-12,691,0.98,1.0,0.8,3.63
USDCHF,12-16,691,0.98,0.99,0.8,3.63
USDCHF,16-20,691,1.0,1.02,0.85,3.63
USDCHF,20-00,549,1.07,1.13,0.9,3.63
USDCHF,00-08,691,1.06,1.08,0.9,3.63
USDCHF,08-16,691,0.99,1.0,0.8,3.63
USDCHF,16-00,549,1.05,1.11,0.9,3.62
NZDUSD,00-04,693,1.71,1.84,1.0,5.07
NZDUSD,04-08,691,1.67,1.67,1.0,5.07
NZDUSD,08-12,691,1.62,1.63,0.95,5.07
NZDUSD,12-16,691,1.64,1.63,0.95,5.07
NZDUSD,16-20,691,1.66,1.69,1.0,5.07
NZDUSD,20-00,549,1.69,1.81,1.0,5.07
NZDUSD,00-08,691,1.67,1.69,1.0,5.07
NZDUSD,08-16,691,1.63,1.64,0.95,5.07
NZDUSD,16-00,549,1.67,1.78,1.0,5.07
AUDUSD,00-04,693,1.4,1.49,0.95,4.55
AUDUSD,04-08,691,1.37,1.39,0.9,4.55
AUDUSD,08-12,691,1.37,1.38,0.9,4.55
AUDUSD,12-16,691,1.37,1.39,0.9,4.55
AUDUSD,16-20,691,1.39,1.43,0.9,4.55
AUDUSD,20-00,549,1.42,1.49,0.95,4.55
AUDUSD,00-08,691,1.39,1.42,0.95,4.55
AUDUSD,08-16,691,1.38,1.39,0.9,4.55
AUDUSD,16-00,549,1.41,1.48,0.95,4.55
CHFJPY,00-04,520,1.38,1.52,2.4,1.73
CHFJPY,04-08,518,1.22,1.27,2.15,1.73
CHFJPY,08-12,519,1.14,1.17,2.0,1.73
CHFJPY,12-16,519,1.13,1.17,1.95,1.73
CHFJPY,16-20,519,1.18,1.23,2.05,1.73
CHFJPY,20-00,413,1.31,1.47,2.3,1.73
CHFJPY,00-08,518,1.31,1.37,2.3,1.73
CHFJPY,08-16,519,1.15,1.17,2.0,1.73
CHFJPY,16-00,413,1.29,1.42,2.25,1.73
GBPJPY,00-04,693,1.0,1.09,2.0,1.51
GBPJPY,04-08,691,0.9,0.93,1.8,1.51
GBPJPY,08-12,691,0.85,0.89,1.75,1.51
