family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
実測コスト格子,AUDJPY,WedS 20-00UTC cost=1.11bps,29,39,0.744,4.36,168,0.0016889239559532143,14,20,5.55,69,0.464,False
実測コスト格子,USDJPY,Mon 12-16UTC cost=0.45bps,28,39,0.718,5.21,168,0.004737652139738202,13,20,0.89,69,0.464,False
実測コスト格子,NZDJPY,Mon 04-08UTC cost=1.65bps,27,39,0.692,1.46,168,0.011851351235236507,6,12,2.8,69,0.565,False
実測コスト格子,USDJPY,Wed 00-04UTC cost=0.54bps,27,39,0.692,4.88,169,0.011851351235236507,8,20,-1.79,69,0.435,False
実測コスト格子,EURJPY,ThuS 08-16UTC cost=0.80bps,27,39,0.692,5.14,169,0.011851351235236507,10,20,4.92,69,0.551,False
実測コスト格子,EURJPY,Mon 08-16UTC cost=0.80bps,27,39,0.692,7.66,168,0.011851351235236507,11,20,1.06,69,0.493,False
実測コスト格子,AUDJPY,Mon 08-16UTC cost=1.01bps,27,39,0.692,8.09,168,0.011851351235236507,13,20,4.12,69,0.58,False
実測コスト格子,EURJPY,Wed 16-20UTC cost=0.77bps,27,39,0.692,2.66,168,0.011851351235236507,8,20,0.0,69,0.565,False
実測コスト格子,EURAUD,Fri 08-16UTC cost=2.06bps,26,39,0.667,2.29,170,0.026625957048963755,8,12,6.26,69,0.406,False
実測コスト格子,CADJPY,WedS 20-00UTC cost=1.67bps,26,39,0.667,3.26,168,0.026625957048963755,9,12,4.93,69,0.449,False
実測コスト格子,EURJPY,ThuS 00-08UTC cost=0.92bps,26,39,0.667,0.61,169,0.026625957048963755,7,20,-2.37,69,0.435,False
実測コスト格子,EURJPY,Mon 12-16UTC cost=0.73bps,26,39,0.667,3.78,168,0.026625957048963755,10,20,0.67,69,0.522,False
実測コスト格子,EURUSD,TueS 12-16UTC cost=0.33bps,26,39,0.667,3.3,170,0.026625957048963755,5,20,-3.96,69,0.536,False
実測コスト格子,GBPJPY,WedS 20-00UTC cost=1.46bps,26,39,0.667,3.67,168,0.026625957048963755,17,20,4.08,69,0.377,False
実測コスト格子,CADJPY,Mon 08-16UTC cost=1.54bps,26,39,0.667,7.65,168,0.026625957048963755,4,12,-0.31,69,0.42,False
実測コスト格子,USDJPY,Tue 08-12UTC cost=0.45bps,25,39,0.641,1.66,170,0.054064510703028645,11,20,-0.42,69,0.507,False
実測コスト格子,USDJPY,Mon 08-16UTC cost=0.45bps,25,39,0.641,8.31,168,0.054064510703028645,11,20,-1.28,69,0.478,False
実測コスト格子,EURAUD,ThuS 00-08UTC cost=2.28bps,25,39,0.641,4.55,169,0.054064510703028645,3,12,-7.6,69,0.391,False
実測コスト格子,EURUSD,Mon 20-00UTC cost=0.39bps,25,39,0.641,0.94,168,0.054064510703028645,10,20,0.44,69,0.464,False
実測コスト格子,EURUSD,TueS 08-16UTC cost=0.36bps,25,39,0.641,5.88,170,0.054064510703028645,7,20,-3.89,69,0.551,False
実測コスト格子,USDJPY,WedS 20-00UTC cost=0.52bps,25,39,0.641,4.52,168,0.054064510703028645,16,20,6.37,69,0.507,False
実測コスト格子,USDCHF,WedS 12-16UTC cost=1.47bps,25,39,0.641,3.69,168,0.054064510703028645,8,20,0.42,69,0.522,False
実測コスト格子,GBPAUD,ThuS 00-08UTC cost=3.04bps,25,39,0.641,3.71,169,0.054064510703028645,4,12,-6.72,69,0.42,False
実測コスト格子,GBPJPY,Mon 08-16UTC cost=1.29bps,25,39,0.641,7.59,168,0.054064510703028645,14,20,6.69,69,0.464,False
実測コスト格子,GBPUSD,ThuS 08-12UTC cost=0.77bps,25,39,0.641,0.41,169,0.054064510703028645,11,20,0.57,69,0.435,False
実測コスト格子,US500,Fri 12-16UTC cost=1.32bps,25,39,0.641,-0.09,166,0.054064510703028645,10,20,-1.64,69,0.58,False
実測コスト格子,CHFJPY,Wed 12-16UTC cost=1.69bps,25,39,0.641,3.16,167,0.054064510703028645,5,12,-0.32,69,0.536,False
実測コスト格子,EURGBP,TueS 08-16UTC cost=1.33bps,25,39,0.641,3.38,170,0.054064510703028645,3,12,-1.85,69,0.536,False
実測コスト格子,EURUSD,Thu 20-00UTC cost=0.39bps,25,39,0.641,0.37,169,0.054064510703028645,11,20,2.37,69,0.449,False
実測コスト格子,NZDJPY,Mon 08-16UTC cost=1.56bps,24,39,0.615,3.2,168,0.09979543345980346,6,12,2.13,69,0.493,False
実測コスト格子,XAUUSD,Fri 00-08UTC cost=2.46bps,24,39,0.615,4.48,170,0.09979543345980346,6,12,-6.81,10,0.4,False
実測コスト格子,US500,Thu 00-08UTC cost=1.41bps,24,39,0.615,-0.53,169,0.09979543345980346,11,20,-0.13,43,0.465,False
実測コスト格子,AUDUSD,Tue 16-00UTC cost=2.11bps,24,39,0.615,-0.08,169,0.09979543345980346,11,20,4.25,69,0.464,False
実測コスト格子,AUDJPY,Mon 04-08UTC cost=1.02bps,24,39,0.615,1.82,168,0.09979543345980346,12,20,4.34,69,0.58,False
実測コスト格子,XAUUSD,MonS 00-08UTC cost=2.46bps,24,39,0.615,5.1,170,0.09979543345980346,4,12,-22.88,9,0.222,False
実測コスト格子,EURUSD,Wed 20-00UTC cost=0.39bps,24,39,0.615,0.57,168,0.09979543345980346,15,20,2.0,69,0.594,False
実測コスト格子,CHFJPY,Wed 16-20UTC cost=1.77bps,24,39,0.615,0.48,168,0.09979543345980346,4,12,-3.34,69,0.449,False
実測コスト格子,EURJPY,TueS 08-16UTC cost=0.80bps,24,39,0.615,2.51,170,0.09979543345980346,9,20,-4.41,69,0.58,False
実測コスト格子,EURUSD,Wed 16-00UTC cost=0.39bps,24,39,0.615,4.2,168,0.09979543345980346,7,20,-3.06,69,0.623,False
実測コスト格子,AUDJPY,Mon 08-12UTC cost=1.01bps,24,39,0.615,2.63,168,0.09979543345980346,13,20,1.81,69,0.551,False
実測コスト格子,CHFJPY,Mon 08-12UTC cost=1.71bps,24,39,0.615,2.29,168,0.09979543345980346,4,12,-1.62,69,0.464,False
実測コスト格子,CHFJPY,Mon 08-16UTC cost=1.72bps,24,39,0.615,4.92,168,0.09979543345980346,7,12,0.99,69,0.478,False
実測コスト格子,EURJPY,Wed 00-08UTC cost=0.92bps,24,39,0.615,3.3,168,0.09979543345980346,9,20,-2.56,69,0.435,False
実測コスト格子,GER40,Thu 00-08UTC cost=2.91bps,24,39,0.615,-2.06,169,0.09979543345980346,10,20,-4.57,42,0.405,False
