family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
水曜スワップ,GBPJPY,Wed 20-00UTC gate1 sign=-carry,25,32,0.781,5.46,137,0.0010512007866054773,17,20,4.06,0,,False
水曜スワップ,CADJPY,Wed 20-00UTC gate1 sign=-carry,24,33,0.727,3.91,141,0.0067654934246093035,8,12,3.79,31,0.516,False
水曜スワップ,EURJPY,Wed 20-00UTC all sign=-carry,27,39,0.692,3.4,168,0.011851351235236507,11,20,2.56,67,0.403,False
水曜スワップ,EURJPY,Wed 20-00UTC gate1 sign=-carry,19,26,0.731,4.76,112,0.014479637145996094,11,20,2.56,0,,False
水曜スワップ,CADJPY,Wed 20-00UTC all sign=-carry,26,39,0.667,2.03,168,0.026625957048963755,8,12,3.79,68,0.368,False
水曜スワップ,GBPJPY,Wed 20-00UTC all sign=-carry,26,39,0.667,3.4,168,0.026625957048963755,17,20,4.06,62,0.339,False
水曜スワップ,GBPUSD,Wed 16-20UTC gate1 sign=-carry,7,8,0.875,7.98,21,0.03515625,0,0,,34,0.382,False
水曜スワップ,AUDJPY,Wed 20-00UTC gate1 sign=-carry,20,30,0.667,3.73,129,0.04936857335269451,12,20,3.72,41,0.341,False
水曜スワップ,CHFJPY,Wed 20-00UTC all sign=-carry,25,39,0.641,2.47,168,0.054064510703028645,3,11,-5.77,68,0.324,False
水曜スワップ,USDJPY,Wed 20-00UTC gate1 sign=-carry,21,32,0.656,5.11,137,0.055092082591727376,16,20,4.94,37,0.486,False
水曜スワップ,CHFJPY,Wed 20-00UTC gate1 sign=-carry,15,22,0.682,4.1,93,0.06690025329589844,0,0,,0,,False
水曜スワップ,AUDJPY,Wed 20-00UTC all sign=-carry,22,39,0.564,2.26,168,0.26119869024842046,12,20,3.72,65,0.369,False
水曜スワップ,EURAUD,Wed 20-00UTC gate1 sign=-carry,8,13,0.615,1.21,46,0.29052734375,5,12,0.21,47,0.468,False
水曜スワップ,USDJPY,Wed 20-00UTC all sign=-carry,21,39,0.538,2.87,168,0.37462931238042074,16,20,4.94,68,0.382,False
水曜スワップ,EURUSD,Wed 16-20UTC all sign=-carry,20,39,0.513,0.85,168,0.5,3,20,-7.67,67,0.522,False
水曜スワップ,NZDUSD,Wed 20-00UTC gate1 sign=-carry,2,3,0.667,1.65,8,0.5,3,17,-5.89,19,0.421,False
