family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
夜間,NAS100,20->翌14 L,19,31,0.613,4.58,538,0.14052075752988458,5,13,-1.07,42,0.5,False
週末,GER40,金16->月08 L,23,39,0.59,-2.86,163,0.1683918175949657,11,20,-7.91,69,0.667,False
週末,HK50,金08->月02 S,22,39,0.564,18.23,142,0.26119869024842046,9,20,-10.41,45,0.333,False
週末,JP225,金06->月00 L,22,39,0.564,-0.66,161,0.26119869024842046,10,20,-8.26,42,0.571,False
週末,EUSTX50,金16->月08 L,21,39,0.538,-7.37,160,0.37462931238042074,11,20,-14.28,45,0.556,False
夜間,HK50,08->翌02 L,21,39,0.538,2.33,612,0.37462931238042074,10,20,2.96,45,0.4,False
日中,GER40,08->16 L,20,39,0.513,0.45,838,0.5,7,20,-2.45,69,0.391,False
週末,NAS100,金20->月14 S,16,31,0.516,2.24,133,0.5,4,13,-21.29,42,0.262,False
日中,EUSTX50,08->16 L,19,39,0.487,-0.79,830,0.6253706876195793,8,20,-1.32,45,0.356,False
週末,UK100,金16->月08 L,19,39,0.487,-4.1,160,0.6253706876195793,11,20,-8.65,45,0.444,False
週末,AUS200,金06->月00 L,19,39,0.487,1.27,157,0.6253706876195793,5,20,-20.4,45,0.556,False
夜間,AUS200,06->翌00 L,19,39,0.487,-0.02,641,0.6253706876195793,13,20,5.82,45,0.578,False
夜間,US30,20->翌14 L,19,39,0.487,0.25,643,0.6253706876195793,9,20,-1.83,45,0.511,False
週末,US500,金20->月14 L,19,39,0.487,-2.37,158,0.6253706876195793,13,20,13.31,68,0.662,False
夜間,US500,20->翌14 L,19,39,0.487,1.94,643,0.6253706876195793,10,20,-1.17,68,0.618,False
日中,NAS100,14->20 L,15,31,0.484,-1.7,678,0.639949934091419,6,13,3.22,42,0.595,False
日中,US30,14->20 L,18,39,0.462,-1.84,810,0.7388013097515795,9,20,-0.06,45,0.533,False
夜間,JP225,06->翌00 L,18,39,0.462,0.13,665,0.7388013097515795,14,20,14.69,42,0.5,False
週末,NAS100,金20->月14 L,14,31,0.452,-8.24,133,0.7634351700544357,9,13,15.29,42,0.738,False
日中,JP225,00->06 L,17,39,0.436,-3.36,837,0.8316081824050343,5,20,-5.13,43,0.326,False
日中,US500,14->20 L,17,39,0.436,-1.88,810,0.8316081824050343,8,20,-0.25,69,0.565,False
週末,US30,金20->月14 L,17,39,0.436,-1.56,158,0.8316081824050343,12,20,10.08,45,0.644,False
夜間,UK100,16->翌08 L,17,39,0.436,-2.89,658,0.8316081824050343,7,20,-0.02,45,0.356,False
日中,HK50,02->08 S,17,39,0.436,-1.99,787,0.8316081824050343,6,20,-4.66,45,0.333,False
夜間,GER40,16->翌08 L,17,39,0.436,-2.71,666,0.8316081824050343,16,20,6.55,69,0.464,False
日中,UK100,08->16 L,16,39,0.41,-2.59,828,0.9002045665401965,10,20,0.36,45,0.378,False
