family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
寄りレンジ,GER40,o=08 追随 hold=close,24,39,0.615,3.88,217,0.09979543345980346,11,20,2.59,69,0.362,False
寄りレンジ,EUSTX50,o=08 追随 hold=close,23,39,0.59,2.8,250,0.1683918175949657,11,20,-2.25,45,0.489,False
寄りレンジ,JP225,o=00 逆行 hold=2h,21,39,0.538,-1.76,195,0.37462931238042074,5,20,-9.76,42,0.429,False
寄りレンジ,NAS100,o=14 追随 hold=close,16,31,0.516,-2.96,201,0.5,7,13,1.1,42,0.524,False
寄りレンジ,US30,o=14 逆行 hold=close,18,39,0.462,-3.49,264,0.7388013097515795,7,20,-3.95,45,0.444,False
寄りレンジ,AUS200,o=00 逆行 hold=2h,18,39,0.462,-4.38,205,0.7388013097515795,5,20,-5.12,45,0.333,False
寄りレンジ,GER40,o=08 逆行 hold=2h,18,39,0.462,-2.95,217,0.7388013097515795,6,20,-4.05,69,0.464,False
寄りレンジ,NAS100,o=14 追随 hold=2h,14,31,0.452,-2.43,201,0.7634351700544357,5,13,-5.62,42,0.571,False
寄りレンジ,EUSTX50,o=08 逆行 hold=2h,17,39,0.436,-5.09,250,0.8316081824050343,8,20,-2.11,45,0.444,False
寄りレンジ,GER40,o=08 追随 hold=2h,17,39,0.436,-3.05,217,0.8316081824050343,11,20,-1.95,69,0.406,False
寄りレンジ,US500,o=14 追随 hold=2h,17,39,0.436,0.19,274,0.8316081824050343,6,20,-3.74,69,0.362,False
寄りレンジ,AUS200,o=00 逆行 hold=close,17,39,0.436,-4.28,205,0.8316081824050343,3,20,-6.11,45,0.4,False
寄りレンジ,US500,o=14 追随 hold=close,17,39,0.436,0.16,274,0.8316081824050343,9,20,-1.86,68,0.412,False
寄りレンジ,NAS100,o=14 逆行 hold=2h,13,31,0.419,-3.57,201,0.8594792424701154,4,13,-0.38,42,0.262,False
寄りレンジ,US30,o=14 追随 hold=close,16,39,0.41,-2.51,264,0.9002045665401965,7,20,-2.05,45,0.311,False
寄りレンジ,US30,o=14 逆行 hold=2h,16,39,0.41,-2.46,264,0.9002045665401965,9,20,-0.23,45,0.467,False
寄りレンジ,JP225,o=00 逆行 hold=close,16,39,0.41,-5.34,195,0.9002045665401965,6,20,-15.59,42,0.429,False
寄りレンジ,JP225,o=00 追随 hold=close,16,39,0.41,-2.66,195,0.9002045665401965,12,20,7.59,42,0.31,False
寄りレンジ,NAS100,o=14 逆行 hold=close,12,31,0.387,-3.04,201,0.9251936078071594,4,13,-7.1,42,0.31,False
寄りレンジ,EUSTX50,o=08 追随 hold=2h,15,39,0.385,-2.91,250,0.9459354892969714,9,20,-5.89,45,0.4,False
寄りレンジ,UK100,o=08 逆行 hold=close,14,39,0.359,-2.92,258,0.9733740429510362,9,20,3.75,45,0.467,False
寄りレンジ,UK100,o=08 追随 hold=close,14,39,0.359,-5.08,258,0.9733740429510362,4,20,-11.75,45,0.289,False
寄りレンジ,US500,o=14 逆行 hold=close,14,39,0.359,-6.16,274,0.9733740429510362,9,20,-4.14,68,0.412,False
寄りレンジ,US30,o=14 追随 hold=2h,14,39,0.359,-3.54,264,0.9733740429510362,6,20,-5.77,45,0.333,False
寄りレンジ,EUSTX50,o=08 逆行 hold=close,13,39,0.333,-10.8,250,0.9881486487647635,7,20,-5.75,45,0.422,False
寄りレンジ,AUS200,o=00 追随 hold=2h,12,39,0.308,-3.62,205,0.9952623478602618,9,20,-2.88,45,0.378,False
寄りレンジ,UK100,o=08 逆行 hold=2h,12,39,0.308,-3.01,259,0.9952623478602618,11,20,2.11,45,0.4,False
寄りレンジ,UK100,o=08 追随 hold=2h,12,39,0.308,-4.99,259,0.9952623478602618,4,20,-10.11,45,0.356,False
寄りレンジ,AUS200,o=00 追随 hold=close,12,39,0.308,-3.72,205,0.9952623478602618,10,20,-1.89,45,0.356,False
寄りレンジ,US500,o=14 逆行 hold=2h,10,39,0.256,-6.19,274,0.9994674901827239,7,20,-2.26,69,0.391,False
寄りレンジ,GER40,o=08 逆行 hold=close,10,39,0.256,-9.88,217,0.9994674901827239,7,20,-8.59,69,0.464,False
寄りレンジ,JP225,o=00 追随 hold=2h,10,39,0.256,-6.24,195,0.9994674901827239,9,20,1.76,42,0.357,False
寄りレンジ,HK50,o=02 追随 hold=2h,0,0,,,0,1.0,0,0,,0,,False
寄りレンジ,HK50,o=02 逆行 hold=2h,0,0,,,0,1.0,0,0,,0,,False
寄りレンジ,HK50,o=02 追随 hold=close,0,0,,,0,1.0,0,0,,0,,False
寄りレンジ,HK50,o=02 逆行 hold=close,0,0,,,0,1.0,0,0,,0,,False
