family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
MSCI 引け前,EUSTX50,14-16 S,9,13,0.692,-0.57,13,0.1334228515625,4,7,15.23,15,0.667,False
MSCI 引け前,GER40,14-16 S,9,13,0.692,-0.89,13,0.1334228515625,3,7,5.42,23,0.696,False
MSCI 引け前,UK100,14-16 S,8,13,0.615,7.94,13,0.29052734375,3,7,0.52,13,0.615,False
MSCI 引け前,NAS100,18-20 L,6,11,0.545,34.4,11,0.5,2,3,22.0,13,0.385,False
Russell 引け前,US30,18-20 L,2,3,0.667,13.82,3,0.5,1,2,-8.58,4,0.25,False
Russell 引け前,US500,18-20 S,2,3,0.667,-7.5,3,0.5,1,2,20.29,6,0.667,False
MSCI 翌日寄り,US30,翌 14-16 S,7,13,0.538,14.76,13,0.5,2,6,-17.12,15,0.467,False
MSCI 翌日寄り,EUSTX50,翌 08-10 L,7,13,0.538,-8.57,13,0.5,4,6,12.95,15,0.533,False
MSCI 引け前,US30,18-20 L,6,12,0.5,15.59,12,0.61279296875,4,6,13.08,13,0.462,False
MSCI 引け前,US500,18-20 S,6,12,0.5,-25.27,12,0.61279296875,1,6,-27.45,21,0.476,False
MSCI 引け前,US500,18-20 L,6,12,0.5,19.27,12,0.61279296875,5,6,21.45,21,0.476,False
MSCI 翌日寄り,NAS100,翌 14-16 S,5,10,0.5,13.63,10,0.623046875,1,5,-31.92,15,0.333,False
MSCI 翌日寄り,US500,翌 14-16 L,6,13,0.462,-17.18,13,0.70947265625,5,6,19.97,23,0.652,False
MSCI 翌日寄り,US30,翌 14-16 L,6,13,0.462,-20.76,13,0.70947265625,3,6,11.12,15,0.333,False
MSCI 翌日寄り,EUSTX50,翌 08-10 S,6,13,0.462,0.57,13,0.70947265625,2,6,-20.95,15,0.4,False
MSCI 翌日寄り,US500,翌 14-16 S,6,13,0.462,11.18,13,0.70947265625,1,6,-25.97,23,0.348,False
MSCI 翌日寄り,GER40,翌 08-10 S,6,13,0.462,2.16,13,0.70947265625,2,6,-15.4,23,0.435,False
MSCI 翌日寄り,GER40,翌 08-10 L,6,13,0.462,-8.16,13,0.70947265625,3,6,9.4,23,0.522,False
Russell 引け前,NAS100,18-20 S,1,2,0.5,-39.31,2,0.75,0,1,-8.49,3,0.667,False
Russell 引け前,NAS100,18-20 L,1,2,0.5,33.31,2,0.75,1,1,2.49,3,0.333,False
MSCI 引け前,US30,18-20 S,5,12,0.417,-21.59,12,0.80615234375,2,6,-19.08,13,0.538,False
MSCI 翌日寄り,NAS100,翌 14-16 L,4,10,0.4,-19.63,10,0.828125,4,5,25.92,15,0.533,False
MSCI 翌日寄り,UK100,翌 08-10 S,5,13,0.385,-1.69,13,0.8665771484375,2,6,-3.91,15,0.4,False
Russell 引け前,US500,18-20 L,1,3,0.333,1.5,3,0.875,1,2,-26.29,6,0.333,False
Russell 引け前,US30,18-20 S,1,3,0.333,-19.82,3,0.875,1,2,2.58,4,0.5,False
MSCI 引け前,NAS100,18-20 S,4,11,0.364,-40.4,11,0.88671875,1,3,-28.0,13,0.462,False
MSCI 引け前,EUSTX50,14-16 L,4,13,0.308,-7.43,13,0.953857421875,2,7,-23.23,15,0.333,False
MSCI 翌日寄り,UK100,翌 08-10 L,4,13,0.308,-6.31,13,0.953857421875,2,6,-4.09,15,0.6,False
MSCI 引け前,UK100,14-16 L,3,13,0.231,-15.94,13,0.98876953125,3,7,-8.52,13,0.308,False
MSCI 引け前,GER40,14-16 L,3,13,0.231,-5.11,13,0.98876953125,2,7,-11.42,23,0.217,False
