family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
月末フィックス,EURJPY,pre 2h S,26,39,0.667,5.61,39,0.026625957048963755,7,20,-7.12,69,0.449,False
月末フィックス,EURAUD,pre 2h S,25,39,0.641,0.74,39,0.054064510703028645,7,12,2.36,69,0.449,False
月末フィックス,EURAUD,post 2h S,23,39,0.59,0.31,39,0.1683918175949657,8,12,-1.22,69,0.348,False
月末フィックス,EURGBP,pre 2h S,23,39,0.59,1.06,39,0.1683918175949657,3,12,-6.64,69,0.594,False
月末フィックス,GBPJPY,post 2h S,22,39,0.564,3.24,39,0.26119869024842046,9,20,-1.3,69,0.536,False
月末フィックス,GBPJPY,pre 2h S,22,39,0.564,1.33,39,0.26119869024842046,9,20,-4.34,69,0.348,False
月末フィックス,GBPUSD,post 2h S,21,39,0.538,-0.63,39,0.37462931238042074,11,20,-1.1,69,0.667,False
月末フィックス,AUDJPY,pre 2h S,21,39,0.538,1.69,39,0.37462931238042074,6,20,-13.38,69,0.406,False
月末フィックス,USDCHF,pre 2h S,19,39,0.487,-0.22,39,0.6253706876195793,14,20,6.41,69,0.522,False
月末フィックス,NZDUSD,pre 2h L,19,39,0.487,-1.24,39,0.6253706876195793,12,20,6.86,69,0.522,False
月末フィックス,GBPAUD,post 2h S,19,39,0.487,0.86,39,0.6253706876195793,6,12,0.58,69,0.391,False
月末フィックス,EURUSD,pre 2h S,19,39,0.487,0.38,39,0.6253706876195793,3,20,-14.85,69,0.449,False
月末フィックス,EURUSD,post 2h S,19,39,0.487,-1.38,39,0.6253706876195793,9,20,-2.55,69,0.522,False
月末フィックス,EURJPY,post 2h S,19,39,0.487,2.66,39,0.6253706876195793,8,20,-2.61,69,0.478,False
月末フィックス,USDJPY,post 2h S,18,39,0.462,1.05,39,0.7388013097515795,6,20,-2.88,69,0.319,False
月末フィックス,USDJPY,pre 2h S,18,39,0.462,2.32,39,0.7388013097515795,13,20,4.85,69,0.42,False
月末フィックス,GBPAUD,pre 2h S,18,39,0.462,-3.63,39,0.7388013097515795,8,12,5.51,69,0.348,False
月末フィックス,GBPAUD,pre 2h L,18,39,0.462,0.41,39,0.7388013097515795,4,12,-8.44,69,0.652,False
月末フィックス,USDCHF,pre 2h L,18,39,0.462,-6.37,39,0.7388013097515795,4,20,-13.79,69,0.348,False
月末フィックス,GBPUSD,pre 2h L,18,39,0.462,-0.89,39,0.7388013097515795,13,20,7.48,69,0.667,False
月末フィックス,USDCHF,post 2h L,17,39,0.436,-0.14,39,0.8316081824050343,9,20,-2.61,69,0.565,False
月末フィックス,EURGBP,post 2h S,17,39,0.436,-3.8,39,0.8316081824050343,4,12,-4.92,69,0.391,False
月末フィックス,GBPUSD,pre 2h S,17,39,0.436,-3.88,39,0.8316081824050343,6,20,-12.0,69,0.319,False
月末フィックス,AUDUSD,pre 2h L,17,39,0.436,-4.76,39,0.8316081824050343,15,20,12.84,69,0.522,False
月末フィックス,EURJPY,post 2h L,17,39,0.436,-6.69,39,0.8316081824050343,10,20,-0.82,69,0.42,False
月末フィックス,NZDUSD,pre 2h S,16,39,0.41,-8.42,39,0.9002045665401965,4,20,-17.15,69,0.362,False
月末フィックス,NZDUSD,post 2h L,16,39,0.41,-4.5,39,0.9002045665401965,9,20,-2.79,69,0.217,False
月末フィックス,AUDUSD,post 2h L,16,39,0.41,-3.82,39,0.9002045665401965,5,20,-6.16,69,0.232,False
月末フィックス,USDJPY,post 2h L,16,39,0.41,-5.39,39,0.9002045665401965,11,20,-1.04,69,0.464,False
月末フィックス,EURUSD,pre 2h L,16,39,0.41,-5.96,39,0.9002045665401965,14,20,9.6,69,0.435,False
月末フィックス,AUDUSD,pre 2h S,16,39,0.41,-4.14,39,0.9002045665401965,3,20,-21.83,69,0.391,False
月末フィックス,GBPJPY,pre 2h L,16,39,0.41,-4.77,39,0.9002045665401965,11,20,1.39,69,0.609,False
月末フィックス,AUDJPY,post 2h S,16,39,0.41,-0.67,39,0.9002045665401965,9,20,-2.15,69,0.522,False
月末フィックス,GBPAUD,post 2h L,16,39,0.41,-4.08,39,0.9002045665401965,4,12,-3.51,69,0.536,False
月末フィックス,USDJPY,pre 2h L,15,39,0.385,-6.66,39,0.9459354892969714,4,20,-8.76,69,0.449,False
月末フィックス,AUDJPY,pre 2h L,15,39,0.385,-8.1,39,0.9459354892969714,13,20,7.49,69,0.507,False
月末フィックス,AUDJPY,post 2h L,15,39,0.385,-5.73,39,0.9459354892969714,8,20,-3.72,69,0.304,False
月末フィックス,AUDUSD,post 2h S,15,39,0.385,-5.07,39,0.9459354892969714,11,20,-2.82,69,0.565,False
月末フィックス,GBPUSD,post 2h L,14,39,0.359,-4.14,39,0.9733740429510362,5,20,-3.41,69,0.275,False
月末フィックス,EURUSD,post 2h L,14,39,0.359,-4.2,39,0.9733740429510362,8,20,-2.69,69,0.29,False
月末フィックス,NZDUSD,post 2h S,14,39,0.359,-5.16,39,0.9733740429510362,7,20,-7.49,69,0.609,False
月末フィックス,EURJPY,pre 2h L,13,39,0.333,-9.64,39,0.9881486487647635,11,20,3.69,69,0.507,False
月末フィックス,EURGBP,pre 2h L,13,39,0.333,-8.08,39,0.9881486487647635,6,12,-0.37,69,0.319,False
月末フィックス,USDCHF,post 2h S,12,39,0.308,-6.45,39,0.9952623478602618,5,20,-4.78,69,0.275,False
月末フィックス,EURAUD,pre 2h L,12,39,0.308,-4.51,39,0.9952623478602618,5,12,-5.78,69,0.464,False
月末フィックス,EURAUD,post 2h L,12,39,0.308,-4.08,39,0.9952623478602618,4,12,-2.21,69,0.565,False
月末フィックス,EURGBP,post 2h L,11,39,0.282,-3.23,39,0.9983110760440468,5,12,-2.08,69,0.449,False
月末フィックス,GBPJPY,post 2h L,11,39,0.282,-6.68,39,0.9983110760440468,9,20,-1.65,69,0.333,False
