family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
暗号資産格子,BTCUSD,Mon 20-00UTC,28,39,0.718,12.72,168,0.004737652139738202,9,20,-5.22,45,0.467,False
暗号資産格子,ETHUSD,Mon 20-00UTC,26,39,0.667,26.6,168,0.026625957048963755,9,20,4.32,45,0.556,False
暗号資産格子,ETHUSD,Mon 04-08UTC,24,39,0.615,3.4,168,0.09979543345980346,9,20,-10.45,45,0.289,False
暗号資産格子,ETHUSD,Fri 00-04UTC,24,39,0.615,1.59,170,0.09979543345980346,10,20,7.36,46,0.304,False
暗号資産格子,ETHUSD,ThuS 12-16UTC,23,39,0.59,0.04,169,0.1683918175949657,13,20,50.8,45,0.311,False
暗号資産格子,BTCUSD,MonS 00-04UTC,23,39,0.59,6.82,168,0.1683918175949657,6,20,-17.66,45,0.356,False
暗号資産格子,BTCUSD,Wed 08-12UTC,23,39,0.59,6.93,169,0.1683918175949657,9,20,-2.63,45,0.422,False
暗号資産格子,BTCUSD,ThuS 08-16UTC,23,39,0.59,-2.94,169,0.1683918175949657,13,20,20.47,45,0.378,False
暗号資産格子,ETHUSD,Sat 12-16UTC,23,39,0.59,0.2,168,0.1683918175949657,12,20,7.73,13,0.538,False
暗号資産格子,BTCUSD,FriS 12-16UTC,22,39,0.564,-2.46,170,0.26119869024842046,9,20,-5.29,45,0.267,False
暗号資産格子,ETHUSD,Sat 00-08UTC,22,39,0.564,1.38,169,0.26119869024842046,7,20,-21.13,13,0.462,False
暗号資産格子,ETHUSD,TueS 12-16UTC,22,39,0.564,5.19,169,0.26119869024842046,11,20,-8.82,45,0.356,False
暗号資産格子,BTCUSD,ThuS 12-16UTC,22,39,0.564,3.95,169,0.26119869024842046,11,20,19.79,45,0.333,False
暗号資産格子,BTCUSD,Wed 08-16UTC,21,39,0.538,16.4,169,0.37462931238042074,10,20,1.27,45,0.556,False
暗号資産格子,BTCUSD,Tue 00-04UTC,21,39,0.538,-3.12,170,0.37462931238042074,5,20,-26.87,45,0.244,False
暗号資産格子,BTCUSD,Tue 16-20UTC,21,39,0.538,-11.14,169,0.37462931238042074,10,20,-5.0,45,0.4,False
暗号資産格子,ETHUSD,Wed 08-12UTC,21,39,0.538,6.83,169,0.37462931238042074,11,20,2.72,45,0.467,False
暗号資産格子,BTCUSD,Mon 16-00UTC,21,39,0.538,11.61,168,0.37462931238042074,10,20,-7.27,45,0.467,False
暗号資産格子,ETHUSD,MonS 08-16UTC,21,39,0.538,-17.46,168,0.37462931238042074,8,20,-30.12,45,0.444,False
暗号資産格子,ETHUSD,Tue 16-00UTC,21,39,0.538,-13.81,169,0.37462931238042074,10,20,12.84,45,0.467,False
暗号資産格子,ETHUSD,Sat 08-16UTC,21,39,0.538,-9.73,168,0.37462931238042074,12,20,2.83,13,0.692,False
暗号資産格子,ETHUSD,Thu 00-08UTC,21,39,0.538,-10.43,169,0.37462931238042074,10,20,-11.93,45,0.378,False
暗号資産格子,ETHUSD,ThuS 20-00UTC,21,39,0.538,2.02,169,0.37462931238042074,5,20,-26.81,45,0.511,False
暗号資産格子,ETHUSD,FriS 16-00UTC,21,39,0.538,-5.33,169,0.37462931238042074,9,20,-5.43,13,0.385,False
暗号資産格子,BTCUSD,MonS 08-16UTC,21,39,0.538,-21.38,168,0.37462931238042074,5,20,-20.85,45,0.378,False
暗号資産格子,ETHUSD,WedS 00-08UTC,20,39,0.513,-11.58,169,0.5,3,20,-37.66,45,0.422,False
暗号資産格子,ETHUSD,Wed 00-04UTC,20,39,0.513,-4.58,169,0.5,8,20,-8.93,45,0.4,False
暗号資産格子,BTCUSD,Wed 12-16UTC,20,39,0.513,-0.57,169,0.5,10,20,-5.57,45,0.489,False
暗号資産格子,BTCUSD,Sat 08-16UTC,20,39,0.513,-7.26,168,0.5,9,20,1.27,13,0.769,False
暗号資産格子,BTCUSD,Fri 00-04UTC,20,39,0.513,-8.3,170,0.5,7,20,-8.41,46,0.174,False
暗号資産格子,BTCUSD,Tue 00-08UTC,20,39,0.513,-0.96,170,0.5,4,20,-43.72,45,0.289,False
暗号資産格子,ETHUSD,MonS 00-04UTC,20,39,0.513,16.61,168,0.5,8,20,-1.17,45,0.4,False
暗号資産格子,ETHUSD,Thu 00-04UTC,20,39,0.513,-9.73,169,0.5,9,20,-10.09,45,0.333,False
暗号資産格子,ETHUSD,Thu 08-12UTC,20,39,0.513,1.16,169,0.5,7,20,-15.75,45,0.356,False
暗号資産格子,ETHUSD,ThuS 16-20UTC,20,39,0.513,-14.21,169,0.5,13,20,28.82,45,0.578,False
暗号資産格子,ETHUSD,Mon 16-00UTC,20,39,0.513,25.41,168,0.5,8,20,-5.06,45,0.556,False
暗号資産格子,ETHUSD,FriS 12-16UTC,20,39,0.513,-0.01,170,0.5,10,20,3.98,45,0.444,False
暗号資産格子,ETHUSD,Wed 08-16UTC,20,39,0.513,4.16,169,0.5,9,20,2.76,45,0.489,False
暗号資産格子,ETHUSD,SunS 12-16UTC,20,39,0.513,-1.08,168,0.5,9,20,-18.9,13,0.462,False
暗号資産格子,ETHUSD,Tue 20-00UTC,19,39,0.487,-5.25,169,0.6253706876195793,11,20,8.52,45,0.511,False
暗号資産格子,ETHUSD,Sun 20-00UTC,19,39,0.487,-9.82,168,0.6253706876195793,8,20,-16.42,13,0.846,False
暗号資産格子,ETHUSD,Fri 00-08UTC,19,39,0.487,-3.89,170,0.6253706876195793,8,20,-0.12,46,0.348,False
暗号資産格子,ETHUSD,ThuS 16-00UTC,19,39,0.487,-2.27,169,0.6253706876195793,10,20,12.02,45,0.644,False
暗号資産格子,ETHUSD,Sun 16-00UTC,19,39,0.487,-4.5,168,0.6253706876195793,10,20,-20.69,13,0.846,False
暗号資産格子,ETHUSD,Tue 08-16UTC,19,39,0.487,-21.06,169,0.6253706876195793,11,20,6.72,45,0.444,False
暗号資産格子,ETHUSD,Tue 08-12UTC,19,39,0.487,-5.02,170,0.6253706876195793,11,20,7.93,45,0.4,False
暗号資産格子,ETHUSD,WedS 08-16UTC,19,39,0.487,-24.16,169,0.6253706876195793,10,20,-22.76,45,0.489,False
暗号資産格子,ETHUSD,Wed 16-00UTC,19,39,0.487,-1.83,169,0.6253706876195793,11,20,33.05,45,0.556,False
暗号資産格子,BTCUSD,Sun 16-00UTC,19,39,0.487,4.64,168,0.6253706876195793,9,20,-13.3,13,0.615,False
暗号資産格子,BTCUSD,Sat 12-16UTC,19,39,0.487,-0.12,168,0.6253706876195793,10,20,0.39,13,0.615,False
暗号資産格子,BTCUSD,Sat 16-00UTC,19,39,0.487,-3.36,168,0.6253706876195793,6,20,-10.1,13,0.231,False
暗号資産格子,BTCUSD,Thu 08-12UTC,19,39,0.487,-3.02,169,0.6253706876195793,5,20,-10.7,45,0.378,False
暗号資産格子,BTCUSD,Tue 20-00UTC,19,39,0.487,-6.46,168,0.6253706876195793,8,20,-2.69,45,0.444,False
暗号資産格子,BTCUSD,Mon 04-08UTC,19,39,0.487,5.92,168,0.6253706876195793,10,20,-2.16,45,0.267,False
暗号資産格子,BTCUSD,Sun 16-20UTC,19,39,0.487,-2.18,169,0.6253706876195793,8,20,-13.02,13,0.462,False
暗号資産格子,BTCUSD,SunS 08-16UTC,19,39,0.487,-13.8,168,0.6253706876195793,8,20,-8.8,13,0.615,False
