event,symbol,window,side,is_n,is_plus,is_rate,is_mean_bps,p,oos_n,oos_plus,oos_mean_bps,pre_n,pre_rate,passed
CPI,CHFJPY,前日,L,39,26,0.667,10.31,0.026625957048963755,11,10,35.85,69,0.435,False
CPI,EURJPY,前日,L,39,26,0.667,11.05,0.026625957048963755,19,14,23.83,69,0.464,False
CPI,EURUSD,前日,L,39,26,0.667,9.58,0.026625957048963755,19,7,-4.02,69,0.478,False
CPI,USDCHF,当日,L,37,24,0.649,-1.82,0.04943587479647249,16,7,-33.96,55,0.473,False
CPI,USDJPY,前日,L,39,25,0.641,-1.44,0.054064510703028645,19,16,25.0,69,0.435,False
FOMC,XAUUSD,当日,L,26,17,0.654,28.7,0.08431877195835114,9,4,-6.31,6,0.333,False
FOMC,USDJPY,当日,S,26,17,0.654,22.77,0.08431877195835114,13,7,14.66,45,0.622,False
BoJ,EURJPY,翌日,S,14,10,0.714,21.78,0.08978271484375,8,6,18.43,34,0.529,False
BoJ,USDJPY,翌日,S,14,10,0.714,19.35,0.08978271484375,8,2,9.78,34,0.559,False
CPI,AUDUSD,前日,L,39,24,0.615,7.75,0.09979543345980346,19,6,2.77,69,0.565,False
CPI,GBPUSD,前日,L,39,24,0.615,13.87,0.09979543345980346,19,9,6.55,69,0.478,False
CPI,CHFJPY,翌日,L,27,17,0.63,2.76,0.12389428168535233,7,2,-15.52,39,0.359,False
CPI,EURUSD,当日,S,37,22,0.595,2.71,0.1620043000439182,16,7,-29.56,55,0.436,False
BoJ,EURGBP,当日,S,26,16,0.615,3.58,0.16346979141235352,8,3,-4.99,46,0.413,False
FOMC,EURGBP,当日,L,26,16,0.615,21.22,0.16346979141235352,8,3,-5.61,45,0.467,False
FOMC,EURJPY,当日,S,26,16,0.615,20.1,0.16346979141235352,13,7,24.48,45,0.578,False
BoJ,USDCHF,前日,S,26,16,0.615,10.85,0.16346979141235352,13,5,-15.65,45,0.467,False
BoJ,USDJPY,当日,L,26,16,0.615,6.87,0.16346979141235352,13,7,-1.24,46,0.217,False
BoJ,GBPUSD,前日,S,26,16,0.615,-0.7,0.16346979141235352,13,7,4.08,45,0.578,False
FOMC,AUDUSD,前日,L,26,16,0.615,22.78,0.16346979141235352,14,5,-19.05,45,0.6,False
CPI,USDCHF,前日,S,39,23,0.59,8.14,0.1683918175949657,19,7,-8.48,69,0.42,False
BoJ,USDCHF,翌日,S,14,9,0.643,15.35,0.21197509765625,8,3,-13.58,34,0.559,False
BoJ,NZDUSD,翌日,S,14,9,0.643,-0.52,0.21197509765625,8,6,25.59,34,0.471,False
BoJ,GBPUSD,翌日,L,14,9,0.643,-22.08,0.21197509765625,8,1,-26.93,34,0.618,False
BoJ,EURUSD,翌日,L,14,9,0.643,-6.37,0.21197509765625,8,2,-12.68,34,0.559,False
FOMC,USDCHF,翌日,L,25,15,0.6,0.35,0.21217811107635498,13,8,5.63,43,0.465,False
FOMC,USDJPY,翌日,L,25,15,0.6,14.74,0.21217811107635498,13,8,4.77,43,0.512,False
FOMC,CHFJPY,翌日,L,25,15,0.6,11.0,0.21217811107635498,8,4,-15.55,43,0.535,False
CPI,AUDUSD,翌日,L,27,16,0.593,0.11,0.22103416919708252,13,6,-16.7,39,0.385,False
CPI,USDJPY,翌日,L,27,16,0.593,0.86,0.22103416919708252,13,5,-7.11,39,0.538,False
CPI,GBPUSD,翌日,S,27,16,0.593,0.98,0.22103416919708252,13,7,-1.31,39,0.462,False
CPI,CHFJPY,当日,S,37,21,0.568,17.25,0.2556878907926148,10,4,-8.84,55,0.509,False
FOMC,USDJPY,前日,S,26,15,0.577,24.94,0.2785985469818115,14,6,-4.29,45,0.533,False
FOMC,NZDUSD,前日,L,26,15,0.577,17.48,0.2785985469818115,14,4,-23.71,45,0.556,False
BoJ,CHFJPY,当日,L,26,15,0.577,8.17,0.2785985469818115,8,4,35.83,46,0.37,False
FOMC,CHFJPY,当日,S,26,15,0.577,6.76,0.2785985469818115,8,2,-24.76,45,0.511,False
BoJ,EURJPY,前日,L,26,15,0.577,0.87,0.2785985469818115,13,6,-4.41,45,0.4,False
BoJ,XAUUSD,当日,L,26,15,0.577,16.58,0.2785985469818115,8,5,42.34,6,0.167,False
BoJ,CHFJPY,前日,L,26,15,0.577,23.21,0.2785985469818115,8,5,-3.15,45,0.444,False
BoJ,NZDUSD,前日,L,26,15,0.577,-9.03,0.2785985469818115,13,7,1.29,45,0.467,False
FOMC,NZDUSD,当日,L,26,15,0.577,5.89,0.2785985469818115,13,5,-20.39,45,0.556,False
FOMC,CHFJPY,前日,S,26,15,0.577,18.63,0.2785985469818115,9,6,14.14,45,0.444,False
FOMC,XAUUSD,前日,L,26,15,0.577,3.92,0.2785985469818115,9,2,-14.74,6,0.167,False
FOMC,EURGBP,翌日,L,25,14,0.56,7.13,0.34501898288726807,8,5,13.8,43,0.605,False
FOMC,EURUSD,翌日,S,25,14,0.56,5.84,0.34501898288726807,13,6,-0.5,43,0.488,False
CPI,GBPUSD,当日,S,37,20,0.541,3.58,0.3714146793645341,16,9,-19.59,55,0.4,False
CPI,NZDUSD,当日,S,37,20,0.541,-7.65,0.3714146793645341,16,10,-14.37,55,0.4,False
CPI,EURJPY,当日,S,37,20,0.541,21.28,0.3714146793645341,16,6,-0.48,55,0.527,False
CPI,XAUUSD,当日,L,39,21,0.538,12.04,0.37462931238042074,11,9,71.71,9,0.778,False
BoJ,AUDUSD,翌日,L,14,8,0.571,8.05,0.395263671875,8,2,-25.42,34,0.529,False
BoJ,AUDUSD,当日,S,26,14,0.538,9.6,0.42250949144363403,13,10,7.3,46,0.522,False
FOMC,EURUSD,当日,S,26,14,0.538,-5.16,0.42250949144363403,13,7,6.64,45,0.311,False
BoJ,EURGBP,前日,S,26,14,0.538,2.63,0.42250949144363403,8,3,-0.95,45,0.511,False
FOMC,EURUSD,前日,L,26,14,0.538,9.46,0.42250949144363403,14,4,-12.49,45,0.578,False
