family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
COT 極端値,AUD,z>=2.0 反転 1w (AUDUSD),3,3,1.0,29.33,3,0.125,3,7,-34.73,0,,False
COT 極端値,GBP,z>=1.5 反転 1w (GBPUSD),10,15,0.667,38.24,32,0.15087890625,2,3,-8.57,27,0.444,False
COT 極端値,AUD,z>=1.5 反転 1w (AUDUSD),4,6,0.667,38.62,14,0.34375,5,11,-9.04,16,0.438,False
COT 極端値,CHF,z>=2.0 追随 1w (USDCHF),4,6,0.667,45.06,9,0.34375,0,2,-366.29,7,0.714,False
COT 極端値,GBP,z>=2.0 追随 1w (GBPUSD),4,7,0.571,-2.85,15,0.5,0,0,,11,0.455,False
COT 極端値,JPY,z>=2.0 追随 1w (USDJPY),2,3,0.667,29.78,4,0.5,0,0,,3,0.0,False
COT 極端値,EUR,z>=2.0 追随 1w (EURUSD),1,1,1.0,58.68,2,0.5,1,5,-6.92,5,0.6,False
COT 極端値,JPY,z>=1.5 追随 1w (USDJPY),7,13,0.538,17.43,26,0.5,0,3,-98.04,15,0.333,False
COT 極端値,NZD,z>=1.5 反転 1w (NZDUSD),5,9,0.556,24.16,19,0.5,6,11,12.87,16,0.438,False
COT 極端値,NZD,z>=2.0 反転 1w (NZDUSD),2,3,0.667,14.26,8,0.5,3,4,24.69,8,0.75,False
COT 極端値,CAD,z>=2.0 反転 1w (USDCAD),2,3,0.667,24.48,6,0.5,0,0,,0,,False
COT 極端値,EUR,z>=1.5 反転 1w (EURUSD),2,3,0.667,-30.74,6,0.5,5,11,-22.88,11,0.545,False
COT 極端値,CAD,z>=1.5 追随 1w (USDCAD),6,12,0.5,-5.74,26,0.61279296875,1,2,50.89,2,0.0,False
COT 極端値,CHF,z>=1.5 反転 1w (USDCHF),5,10,0.5,-1.66,20,0.623046875,2,2,245.96,23,0.304,False
COT 極端値,CHF,z>=1.5 追随 1w (USDCHF),5,10,0.5,-4.73,20,0.623046875,0,2,-252.84,23,0.652,False
COT 極端値,JPY,z>=1.5 反転 1w (USDJPY),6,13,0.462,-22.1,26,0.70947265625,3,3,94.14,15,0.667,False
COT 極端値,NZD,z>=1.5 追随 1w (NZDUSD),4,9,0.444,-33.55,19,0.74609375,5,11,-23.21,16,0.5,False
COT 極端値,CAD,z>=1.5 反転 1w (USDCAD),5,12,0.417,1.33,26,0.80615234375,1,2,-55.21,2,1.0,False
COT 極端値,NZD,z>=2.0 追随 1w (NZDUSD),1,3,0.333,-22.93,8,0.875,1,4,-34.98,8,0.25,False
COT 極端値,CAD,z>=2.0 追随 1w (USDCAD),1,3,0.333,-28.92,6,0.875,0,0,,0,,False
COT 極端値,JPY,z>=2.0 反転 1w (USDJPY),1,3,0.333,-34.56,4,0.875,0,0,,3,1.0,False
COT 極端値,EUR,z>=1.5 追随 1w (EURUSD),1,3,0.333,25.04,6,0.875,5,11,17.54,11,0.455,False
COT 極端値,AUD,z>=1.5 追随 1w (AUDUSD),2,6,0.333,-47.18,14,0.890625,6,11,0.24,16,0.375,False
COT 極端値,CHF,z>=2.0 反転 1w (USDCHF),2,6,0.333,-51.47,9,0.890625,2,2,359.37,7,0.286,False
COT 極端値,GBP,z>=2.0 反転 1w (GBPUSD),2,7,0.286,-2.03,15,0.9375,0,0,,11,0.545,False
COT 極端値,GBP,z>=1.5 追随 1w (GBPUSD),4,15,0.267,-43.08,32,0.982421875,1,3,3.94,27,0.556,False
COT 極端値,AUD,z>=2.0 追随 1w (AUDUSD),0,3,0.0,-38.01,3,1.0,4,7,25.95,0,,False
COT 極端値,EUR,z>=2.0 反転 1w (EURUSD),0,1,0.0,-64.43,2,1.0,4,5,1.54,5,0.4,False
