family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
セッション波及,JP225,追随(符号) US500前日14-20→JP225 0-6UTC,20,39,0.513,-0.62,801,0.5,5,20,-12.52,43,0.279,False
セッション波及,AUS200,追随(|先行|≥0.5%) US500前日14-20→AUS200 0-6UTC,20,39,0.513,0.51,342,0.5,8,20,-9.37,44,0.386,False
セッション波及,AUS200,追随(符号) US500前日14-20→AUS200 0-6UTC,19,39,0.487,-0.74,778,0.6253706876195793,2,20,-7.37,46,0.348,False
セッション波及,NAS100,追随(符号) GER40同日7-13→NAS100 14-20UTC,15,31,0.484,1.64,669,0.639949934091419,7,13,-0.56,42,0.405,False
セッション波及,NAS100,追随(|先行|≥0.5%) GER40同日7-13→NAS100 14-20UTC,14,31,0.452,-4.18,257,0.7634351700544357,5,13,-5.07,42,0.548,False
セッション波及,HK50,追随(符号) US500前日14-20→HK50 1-8UTC,17,39,0.436,-4.56,757,0.8316081824050343,8,20,-6.36,45,0.333,False
セッション波及,GER40,追随(|先行|≥0.5%) JP225同日0-6→GER40 7-15UTC,17,39,0.436,-9.66,382,0.8316081824050343,11,20,-0.23,41,0.463,False
セッション波及,GER40,追随(符号) JP225同日0-6→GER40 7-15UTC,16,39,0.41,-5.44,834,0.9002045665401965,11,20,-1.2,42,0.357,False
セッション波及,US500,追随(|先行|≥0.5%) GER40同日7-13→US500 14-20UTC,16,39,0.41,-6.54,317,0.9002045665401965,11,20,0.67,68,0.456,False
セッション波及,JP225,追随(|先行|≥0.5%) US500前日14-20→JP225 0-6UTC,15,39,0.385,-2.0,354,0.9459354892969714,4,20,-17.33,41,0.39,False
セッション波及,US500,追随(符号) GER40同日7-13→US500 14-20UTC,15,39,0.385,-4.31,806,0.9459354892969714,8,20,-3.0,69,0.449,False
セッション波及,EUSTX50,追随(符号) JP225同日0-6→EUSTX50 7-15UTC,15,39,0.385,-6.47,828,0.9459354892969714,6,20,-4.29,42,0.333,False
セッション波及,EUSTX50,追随(|先行|≥0.5%) JP225同日0-6→EUSTX50 7-15UTC,15,39,0.385,-11.66,380,0.9459354892969714,9,20,-1.9,41,0.39,False
セッション波及,HK50,追随(|先行|≥0.5%) US500前日14-20→HK50 1-8UTC,10,39,0.256,-8.77,329,0.9994674901827239,10,20,-0.66,43,0.442,False
