family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
中銀後継続,JP225,BOJ 発表バー符号に追随 +1h→+4h,16,26,0.615,8.01,26,0.16346979141235352,7,13,13.42,29,0.517,False
中銀後継続,UK100,BOE 発表バー符号に追随 +1h→+4h,15,25,0.6,10.75,25,0.21217811107635498,4,13,-9.13,30,0.333,False
中銀後継続,AUDUSD,RBA 発表バー符号に追随 +1h→+4h,18,33,0.545,0.9,33,0.3641662404406816,2,13,-9.48,63,0.444,False
中銀後継続,US500,FOMC 発表バー符号に追随 +1h→+4h,14,26,0.538,-2.6,26,0.42250949144363403,3,13,-25.99,27,0.481,False
中銀後継続,USDJPY,BOJ 発表バー符号に追随 +1h→+4h,14,26,0.538,-2.81,26,0.42250949144363403,5,13,-0.82,44,0.386,False
中銀後継続,EURUSD,ECB 発表バー符号に追随 +1h→+4h,13,26,0.5,0.46,26,0.577490508556366,4,12,-11.26,46,0.565,False
中銀後継続,XAUUSD,FOMC 発表バー符号に追随 +1h→+4h,12,26,0.462,-0.33,26,0.7214014530181885,5,8,10.59,6,0.333,False
中銀後継続,EURUSD,FOMC 発表バー符号に追随 +1h→+4h,11,26,0.423,-5.07,26,0.8365302085876465,8,13,5.76,45,0.333,False
中銀後継続,EUSTX50,ECB 発表バー符号に追随 +1h→+4h,11,26,0.423,-7.62,26,0.8365302085876465,6,13,0.42,30,0.567,False
中銀後継続,GBPUSD,BOE 発表バー符号に追随 +1h→+4h,11,26,0.423,-4.44,26,0.8365302085876465,3,13,-6.53,49,0.612,False
中銀後継続,AUS200,RBA 発表バー符号に追随 +1h→+4h,11,33,0.333,-3.42,33,0.9824589833151549,6,13,-9.08,41,0.537,False
