family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
指数週末,JP225,月曜 追随(金曜符号),24,39,0.615,4.31,167,0.09979543345980346,8,20,-25.45,45,0.422,False
指数週末,US500,月曜 追随(金曜符号),22,39,0.564,6.52,167,0.26119869024842046,8,20,-15.99,69,0.435,False
指数週末,UK100,月曜 反転(金曜符号),21,39,0.538,2.84,166,0.37462931238042074,11,20,7.36,45,0.444,False
指数週末,GER40,月曜 反転(金曜符号),21,39,0.538,5.02,165,0.37462931238042074,13,20,13.51,69,0.493,False
指数週末,NAS100,月曜 追随(金曜符号),16,31,0.516,3.78,131,0.5,5,13,-27.95,42,0.429,False
指数週末,US30,月曜 追随(金曜符号),19,39,0.487,-0.7,167,0.6253706876195793,7,20,-17.59,45,0.533,False
指数週末,US30,月曜 反転(金曜符号),18,39,0.462,-5.3,167,0.7388013097515795,11,20,11.59,45,0.422,False
指数週末,NAS100,月曜 反転(金曜符号),14,31,0.452,-9.78,131,0.7634351700544357,8,13,21.95,42,0.452,False
指数週末,US500,月曜 反転(金曜符号),16,39,0.41,-12.52,167,0.9002045665401965,10,20,9.99,69,0.449,False
指数週末,GER40,月曜 追随(金曜符号),13,39,0.333,-11.02,165,0.9881486487647635,6,20,-19.51,69,0.435,False
指数週末,UK100,月曜 追随(金曜符号),13,39,0.333,-10.84,166,0.9881486487647635,5,20,-15.36,45,0.356,False
指数週末,JP225,月曜 反転(金曜符号),13,39,0.333,-12.31,167,0.9881486487647635,11,20,17.45,45,0.467,False
