family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
FX TSMOM,USDJPY,月足 1/3/6/12 符号和・翌月保有,22,39,0.564,1.39,848,0.26119869024842046,9,19,0.31,70,0.286,False
FX TSMOM,CHFJPY,月足 1/3/6/12 符号和・翌月保有,21,39,0.538,3.13,848,0.37462931238042074,13,19,3.16,70,0.286,False
FX TSMOM,EURJPY,月足 1/3/6/12 符号和・翌月保有,19,39,0.487,-0.44,848,0.6253706876195793,10,19,1.75,70,0.257,False
FX TSMOM,AUDJPY,月足 1/3/6/12 符号和・翌月保有,18,39,0.462,-0.55,848,0.7388013097515795,10,19,4.32,70,0.286,False
FX TSMOM,CADJPY,月足 1/3/6/12 符号和・翌月保有,17,39,0.436,0.03,848,0.8316081824050343,8,19,0.43,70,0.214,False
FX TSMOM,EURUSD,月足 1/3/6/12 符号和・翌月保有,15,39,0.385,-0.57,848,0.9459354892969714,8,19,-0.22,70,0.386,False
FX TSMOM,GBPJPY,月足 1/3/6/12 符号和・翌月保有,14,39,0.359,-0.58,848,0.9733740429510362,12,19,0.9,70,0.271,False
FX TSMOM,GBPUSD,月足 1/3/6/12 符号和・翌月保有,14,39,0.359,-0.57,848,0.9733740429510362,6,19,-0.99,70,0.357,False
FX TSMOM,NZDJPY,月足 1/3/6/12 符号和・翌月保有,14,39,0.359,-2.81,848,0.9733740429510362,10,19,0.97,70,0.243,False
FX TSMOM,USDCHF,月足 1/3/6/12 符号和・翌月保有,12,39,0.308,-1.59,848,0.9952623478602618,9,19,0.58,70,0.243,False
FX TSMOM,AUDUSD,月足 1/3/6/12 符号和・翌月保有,12,39,0.308,-4.47,848,0.9952623478602618,7,19,0.96,70,0.3,False
FX TSMOM,NZDUSD,月足 1/3/6/12 符号和・翌月保有,11,39,0.282,-4.05,848,0.9983110760440468,6,19,-1.85,70,0.257,False
FX TSMOM,USDCAD,月足 1/3/6/12 符号和・翌月保有,10,39,0.256,-1.89,848,0.9994674901827239,7,19,-2.11,70,0.286,False
FX TSMOM,EURGBP,月足 1/3/6/12 符号和・翌月保有,0,0,,,0,1.0,0,0,,0,,False
