hold,sl,is_sharpe,is_worst_m,is_cum,oos_sharpe,oos_worst_m,oos_cum,n,improve
3,15,-8.21,-0.91,-16.6,-11.02,-1.14,-7.8,883,False
3,25,-8.25,-0.91,-15.9,-10.71,-1.23,-7.9,883,True
3,none,-8.25,-0.91,-15.9,-9.87,-0.97,-7.4,883,True
4,15,-10.15,-0.96,-22.6,-10.98,-1.11,-8.9,883,False
4,25,-9.38,-0.95,-21.6,-10.53,-1.3,-9.1,883,False
4,none,-9.38,-0.95,-21.6,-10.76,-1.25,-8.7,883,False
5,15,-9.02,-1.22,-24.2,-12.01,-1.32,-10.1,883,False
5,25,-8.54,-1.22,-23.3,-11.5,-1.44,-10.2,883,False
5,none,-8.55,-1.22,-23.3,-10.64,-1.34,-10.2,883,False
6,15,-7.73,-1.17,-22.9,-9.91,-1.31,-9.2,883,False
6,25,-7.3,-1.17,-21.8,-9.57,-1.41,-9.3,883,False
6,none,-7.32,-1.17,-21.7,-9.01,-1.43,-9.3,883,False
3,15,-3.62,-1.65,-18.3,-6.84,-1.61,-15.3,1020,False
3,25,-3.26,-1.82,-17.3,-6.55,-2.08,-15.8,1020,False
3,none,-3.02,-1.62,-15.7,-5.56,-2.79,-15.6,1020,False
4,15,-4.75,-1.78,-26.1,-6.4,-1.8,-17.0,1019,False
4,25,-4.54,-2.01,-26.3,-6.1,-1.97,-17.2,1019,False
4,none,-4.39,-2.3,-25.1,-5.41,-2.87,-17.2,1019,False
5,15,-3.1,-1.99,-22.6,-4.69,-2.41,-16.1,1019,True
5,25,-2.76,-2.17,-21.3,-4.56,-2.58,-16.8,1019,True
5,none,-2.57,-2.72,-20.3,-4.28,-2.7,-16.3,1019,False
6,15,-3.16,-2.36,-26.4,-3.16,-2.26,-13.0,1018,False
6,25,-3.01,-2.79,-27.3,-2.88,-2.74,-12.7,1018,False
6,none,-2.88,-3.23,-27.0,-2.81,-2.84,-13.4,1018,False
