family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
Roll 祝日水曜除外(改良系),GBPJPY,祝日水曜を建てない,25,32,0.781,5.28,133,0.0010512007866054773,18,20,4.46,0,,False
Mon 祝日月曜除外(改良系),EURJPY,祝日月曜を建てない,29,39,0.744,12.52,148,0.0016889239559532143,13,19,6.64,69,0.536,False
Mon 祝日月曜除外(改良系),USDJPY,祝日月曜を建てない,28,39,0.718,13.09,148,0.004737652139738202,10,19,-2.65,69,0.435,False
Mon 祝日月曜除外(改良系),GBPJPY,祝日月曜を建てない,28,39,0.718,13.26,148,0.004737652139738202,15,19,14.1,69,0.536,False
Roll 祝日水曜除外(改良系),CADJPY,祝日水曜を建てない,24,33,0.727,3.69,136,0.0067654934246093035,8,12,3.79,31,0.484,False
祝日翌営業日 L,USDJPY,祝日翌営業日の o2o LONG,21,29,0.724,20.77,40,0.01205977238714695,10,16,-1.04,52,0.519,False
Roll 祝日水曜除外(改良系),EURJPY,祝日水曜を建てない,19,26,0.731,4.6,108,0.014479637145996094,12,20,3.01,0,,False
Mon 祝日月曜除外(改良系),CADJPY,祝日月曜を建てない,26,39,0.667,11.78,148,0.026625957048963755,12,19,2.52,69,0.551,False
Mon 祝日月曜除外(改良系),CHFJPY,祝日月曜を建てない,26,39,0.667,12.27,148,0.026625957048963755,11,19,2.91,69,0.536,False
Roll 祝日水曜除外(改良系),AUDJPY,祝日水曜を建てない,20,30,0.667,3.24,125,0.04936857335269451,13,20,4.2,41,0.341,False
Mon 祝日月曜除外(改良系),AUDJPY,祝日月曜を建てない,25,39,0.641,13.83,148,0.054064510703028645,14,19,15.62,69,0.594,False
Mon 祝日月曜除外(改良系),NZDJPY,祝日月曜を建てない,25,39,0.641,11.83,148,0.054064510703028645,15,19,13.16,69,0.551,False
Roll 祝日水曜除外(改良系),USDJPY,祝日水曜を建てない,21,32,0.656,4.62,133,0.055092082591727376,17,20,5.39,37,0.486,False
Roll 祝日水曜のみ,USDJPY,水曜が日本の祝日のときだけ 20-00 S,4,4,1.0,21.4,4,0.0625,1,3,-7.43,5,0.2,False
Roll 祝日水曜のみ,GBPJPY,水曜が日本の祝日のときだけ 20-00 S,4,4,1.0,11.64,4,0.0625,1,3,-6.88,0,,False
祝日翌営業日 L,EURJPY,祝日翌営業日の o2o LONG,19,29,0.655,18.52,40,0.06802297383546829,10,16,11.96,52,0.558,False
祝日翌営業日 L,CADJPY,祝日翌営業日の o2o LONG,19,29,0.655,20.06,40,0.06802297383546829,9,16,-3.01,52,0.538,False
祝日翌営業日 L,GBPJPY,祝日翌営業日の o2o LONG,18,29,0.621,14.1,40,0.132465448230505,9,16,2.8,52,0.538,False
祝日翌営業日 L,NZDJPY,祝日翌営業日の o2o LONG,18,29,0.621,13.19,40,0.132465448230505,8,16,-8.58,52,0.481,False
祝日翌営業日 L,AUDJPY,祝日翌営業日の o2o LONG,18,29,0.621,17.8,40,0.132465448230505,7,16,-6.49,52,0.5,False
祝日翌営業日 L,CHFJPY,祝日翌営業日の o2o LONG,18,29,0.621,15.64,40,0.132465448230505,11,16,16.86,52,0.442,False
Roll 祝日水曜のみ,AUDJPY,水曜が日本の祝日のときだけ 20-00 S,3,4,0.75,19.01,4,0.3125,0,3,-9.47,7,0.429,False
Roll 祝日水曜のみ,EURJPY,水曜が日本の祝日のときだけ 20-00 S,3,4,0.75,9.07,4,0.3125,0,3,-9.63,0,,False
Mon 祝日月曜のみ,GBPJPY,月曜が日本の祝日の週だけ o2o L,10,18,0.556,4.24,22,0.40726470947265625,6,12,1.1,36,0.417,False
Mon 祝日月曜のみ,CADJPY,月曜が日本の祝日の週だけ o2o L,10,18,0.556,-5.52,22,0.40726470947265625,4,12,-11.97,36,0.472,False
Mon 祝日月曜のみ,CHFJPY,月曜が日本の祝日の週だけ o2o L,10,18,0.556,-7.61,22,0.40726470947265625,3,12,-8.17,36,0.417,False
Roll 祝日水曜のみ,CADJPY,水曜が日本の祝日のときだけ 20-00 S,3,5,0.6,9.85,5,0.5,0,0,,4,0.25,False
Mon 祝日月曜のみ,EURJPY,月曜が日本の祝日の週だけ o2o L,9,18,0.5,-8.3,22,0.5927352905273438,4,12,-6.69,36,0.472,False
Mon 祝日月曜のみ,AUDJPY,月曜が日本の祝日の週だけ o2o L,8,18,0.444,-10.24,22,0.7596588134765625,7,12,-3.0,36,0.472,False
Mon 祝日月曜のみ,USDJPY,月曜が日本の祝日の週だけ o2o L,7,18,0.389,-7.41,22,0.8810577392578125,6,12,-5.73,36,0.583,False
祝日翌営業日 S,GBPJPY,祝日翌営業日の o2o SHORT,11,29,0.379,-17.58,40,0.9319770261645317,7,16,-5.77,52,0.442,False
祝日翌営業日 S,AUDJPY,祝日翌営業日の o2o SHORT,11,29,0.379,-24.23,40,0.9319770261645317,6,16,0.56,52,0.365,False
Mon 祝日月曜のみ,NZDJPY,月曜が日本の祝日の週だけ o2o L,6,18,0.333,-16.42,22,0.951873779296875,6,12,-5.66,36,0.5,False
祝日翌営業日 S,NZDJPY,祝日翌営業日の o2o SHORT,10,29,0.345,-20.17,40,0.9692858271300793,8,16,1.83,52,0.404,False
祝日翌営業日 S,CHFJPY,祝日翌営業日の o2o SHORT,10,29,0.345,-19.63,40,0.9692858271300793,4,16,-20.09,52,0.5,False
祝日翌営業日 S,CADJPY,祝日翌営業日の o2o SHORT,9,29,0.31,-25.87,40,0.987940227612853,6,16,-2.46,52,0.365,False
