family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
月初3営業日 L,CHFJPY,月初3営業日 L o2o(3pip),22,39,0.564,-0.3,117,0.26119869024842046,10,19,-0.19,70,0.471,False
月初3営業日 L,EURJPY,月初3営業日 L o2o(3pip),20,39,0.513,-4.5,117,0.5,9,19,4.25,70,0.471,False
月初3営業日 L,USDJPY,月初3営業日 L o2o(3pip),20,39,0.513,-0.9,117,0.5,10,19,-8.03,70,0.457,False
月初3営業日 L,GBPJPY,月初3営業日 L o2o(3pip),20,39,0.513,-5.11,117,0.5,10,19,0.64,70,0.443,False
月初3営業日 L,CADJPY,月初3営業日 L o2o(3pip),20,39,0.513,-5.41,117,0.5,9,19,-2.86,70,0.543,False
ゴトー日 L,CHFJPY,ゴトー日 L o2o(3pip),20,39,0.513,-5.45,234,0.5,11,19,1.4,69,0.493,False
月初3営業日 L,NZDJPY,月初3営業日 L o2o(3pip),20,39,0.513,-3.61,117,0.5,11,19,-4.32,70,0.586,False
ゴトー日 L,USDJPY,ゴトー日 L o2o(3pip),19,39,0.487,-0.87,234,0.6253706876195793,9,19,-7.0,69,0.435,False
ゴトー日 L,CADJPY,ゴトー日 L o2o(3pip),19,39,0.487,-2.08,234,0.6253706876195793,7,19,-7.22,69,0.449,False
ゴトー日 L,AUDJPY,ゴトー日 L o2o(3pip),19,39,0.487,-6.67,234,0.6253706876195793,10,19,-4.24,69,0.478,False
ゴトー日 L,GBPJPY,ゴトー日 L o2o(3pip),18,39,0.462,-5.2,234,0.7388013097515795,10,19,-3.71,69,0.449,False
ゴトー日 L,NZDJPY,ゴトー日 L o2o(3pip),18,39,0.462,-6.86,234,0.7388013097515795,8,19,-6.83,69,0.42,False
月初3営業日 L,AUDJPY,月初3営業日 L o2o(3pip),17,39,0.436,-7.92,117,0.8316081824050343,13,19,2.67,70,0.614,False
ゴトー日 L,EURJPY,ゴトー日 L o2o(3pip),17,39,0.436,-9.14,234,0.8316081824050343,8,19,-1.3,69,0.507,False
