family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
ゴトー日の月曜 除外(改良系),Mon7,該当月曜を建てない,28,39,0.718,11.44,137,0.004737652139738202,13,19,6.99,69,0.522,False
翌火曜が日本の祝日 除外(改良系),Mon7,該当月曜を建てない,27,39,0.692,11.28,164,0.011851351235236507,15,19,7.73,69,0.551,False
お盆週(8/11-16) 除外(改良系),Mon7,該当月曜を建てない,27,39,0.692,10.58,167,0.011851351235236507,14,19,5.29,69,0.551,False
月初3JP営業日の月曜 除外(改良系),Mon7,該当月曜を建てない,27,39,0.692,11.3,143,0.011851351235236507,13,19,6.32,69,0.551,False
BoJ会合週の月曜 除外(改良系),Mon7,該当月曜を建てない,27,39,0.692,11.69,144,0.011851351235236507,11,19,4.66,69,0.507,False
ゴトー日の月曜 のみ,Mon7,該当月曜のみ o2o L,22,32,0.688,4.37,33,0.025051229866221547,5,12,-3.2,51,0.49,False
月初3JP営業日の月曜 のみ,Mon7,該当月曜のみ o2o L,17,25,0.68,3.55,27,0.05387607216835022,5,11,-0.82,50,0.46,False
豪NZ祝日月曜(AUDJPY+NZDJPY) 除外(改良系),Mon7,該当月曜を建てない,25,39,0.641,12.84,143,0.054064510703028645,15,19,12.73,69,0.565,False
月末最終JP営業日の月曜 除外(改良系),Mon7,該当月曜を建てない,25,39,0.641,9.17,164,0.054064510703028645,15,19,5.79,69,0.551,False
米国(NYSE)祝日月曜 除外(改良系),Mon7,該当月曜を建てない,25,39,0.641,9.8,151,0.054064510703028645,12,19,4.51,69,0.58,False
米国祝日月曜 除外(改良系),NAS100,NYSE 休場の月曜を建てない,24,39,0.615,21.05,151,0.09979543345980346,12,19,14.14,69,0.609,False
英国祝日月曜 除外(改良系),Mon7,該当月曜を建てない,24,39,0.615,9.61,151,0.09979543345980346,14,19,6.54,69,0.551,False
英国祝日月曜 のみ,Mon7,該当月曜のみ o2o L,11,16,0.688,13.72,19,0.1050567626953125,2,4,-9.48,23,0.478,False
月末最終JP営業日の月曜 のみ,Mon7,該当月曜のみ o2o L,5,6,0.833,34.76,6,0.109375,0,2,-12.03,8,0.25,False
BoJ会合週の月曜 のみ,Mon7,該当月曜のみ o2o L,16,26,0.615,1.1,26,0.16346979141235352,8,13,8.99,46,0.457,False
米国(NYSE)祝日月曜 のみ,Mon7,該当月曜のみ o2o L,11,17,0.647,12.19,19,0.1661529541015625,4,7,14.22,28,0.321,False
米国祝日月曜 除外(改良系),US500,NYSE 休場の月曜を建てない,22,39,0.564,10.14,151,0.26119869024842046,12,19,12.32,69,0.609,False
お盆週(8/11-16) のみ,Mon7,該当月曜のみ o2o L,2,3,0.667,-18.16,3,0.5,1,1,10.39,5,0.4,False
豪NZ祝日月曜(AUDJPY+NZDJPY) のみ,Mon7,該当月曜のみ o2o L,8,19,0.421,-8.54,27,0.8203582763671875,3,6,1.84,30,0.467,False
翌火曜が日本の祝日 のみ,Mon7,該当月曜のみ o2o L,2,6,0.333,-23.12,6,0.890625,0,5,-30.8,13,0.692,False
米国祝日月曜 のみ,NAS100,NYSE 休場の月曜のみ o2o L,0,0,,,0,1.0,0,0,,0,,False
米国祝日月曜 のみ,US500,NYSE 休場の月曜のみ o2o L,0,0,,,0,1.0,0,0,,0,,False
