family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
値日シフト週の水曜を除外(改良系),GBPJPY,該当週の水曜を建てない,26,32,0.812,5.59,122,0.0002675263676792383,17,20,4.12,0,,False
値日シフト週の水曜を除外(改良系),CADJPY,該当週の水曜を建てない,25,33,0.758,4.14,124,0.002275692066177726,7,12,3.33,31,0.452,False
値日シフト週の水曜を除外(改良系),EURJPY,該当週の水曜を建てない,20,26,0.769,4.61,99,0.0046776533126831055,12,20,2.34,0,,False
値日シフト週の水曜を除外(改良系),USDJPY,該当週の水曜を建てない,23,32,0.719,4.54,122,0.010030803503468633,14,20,4.76,37,0.486,False
値日シフト週の水曜を除外(改良系),AUDJPY,該当週の水曜を建てない,20,30,0.667,3.74,114,0.04936857335269451,12,20,3.85,41,0.341,False
値日シフト週の火曜 20-00 S,USDJPY,木/金に USD・JPY 祝日がある週の火曜,8,12,0.667,4.18,15,0.19384765625,3,7,-2.27,10,0.5,False
値日シフト週の火曜 20-00 S,CADJPY,木/金に USD・JPY 祝日がある週の火曜,9,14,0.643,2.66,17,0.21197509765625,3,5,1.33,8,0.125,False
値日シフト週の火曜 20-00 S,GBPJPY,木/金に USD・JPY 祝日がある週の火曜,7,12,0.583,1.8,15,0.38720703125,4,7,2.11,0,,False
値日シフト週の水曜 20-00 S(診断),USDJPY,同週の水曜(ロールが火曜に移れば弱いはず),6,11,0.545,9.74,15,0.5,5,8,6.63,10,0.5,False
値日シフト週の水曜 20-00 S(診断),GBPJPY,同週の水曜(ロールが火曜に移れば弱いはず),6,11,0.545,4.45,15,0.5,5,8,3.5,0,,False
値日シフト週の水曜 20-00 S(診断),AUDJPY,同週の水曜(ロールが火曜に移れば弱いはず),5,11,0.455,3.68,15,0.7255859375,6,8,2.49,14,0.5,False
値日シフト週の水曜 20-00 S(診断),EURJPY,同週の水曜(ロールが火曜に移れば弱いはず),4,9,0.444,5.87,13,0.74609375,6,8,4.75,0,,False
値日シフト週の水曜 20-00 S(診断),CADJPY,同週の水曜(ロールが火曜に移れば弱いはず),5,13,0.385,2.19,17,0.8665771484375,4,5,8.04,8,0.375,False
値日シフト週の火曜 20-00 S,AUDJPY,木/金に USD・JPY 祝日がある週の火曜,4,12,0.333,0.16,15,0.927001953125,3,7,-3.2,13,0.385,False
値日シフト週の火曜 20-00 S,EURJPY,木/金に USD・JPY 祝日がある週の火曜,3,10,0.3,-0.49,12,0.9453125,4,7,0.17,0,,False
