family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
Mon ロンドン 07-16 L,EURJPY,月曜 07:00→16:00 UTC LONG(3pip),28,39,0.718,8.86,168,0.004737652139738202,13,20,1.13,69,0.464,False
Mon4 ショット前倒し(改良系),Mon4,"4 ショット 24h: {4,6,8,10} → {0,2,4,6} UTC",26,39,0.667,10.89,169,0.026625957048963755,17,20,6.67,69,0.536,False
Mon ロンドン 07-16 L,CHFJPY,月曜 07:00→16:00 UTC LONG(3pip),26,39,0.667,7.51,168,0.026625957048963755,7,12,2.37,69,0.478,False
Mon ロンドン 07-16 L,CADJPY,月曜 07:00→16:00 UTC LONG(3pip),26,39,0.667,8.78,168,0.026625957048963755,6,12,1.95,69,0.391,False
Mon2 ショット前倒し(改良系),Mon2,"4 ショット 24h: {4,6,8,10} → {0,2,4,6} UTC",25,39,0.641,11.68,169,0.054064510703028645,16,20,10.98,69,0.536,False
Mon ロンドン 07-16 L,GBPJPY,月曜 07:00→16:00 UTC LONG(3pip),25,39,0.641,9.41,168,0.054064510703028645,15,20,8.28,69,0.435,False
Mon ロンドン 07-16 L,USDJPY,月曜 07:00→16:00 UTC LONG(3pip),25,39,0.641,8.52,168,0.054064510703028645,11,20,0.36,69,0.464,False
Mon ロンドン 07-16 L,AUDJPY,月曜 07:00→16:00 UTC LONG(3pip),24,39,0.615,9.92,168,0.09979543345980346,13,20,4.21,69,0.478,False
Mon ロンドン 07-16 L,NZDJPY,月曜 07:00→16:00 UTC LONG(3pip),23,39,0.59,4.46,168,0.1683918175949657,7,12,2.2,69,0.449,False
Mon NY 16-24 L,GBPJPY,月曜 16:00→24:00 UTC LONG(3pip),21,39,0.538,2.2,168,0.37462931238042074,10,20,2.43,69,0.42,False
Mon NY 16-24 L,EURJPY,月曜 16:00→24:00 UTC LONG(3pip),20,39,0.513,0.14,168,0.5,13,20,1.7,69,0.319,False
Mon NY 16-24 L,CHFJPY,月曜 16:00→24:00 UTC LONG(3pip),19,39,0.487,-0.57,168,0.6253706876195793,5,12,-0.12,69,0.29,False
Mon 東京 00-07 L,NZDJPY,月曜 00:00→07:00 UTC LONG(3pip),18,39,0.462,-4.06,168,0.7388013097515795,7,12,-2.7,69,0.464,False
Mon 東京 00-07 L,AUDJPY,月曜 00:00→07:00 UTC LONG(3pip),18,39,0.462,-5.44,169,0.7388013097515795,10,20,-0.78,69,0.42,False
Mon 東京 00-07 L,EURJPY,月曜 00:00→07:00 UTC LONG(3pip),18,39,0.462,-3.1,169,0.7388013097515795,9,20,-2.31,69,0.362,False
Mon 東京 00-07 L,USDJPY,月曜 00:00→07:00 UTC LONG(3pip),17,39,0.436,-2.83,169,0.8316081824050343,6,20,-8.39,69,0.319,False
Mon 東京 00-07 L,GBPJPY,月曜 00:00→07:00 UTC LONG(3pip),16,39,0.41,-3.2,169,0.9002045665401965,10,20,-2.13,69,0.507,False
Mon NY 16-24 L,CADJPY,月曜 16:00→24:00 UTC LONG(3pip),16,39,0.41,-1.99,168,0.9002045665401965,5,12,-1.59,69,0.333,False
Mon 東京 00-07 L,CHFJPY,月曜 00:00→07:00 UTC LONG(3pip),16,39,0.41,-2.44,168,0.9002045665401965,2,12,-5.24,69,0.275,False
Mon NY 16-24 L,NZDJPY,月曜 16:00→24:00 UTC LONG(3pip),16,39,0.41,-1.14,168,0.9002045665401965,5,12,-0.98,69,0.304,False
Mon 東京 00-07 L,CADJPY,月曜 00:00→07:00 UTC LONG(3pip),15,39,0.385,-4.09,169,0.9459354892969714,4,12,-9.07,69,0.449,False
Mon NY 16-24 L,AUDJPY,月曜 16:00→24:00 UTC LONG(3pip),15,39,0.385,-1.83,168,0.9459354892969714,12,20,1.16,69,0.362,False
Mon NY 16-24 L,USDJPY,月曜 16:00→24:00 UTC LONG(3pip),15,39,0.385,-0.92,168,0.9459354892969714,12,20,0.1,69,0.333,False
