family,symbol,spec,is_plus,is_n,is_rate,is_mean_bps,is_trades,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
週初JP祝日週の水曜 除外(改良系),GBPJPY,該当週の水曜を建てない,26,32,0.812,5.01,117,0.0002675263676792383,16,20,4.37,0,,False
週初JP祝日週の水曜 除外(改良系),CADJPY,該当週の水曜を建てない,25,33,0.758,3.24,120,0.002275692066177726,8,12,3.84,31,0.516,False
週初JP祝日週の水曜 除外(改良系),USDJPY,該当週の水曜を建てない,23,32,0.719,4.41,117,0.010030803503468633,14,20,5.05,37,0.486,False
週初JP祝日週の水曜 除外(改良系),EURJPY,該当週の水曜を建てない,19,26,0.731,3.88,95,0.014479637145996094,10,20,2.71,0,,False
週初JP祝日週の水曜 除外(改良系),AUDJPY,該当週の水曜を建てない,20,30,0.667,3.12,109,0.04936857335269451,10,20,4.07,41,0.39,False
週初JP祝日週の水曜 のみ,AUDJPY,月/火が JP 祝日の週の水曜 20-00 S,10,16,0.625,7.05,20,0.2272491455078125,8,14,2.31,22,0.5,False
週初JP祝日週の水曜 のみ,USDJPY,月/火が JP 祝日の週の水曜 20-00 S,10,16,0.625,9.15,20,0.2272491455078125,10,14,4.49,21,0.571,False
週初JP祝日週の水曜 のみ,EURJPY,月/火が JP 祝日の週の水曜 20-00 S,8,13,0.615,9.65,17,0.29052734375,8,14,1.96,0,,False
週初JP祝日週の水曜 のみ,GBPJPY,月/火が JP 祝日の週の水曜 20-00 S,9,16,0.562,8.09,20,0.4018096923828125,9,14,2.84,0,,False
週初JP祝日週の水曜 のみ,CADJPY,月/火が JP 祝日の週の水曜 20-00 S,9,17,0.529,7.74,21,0.5,6,9,3.62,19,0.684,False
