symbol,shot_utc,hold_h,pre_rate,pre_mean,is_plus,is_n,is_rate,is_mean,is_sharpe,is_p,oos_plus,oos_n,oos_mean,oos_sharpe
GBPJPY,4,24,0.536,1.4,27,39,0.692,15.5,1.86,0.011851351235236507,17,20,15.3,3.11
GBPJPY,4,12,0.493,-2.1,28,39,0.718,11.2,1.59,0.004737652139738202,16,20,11.2,2.61
GBPJPY,4,20,0.493,0.6,29,39,0.744,15.2,2.02,0.0016889239559532143,19,20,15.2,3.11
GBPJPY,6,24,0.536,1.5,24,39,0.615,15.2,1.77,0.09979543345980346,14,20,9.9,1.98
GBPJPY,6,12,0.464,-0.8,26,39,0.667,11.5,1.79,0.026625957048963755,18,20,10.9,2.54
GBPJPY,6,20,0.507,0.9,25,39,0.641,13.2,1.82,0.054064510703028645,18,20,13.7,2.96
GBPJPY,8,24,0.493,0.5,23,39,0.59,12.7,1.55,0.1683918175949657,14,20,8.5,1.58
GBPJPY,8,12,0.536,-0.2,26,39,0.667,9.7,1.71,0.026625957048963755,15,20,11.3,2.9
GBPJPY,8,20,0.565,1.2,25,39,0.641,11.9,1.71,0.054064510703028645,16,20,10.9,2.45
GBPJPY,10,24,0.507,3.4,25,39,0.641,10.7,1.18,0.054064510703028645,12,20,8.9,1.56
GBPJPY,10,12,0.449,0.2,25,39,0.641,5.8,1.16,0.054064510703028645,12,20,5.0,1.31
GBPJPY,10,20,0.536,3.3,27,39,0.692,11.0,1.45,0.011851351235236507,11,20,6.1,1.24
EURJPY,4,24,0.594,3.9,27,39,0.692,11.1,1.46,0.011851351235236507,13,20,6.8,1.41
EURJPY,4,12,0.493,0.6,27,39,0.692,9.2,1.43,0.011851351235236507,14,20,3.7,0.91
EURJPY,4,20,0.507,3.0,28,39,0.718,11.4,1.69,0.004737652139738202,13,20,7.0,1.51
EURJPY,6,24,0.551,3.4,26,39,0.667,12.8,1.6,0.026625957048963755,10,20,1.1,0.22
EURJPY,6,12,0.478,1.3,30,39,0.769,10.6,1.75,0.00053250981727615,11,20,1.3,0.32
EURJPY,6,20,0.522,2.8,28,39,0.718,10.3,1.52,0.004737652139738202,12,20,4.8,1.09
EURJPY,8,24,0.551,4.3,25,39,0.641,10.6,1.39,0.054064510703028645,8,20,3.3,0.65
EURJPY,8,12,0.493,2.2,28,39,0.718,8.0,1.58,0.004737652139738202,11,20,3.9,1.01
EURJPY,8,20,0.551,3.0,26,39,0.667,8.9,1.39,0.026625957048963755,11,20,3.7,0.84
EURJPY,10,24,0.609,4.0,22,39,0.564,6.2,0.78,0.26119869024842046,10,20,4.8,0.81
EURJPY,10,12,0.522,0.7,23,39,0.59,3.6,0.87,0.1683918175949657,11,20,1.2,0.33
EURJPY,10,20,0.58,3.2,26,39,0.667,7.5,1.13,0.026625957048963755,7,20,0.4,0.08
AUDJPY,4,24,0.507,6.4,27,39,0.692,10.2,1.09,0.011851351235236507,12,20,11.7,1.66
AUDJPY,4,12,0.522,1.9,30,39,0.769,9.8,1.26,0.00053250981727615,13,20,8.5,1.8
AUDJPY,4,20,0.507,3.5,27,39,0.692,11.3,1.43,0.011851351235236507,16,20,12.8,2.1
AUDJPY,6,24,0.536,6.8,24,39,0.615,11.6,1.09,0.09979543345980346,10,20,5.0,0.63
AUDJPY,6,12,0.522,1.8,28,39,0.718,11.3,1.54,0.004737652139738202,12,20,7.7,1.44
AUDJPY,6,20,0.478,3.9,25,39,0.641,12.0,1.41,0.054064510703028645,14,20,8.5,1.27
AUDJPY,8,24,0.551,4.2,23,39,0.59,5.3,0.53,0.1683918175949657,13,20,6.1,0.77
AUDJPY,8,12,0.522,1.5,26,39,0.667,7.5,1.24,0.026625957048963755,14,20,8.1,1.73
AUDJPY,8,20,0.536,4.4,23,39,0.59,7.0,0.86,0.1683918175949657,12,20,6.0,0.9
AUDJPY,10,24,0.493,2.5,23,39,0.59,4.0,0.39,0.1683918175949657,13,20,5.9,0.78
AUDJPY,10,12,0.464,-1.0,23,39,0.59,4.4,0.78,0.1683918175949657,7,20,0.5,0.1
AUDJPY,10,20,0.594,4.8,24,39,0.615,6.8,0.7,0.09979543345980346,10,20,0.9,0.13
USDJPY,4,24,0.493,0.5,28,39,0.718,10.1,1.4,0.004737652139738202,11,20,3.5,0.59
USDJPY,4,12,0.507,0.0,29,39,0.744,9.1,1.62,0.0016889239559532143,12,20,0.5,0.09
USDJPY,4,20,0.493,0.8,27,39,0.692,10.3,1.71,0.011851351235236507,12,20,2.6,0.44
USDJPY,6,24,0.493,0.8,26,39,0.667,12.1,1.6,0.026625957048963755,12,20,1.5,0.23
USDJPY,6,12,0.551,-0.3,28,39,0.718,10.0,1.87,0.004737652139738202,12,20,2.0,0.35
USDJPY,6,20,0.493,0.7,27,39,0.692,9.7,1.56,0.011851351235236507,12,20,4.9,0.85
USDJPY,8,24,0.522,0.3,25,39,0.641,8.3,1.17,0.054064510703028645,11,20,1.2,0.19
USDJPY,8,12,0.478,-0.5,28,39,0.718,8.6,1.77,0.004737652139738202,12,20,0.4,0.08
USDJPY,8,20,0.478,-1.3,25,39,0.641,8.4,1.31,0.054064510703028645,10,20,0.7,0.14
USDJPY,10,24,0.507,1.2,21,39,0.538,6.6,0.88,0.37462931238042074,13,20,1.1,0.17
USDJPY,10,12,0.464,-0.8,25,39,0.641,6.6,1.48,0.054064510703028645,9,20,-2.3,-0.5
USDJPY,10,20,0.507,-0.2,25,39,0.641,9.0,1.31,0.054064510703028645,10,20,-0.7,-0.13
CADJPY,4,24,0.493,1.0,25,39,0.641,11.1,1.38,0.054064510703028645,6,12,2.6,0.34
CADJPY,4,12,0.493,-1.8,26,39,0.667,10.0,1.61,0.026625957048963755,7,12,2.3,0.38
CADJPY,4,20,0.565,-0.7,28,39,0.718,11.0,1.6,0.004737652139738202,7,12,3.5,0.45
CADJPY,6,24,0.493,1.5,26,39,0.667,12.4,1.45,0.026625957048963755,6,12,-2.5,-0.31
CADJPY,6,12,0.507,-0.9,28,39,0.718,11.1,1.8,0.004737652139738202,6,12,1.9,0.29
CADJPY,6,20,0.449,0.2,25,39,0.641,9.9,1.36,0.054064510703028645,5,12,2.7,0.37
CADJPY,8,24,0.478,0.3,25,39,0.641,6.9,0.84,0.054064510703028645,6,12,-3.6,-0.46
CADJPY,8,12,0.522,-1.0,29,39,0.744,8.2,1.5,0.0016889239559532143,7,12,2.3,0.41
CADJPY,8,20,0.478,-0.1,25,39,0.641,8.3,1.15,0.054064510703028645,6,12,-0.3,-0.04
CADJPY,10,24,0.522,0.8,20,39,0.513,3.9,0.46,0.5,6,12,1.6,0.19
CADJPY,10,12,0.464,-3.1,25,39,0.641,4.3,0.82,0.054064510703028645,3,12,-1.5,-0.24
CADJPY,10,20,0.551,1.3,26,39,0.667,8.4,1.06,0.026625957048963755,4,12,-2.2,-0.28
CHFJPY,4,24,0.536,0.3,27,39,0.692,9.3,1.35,0.011851351235236507,8,12,5.7,1.14
CHFJPY,4,12,0.507,-0.4,26,39,0.667,7.7,1.25,0.026625957048963755,7,12,2.8,0.64
CHFJPY,4,20,0.522,0.5,27,39,0.692,9.1,1.43,0.011851351235236507,9,12,4.3,0.96
CHFJPY,6,24,0.507,0.5,30,39,0.769,10.8,1.56,0.00053250981727615,5,12,1.7,0.34
CHFJPY,6,12,0.522,0.7,26,39,0.667,8.4,1.48,0.026625957048963755,7,12,2.9,0.66
CHFJPY,6,20,0.493,0.8,26,39,0.667,8.9,1.48,0.026625957048963755,9,12,4.5,1.03
CHFJPY,8,24,0.464,1.4,24,39,0.615,7.4,1.07,0.09979543345980346,6,12,2.3,0.42
CHFJPY,8,12,0.522,-0.0,23,39,0.59,6.0,1.23,0.1683918175949657,7,12,5.7,1.42
CHFJPY,8,20,0.449,-0.9,27,39,0.692,7.0,1.19,0.011851351235236507,7,12,4.7,1.02
CHFJPY,10,24,0.565,2.4,20,39,0.513,2.4,0.32,0.5,6,12,2.7,0.44
CHFJPY,10,12,0.435,-1.7,21,39,0.538,-0.9,-0.21,0.37462931238042074,4,12,-4.3,-1.14
CHFJPY,10,20,0.551,-0.1,26,39,0.667,5.1,0.84,0.026625957048963755,6,12,1.3,0.27
NZDJPY,4,24,0.536,4.4,21,39,0.538,7.2,0.83,0.37462931238042074,6,12,7.0,0.91
NZDJPY,4,12,0.478,2.7,27,39,0.692,5.5,0.8,0.011851351235236507,7,12,5.8,1.14
