event,symbol,side,is_plus,is_n,is_rate,is_mean_bps,p,oos_plus,oos_n,oos_mean_bps,pre_n,pre_rate,passed
祝日翌営業日,US500,S,19,26,0.731,25.1,0.014479637145996094,7,13,-1.1,40,0.475,False
月末最終営業日,EURJPY,S,24,39,0.615,10.4,0.09979543345980346,7,18,-1.7,69,0.42,False
祝日翌営業日,NAS100,S,16,26,0.615,23.0,0.16346979141235352,8,13,12.6,40,0.375,False
第3金曜,EURJPY,L,23,39,0.59,5.2,0.1683918175949657,9,18,6.0,69,0.377,False
第3金曜,AUDJPY,L,23,39,0.59,7.8,0.1683918175949657,7,18,-4.3,69,0.362,False
月末最終営業日,GBPUSD,S,23,39,0.59,4.7,0.1683918175949657,10,18,13.2,69,0.406,False
第3金曜,NAS100,S,22,38,0.579,11.4,0.2088460954182665,5,17,-27.5,68,0.515,False
第3金曜,CADJPY,L,22,39,0.564,1.7,0.26119869024842046,10,18,9.6,69,0.304,False
月末最終営業日,AUDUSD,S,22,39,0.564,-1.8,0.26119869024842046,8,18,-1.9,69,0.551,False
月末最終営業日,NAS100,L,22,39,0.564,14.7,0.26119869024842046,8,18,-2.2,69,0.609,False
月末最終営業日,US500,L,22,39,0.564,4.6,0.26119869024842046,9,18,10.9,69,0.551,False
祝日前営業日,NAS100,S,15,26,0.577,-10.5,0.2785985469818115,5,13,-6.2,40,0.45,False
第3金曜,NZDJPY,L,21,39,0.538,14.1,0.37462931238042074,7,18,-3.8,69,0.42,False
第3金曜,EURUSD,L,21,39,0.538,0.1,0.37462931238042074,4,18,-11.6,69,0.464,False
月末最終営業日,CHFJPY,S,21,39,0.538,9.2,0.37462931238042074,6,18,-11.3,69,0.449,False
月末最終営業日,EURUSD,S,21,39,0.538,9.6,0.37462931238042074,10,18,9.0,69,0.507,False
祝日前営業日,US500,L,14,26,0.538,9.2,0.42250949144363403,10,13,1.4,40,0.5,False
祝日前営業日,CADJPY,L,1,1,1.0,25.1,0.5,1,1,7.4,0,,False
祝日前営業日,CHFJPY,S,1,1,1.0,2.9,0.5,0,1,-9.8,0,,False
月末最終営業日,CADJPY,L,20,39,0.513,-0.5,0.5,11,18,3.2,69,0.565,False
月末最終営業日,NZDJPY,L,20,39,0.513,-4.0,0.5,8,18,2.9,69,0.507,False
祝日前営業日,EURUSD,S,1,1,1.0,50.3,0.5,1,1,1.3,0,,False
第3金曜,CHFJPY,L,20,39,0.513,2.8,0.5,8,18,8.0,69,0.42,False
月末最終営業日,USDJPY,S,20,39,0.513,-0.4,0.5,5,18,-13.2,69,0.377,False
祝日前営業日,USDJPY,L,1,1,1.0,44.8,0.5,1,1,10.7,0,,False
月末最終営業日,AUDJPY,S,20,39,0.513,-0.3,0.5,5,18,-12.8,69,0.507,False
第3金曜,USDJPY,L,20,39,0.513,1.7,0.5,10,18,15.7,69,0.478,False
祝日前営業日,GBPJPY,L,1,1,1.0,19.6,0.5,1,1,13.2,0,,False
第3金曜,GBPJPY,S,20,39,0.513,-7.7,0.5,11,18,-0.5,69,0.638,False
祝日前営業日,EURJPY,S,1,1,1.0,6.7,0.5,0,1,-12.3,0,,False
祝日前営業日,AUDJPY,L,1,1,1.0,1.4,0.5,1,1,1.4,0,,False
月末最終営業日,GBPJPY,S,20,39,0.513,6.4,0.5,9,18,2.4,69,0.348,False
祝日前営業日,GBPUSD,S,1,1,1.0,20.7,0.5,0,1,-1.6,0,,False
祝日前営業日,AUDUSD,S,1,1,1.0,33.1,0.5,1,1,8.7,0,,False
第3金曜,AUDUSD,L,20,39,0.513,3.3,0.5,6,18,-22.4,69,0.362,False
