hour_utc,weekday,n,med_pips,p90_pips,p99_pips,period
0,0,41276,0.7,1.4,2.4,2026-08-02..2026-08-31
0,1,21458,0.6,0.8,1.2,2026-08-02..2026-08-31
0,2,18233,0.6,0.7,0.9,2026-08-02..2026-08-31
0,3,23641,0.6,0.7,0.9,2026-08-02..2026-08-31
0,4,17001,0.6,0.8,0.9,2026-08-02..2026-08-31
1,0,34066,0.6,1.3,2.4,2026-08-02..2026-08-31
1,1,18029,0.6,0.8,0.9,2026-08-02..2026-08-31
1,2,19682,0.6,0.8,1.1,2026-08-02..2026-08-31
1,3,22228,0.6,0.8,1.8,2026-08-02..2026-08-31
1,4,18051,0.6,0.7,0.9,2026-08-02..2026-08-31
2,0,19066,0.6,0.9,1.0,2026-08-02..2026-08-31
2,1,14747,0.6,0.8,0.9,2026-08-02..2026-08-31
2,2,19620,0.6,0.8,0.9,2026-08-02..2026-08-31
2,3,14782,0.6,0.7,1.1,2026-08-02..2026-08-31
2,4,11321,0.5,0.7,0.9,2026-08-02..2026-08-31
3,0,13489,0.5,0.8,0.9,2026-08-02..2026-08-31
3,1,11428,0.6,0.8,0.9,2026-08-02..2026-08-31
3,2,11843,0.5,0.7,0.9,2026-08-02..2026-08-31
3,3,11344,0.6,0.6,0.8,2026-08-02..2026-08-31
3,4,8812,0.5,0.7,0.8,2026-08-02..2026-08-31
4,0,13354,0.5,0.7,0.9,2026-08-02..2026-08-31
4,1,13145,0.6,0.8,1.4,2026-08-02..2026-08-31
4,2,10083,0.5,0.7,0.8,2026-08-02..2026-08-31
4,3,9842,0.6,0.7,1.0,2026-08-02..2026-08-31
4,4,7396,0.6,0.7,0.8,2026-08-02..2026-08-31
5,0,15641,0.5,0.8,0.9,2026-08-02..2026-08-31
5,1,12966,0.6,0.7,0.9,2026-08-02..2026-08-31
5,2,11163,0.5,0.7,0.9,2026-08-02..2026-08-31
5,3,12859,0.6,0.7,0.9,2026-08-02..2026-08-31
5,4,10559,0.6,0.7,0.9,2026-08-02..2026-08-31
6,0,22180,0.5,0.7,0.9,2026-08-02..2026-08-31
6,1,17046,0.5,0.7,0.8,2026-08-02..2026-08-31
6,2,16911,0.5,0.7,0.8,2026-08-02..2026-08-31
6,3,14766,0.5,0.7,0.8,2026-08-02..2026-08-31
6,4,14482,0.5,0.7,0.8,2026-08-02..2026-08-31
7,0,28519,0.5,0.7,0.9,2026-08-02..2026-08-31
7,1,16389,0.5,0.7,0.8,2026-08-02..2026-08-31
7,2,16843,0.5,0.6,0.8,2026-08-02..2026-08-31
7,3,16139,0.5,0.6,0.7,2026-08-02..2026-08-31
7,4,14840,0.5,0.6,0.8,2026-08-02..2026-08-31
8,0,23854,0.5,0.7,0.8,2026-08-02..2026-08-31
8,1,15087,0.5,0.7,0.8,2026-08-02..2026-08-31
8,2,15184,0.5,0.6,0.7,2026-08-02..2026-08-31
8,3,14704,0.5,0.6,0.8,2026-08-02..2026-08-31
8,4,15678,0.5,0.6,0.8,2026-08-02..2026-08-31
9,0,16998,0.5,0.6,0.8,2026-08-02..2026-08-31
9,1,14822,0.5,0.6,0.8,2026-08-02..2026-08-31
9,2,17176,0.5,0.7,1.0,2026-08-02..2026-08-31
9,3,14682,0.5,0.6,0.8,2026-08-02..2026-08-31
9,4,14180,0.5,0.7,0.8,2026-08-02..2026-08-31
10,0,18372,0.5,0.7,0.8,2026-08-02..2026-08-31
10,1,13035,0.5,0.7,0.8,2026-08-02..2026-08-31
10,2,12741,0.5,0.7,0.9,2026-08-02..2026-08-31
10,3,11983,0.5,0.6,0.8,2026-08-02..2026-08-31
10,4,11434,0.5,0.6,0.8,2026-08-02..2026-08-31
11,0,19904,0.5,0.7,0.8,2026-08-02..2026-08-31
11,1,17998,0.6,0.7,0.9,2026-08-02..2026-08-31
11,2,14088,0.5,0.7,0.8,2026-08-02..2026-08-31
11,3,14687,0.5,0.7,0.8,2026-08-02..2026-08-31
11,4,14963,0.5,0.6,0.8,2026-08-02..2026-08-31
12,0,25875,0.5,0.7,1.0,2026-08-02..2026-08-31
12,1,18701,0.5,0.7,0.9,2026-08-02..2026-08-31
12,2,37637,0.6,1.0,2.1,2026-08-02..2026-08-31
12,3,21646,0.5,0.7,1.9,2026-08-02..2026-08-31
12,4,33030,0.6,1.2,2.1,2026-08-02..2026-08-31
13,0,34666,0.5,0.7,0.9,2026-08-02..2026-08-31
13,1,24904,0.5,0.7,0.8,2026-08-02..2026-08-31
13,2,41455,0.5,0.7,0.9,2026-08-02..2026-08-31
13,3,26703,0.5,0.6,0.7,2026-08-02..2026-08-31
13,4,31156,0.5,0.7,0.9,2026-08-02..2026-08-31
14,0,35094,0.5,0.7,0.9,2026-08-02..2026-08-31
14,1,24151,0.5,0.7,0.9,2026-08-02..2026-08-31
14,2,37235,0.5,0.7,0.9,2026-08-02..2026-08-31
14,3,30177,0.5,0.6,0.8,2026-08-02..2026-08-31
14,4,43176,0.5,0.7,1.1,2026-08-02..2026-08-31
15,0,26015,0.5,0.7,0.8,2026-08-02..2026-08-31
15,1,20408,0.5,0.7,0.8,2026-08-02..2026-08-31
15,2,23129,0.5,0.7,0.8,2026-08-02..2026-08-31
15,3,27013,0.5,0.7,0.8,2026-08-02..2026-08-31
15,4,30039,0.5,0.6,0.8,2026-08-02..2026-08-31
16,0,16769,0.5,0.7,0.8,2026-08-02..2026-08-31
16,1,11902,0.5,0.6,0.8,2026-08-02..2026-08-31
16,2,15845,0.5,0.6,0.7,2026-08-02..2026-08-31
16,3,16652,0.5,0.6,0.7,2026-08-02..2026-08-31
16,4,22258,0.5,0.7,0.8,2026-08-02..2026-08-31
17,0,14952,0.5,0.7,0.8,2026-08-02..2026-08-31
17,1,10223,0.5,0.6,0.8,2026-08-02..2026-08-31
17,2,12819,0.5,0.6,0.8,2026-08-02..2026-08-31
17,3,10934,0.5,0.6,0.7,2026-08-02..2026-08-31
17,4,11731,0.5,0.7,0.8,2026-08-02..2026-08-31
18,0,17290,0.5,0.7,0.8,2026-08-02..2026-08-31
18,1,10902,0.5,0.7,0.8,2026-08-02..2026-08-31
18,2,12690,0.5,0.7,0.8,2026-08-02..2026-08-31
18,3,10280,0.5,0.6,0.7,2026-08-02..2026-08-31
18,4,9568,0.5,0.7,0.8,2026-08-02..2026-08-31
19,0,12475,0.5,0.7,0.8,2026-08-02..2026-08-31
19,1,10797,0.5,0.6,0.8,2026-08-02..2026-08-31
19,2,13201,0.5,0.6,0.7,2026-08-02..2026-08-31
19,3,10899,0.5,0.6,0.7,2026-08-02..2026-08-31
19,4,11769,0.6,0.7,0.8,2026-08-02..2026-08-31
20,0,11652,0.7,1.1,1.9,2026-08-02..2026-08-31
20,1,9073,0.6,1.0,1.9,2026-08-02..2026-08-31
20,2,8524,0.6,1.0,1.6,2026-08-02..2026-08-31
20,3,6295,0.5,1.0,1.6,2026-08-02..2026-08-31
20,4,20744,1.0,1.8,3.3,2026-08-02..2026-08-31
21,0,3725,7.3,11.0,16.68,2026-08-02..2026-08-31
21,1,3778,6.0,15.0,20.0,2026-08-02..2026-08-31
21,2,3036,8.1,12.3,20.8,2026-08-02..2026-08-31
21,3,5429,6.0,8.5,13.7,2026-08-02..2026-08-31
21,6,4791,15.7,24.7,32.4,2026-08-02..2026-08-31
22,0,6532,1.0,2.1,3.6,2026-08-02..2026-08-31
22,1,5003,1.1,2.0,4.1,2026-08-02..2026-08-31
22,2,4960,1.0,2.0,3.2,2026-08-02..2026-08-31
22,3,3904,1.0,1.9,4.3,2026-08-02..2026-08-31
22,6,13324,1.0,2.7,4.4,2026-08-02..2026-08-31
23,0,8037,0.6,0.9,1.1,2026-08-02..2026-08-31
23,1,5759,0.6,0.9,1.2,2026-08-02..2026-08-31
23,2,7517,0.6,0.9,1.1,2026-08-02..2026-08-31
23,3,4668,0.6,0.9,1.0,2026-08-02..2026-08-31
23,6,14208,0.8,1.1,1.4,2026-08-02..2026-08-31
