hour_utc,weekday,n,med_pips,p90_pips,p99_pips,period
0,0,64612,0.9,2.0,2.8,2026-08-02..2026-08-31
0,1,38282,0.9,1.2,1.6,2026-08-02..2026-08-31
0,2,33697,0.9,1.1,1.3,2026-08-02..2026-08-31
0,3,37386,0.9,1.1,1.3,2026-08-02..2026-08-31
0,4,32501,0.8,1.1,1.2,2026-08-02..2026-08-31
1,0,59725,0.9,1.8,2.6,2026-08-02..2026-08-31
1,1,28932,0.9,1.2,1.4,2026-08-02..2026-08-31
1,2,33084,0.9,1.1,1.4,2026-08-02..2026-08-31
1,3,33263,0.9,1.1,1.3,2026-08-02..2026-08-31
1,4,29886,0.8,1.1,1.3,2026-08-02..2026-08-31
2,0,34230,0.9,1.2,1.5,2026-08-02..2026-08-31
2,1,25820,0.9,1.1,1.3,2026-08-02..2026-08-31
2,2,34766,0.9,1.1,1.4,2026-08-02..2026-08-31
2,3,25388,0.8,1.1,1.3,2026-08-02..2026-08-31
2,4,20593,0.8,1.0,1.2,2026-08-02..2026-08-31
3,0,25192,0.8,1.1,1.4,2026-08-02..2026-08-31
3,1,17729,0.9,1.2,1.4,2026-08-02..2026-08-31
3,2,23841,0.9,1.1,1.3,2026-08-02..2026-08-31
3,3,18812,0.8,1.0,1.2,2026-08-02..2026-08-31
3,4,16327,0.8,1.0,1.2,2026-08-02..2026-08-31
4,0,28434,0.8,1.1,1.3,2026-08-02..2026-08-31
4,1,19293,0.9,1.1,1.3,2026-08-02..2026-08-31
4,2,21572,0.8,1.1,1.4,2026-08-02..2026-08-31
4,3,18333,0.8,1.0,1.3,2026-08-02..2026-08-31
4,4,15777,0.8,1.0,1.2,2026-08-02..2026-08-31
5,0,29809,0.8,1.1,1.3,2026-08-02..2026-08-31
5,1,21591,0.9,1.1,1.3,2026-08-02..2026-08-31
5,2,23187,0.9,1.1,1.3,2026-08-02..2026-08-31
5,3,23285,0.8,1.0,1.2,2026-08-02..2026-08-31
5,4,20365,0.8,1.1,1.3,2026-08-02..2026-08-31
6,0,38499,0.8,1.0,1.3,2026-08-02..2026-08-31
6,1,29825,0.8,1.0,1.2,2026-08-02..2026-08-31
6,2,26753,0.8,1.0,1.2,2026-08-02..2026-08-31
6,3,24199,0.8,1.0,1.2,2026-08-02..2026-08-31
6,4,21213,0.8,1.0,1.2,2026-08-02..2026-08-31
7,0,53658,0.8,1.0,1.3,2026-08-02..2026-08-31
7,1,27689,0.8,1.0,1.2,2026-08-02..2026-08-31
7,2,25414,0.8,0.9,1.2,2026-08-02..2026-08-31
7,3,24132,0.7,0.9,1.1,2026-08-02..2026-08-31
7,4,24167,0.8,1.0,1.2,2026-08-02..2026-08-31
8,0,43912,0.8,1.0,1.2,2026-08-02..2026-08-31
8,1,24879,0.8,1.0,1.2,2026-08-02..2026-08-31
8,2,25317,0.8,1.0,1.1,2026-08-02..2026-08-31
8,3,23111,0.7,0.9,1.1,2026-08-02..2026-08-31
8,4,24360,0.8,1.0,1.2,2026-08-02..2026-08-31
9,0,31056,0.8,1.0,1.2,2026-08-02..2026-08-31
9,1,23055,0.8,1.0,1.2,2026-08-02..2026-08-31
9,2,27463,0.8,1.0,1.4,2026-08-02..2026-08-31
9,3,23808,0.7,0.9,1.1,2026-08-02..2026-08-31
9,4,23458,0.8,1.0,1.2,2026-08-02..2026-08-31
10,0,35774,0.7,1.0,1.2,2026-08-02..2026-08-31
10,1,20287,0.8,1.0,1.3,2026-08-02..2026-08-31
10,2,19909,0.8,1.0,1.2,2026-08-02..2026-08-31
10,3,20471,0.7,0.9,1.1,2026-08-02..2026-08-31
10,4,20245,0.7,0.9,1.2,2026-08-02..2026-08-31
11,0,33027,0.8,1.0,1.2,2026-08-02..2026-08-31
11,1,26375,0.8,1.1,1.3,2026-08-02..2026-08-31
11,2,24278,0.8,1.0,1.2,2026-08-02..2026-08-31
11,3,25889,0.7,1.0,1.2,2026-08-02..2026-08-31
11,4,22276,0.8,1.0,1.2,2026-08-02..2026-08-31
12,0,44915,0.8,1.0,1.4,2026-08-02..2026-08-31
12,1,28806,0.8,1.0,1.2,2026-08-02..2026-08-31
12,2,51159,0.9,1.2,2.4,2026-08-02..2026-08-31
12,3,30907,0.8,1.0,1.9,2026-08-02..2026-08-31
12,4,47370,0.8,1.4,2.7,2026-08-02..2026-08-31
13,0,53816,0.8,1.0,1.3,2026-08-02..2026-08-31
13,1,36189,0.8,1.0,1.3,2026-08-02..2026-08-31
13,2,54423,0.8,1.0,1.3,2026-08-02..2026-08-31
13,3,34324,0.7,0.9,1.1,2026-08-02..2026-08-31
13,4,43018,0.7,1.0,1.2,2026-08-02..2026-08-31
14,0,54374,0.8,1.0,1.3,2026-08-02..2026-08-31
14,1,36874,0.8,1.0,1.3,2026-08-02..2026-08-31
