hour_utc,weekday,n,med_pips,p90_pips,p99_pips,period
0,0,79226,1.8,3.1,4.5,2026-08-02..2026-08-31
0,1,45091,1.8,2.3,2.7,2026-08-02..2026-08-31
0,2,41183,1.7,2.1,2.3,2026-08-02..2026-08-31
0,3,48355,1.8,2.1,2.3,2026-08-02..2026-08-31
0,4,37876,1.8,2.0,2.2,2026-08-02..2026-08-31
1,0,71101,1.8,2.8,3.8,2026-08-02..2026-08-31
1,1,34282,1.7,2.0,2.3,2026-08-02..2026-08-31
1,2,34098,1.7,2.0,2.3,2026-08-02..2026-08-31
1,3,39790,1.6,1.9,2.1,2026-08-02..2026-08-31
1,4,38820,1.7,1.9,2.1,2026-08-02..2026-08-31
2,0,40589,1.7,2.2,2.6,2026-08-02..2026-08-31
2,1,30776,1.7,2.0,2.3,2026-08-02..2026-08-31
2,2,41707,1.7,2.0,2.3,2026-08-02..2026-08-31
2,3,28978,1.6,1.9,2.0,2026-08-02..2026-08-31
2,4,23970,1.7,1.9,2.0,2026-08-02..2026-08-31
3,0,38378,1.7,2.1,2.4,2026-08-02..2026-08-31
3,1,28402,1.7,1.9,2.2,2026-08-02..2026-08-31
3,2,27520,1.6,1.9,2.1,2026-08-02..2026-08-31
3,3,23176,1.7,1.9,2.0,2026-08-02..2026-08-31
3,4,18688,1.6,1.8,2.0,2026-08-02..2026-08-31
4,0,40532,1.6,2.1,2.4,2026-08-02..2026-08-31
4,1,27348,1.6,1.9,2.1,2026-08-02..2026-08-31
4,2,27761,1.6,1.9,2.0,2026-08-02..2026-08-31
4,3,22774,1.7,1.9,2.4,2026-08-02..2026-08-31
4,4,17296,1.7,1.9,2.0,2026-08-02..2026-08-31
5,0,47815,1.7,2.0,2.4,2026-08-02..2026-08-31
5,1,26459,1.6,1.9,2.1,2026-08-02..2026-08-31
5,2,26892,1.6,1.9,2.2,2026-08-02..2026-08-31
5,3,33142,1.6,1.9,2.2,2026-08-02..2026-08-31
5,4,30451,1.6,1.9,2.1,2026-08-02..2026-08-31
6,0,57552,1.5,1.8,2.1,2026-08-02..2026-08-31
6,1,35806,1.5,1.8,2.1,2026-08-02..2026-08-31
6,2,38011,1.4,1.7,2.0,2026-08-02..2026-08-31
6,3,41697,1.5,1.7,2.0,2026-08-02..2026-08-31
6,4,39171,1.5,1.7,1.9,2026-08-02..2026-08-31
7,0,55935,1.5,1.9,2.1,2026-08-02..2026-08-31
7,1,34414,1.5,1.7,2.0,2026-08-02..2026-08-31
7,2,33102,1.4,1.7,1.9,2026-08-02..2026-08-31
7,3,36382,1.4,1.6,1.8,2026-08-02..2026-08-31
7,4,34598,1.4,1.6,1.9,2026-08-02..2026-08-31
8,0,36009,1.5,1.9,2.1,2026-08-02..2026-08-31
8,1,24051,1.5,1.8,2.0,2026-08-02..2026-08-31
8,2,21741,1.5,1.8,2.1,2026-08-02..2026-08-31
8,3,24245,1.4,1.7,1.9,2026-08-02..2026-08-31
8,4,24993,1.5,1.7,2.4,2026-08-02..2026-08-31
9,0,27688,1.5,1.8,2.1,2026-08-02..2026-08-31
9,1,20744,1.5,1.8,2.0,2026-08-02..2026-08-31
9,2,24523,1.5,1.8,2.2,2026-08-02..2026-08-31
9,3,21210,1.4,1.7,2.0,2026-08-02..2026-08-31
9,4,23593,1.5,1.8,2.0,2026-08-02..2026-08-31
10,0,28302,1.5,1.8,2.1,2026-08-02..2026-08-31
10,1,21617,1.5,1.8,2.1,2026-08-02..2026-08-31
10,2,20347,1.5,1.8,2.1,2026-08-02..2026-08-31
10,3,21880,1.5,1.8,2.0,2026-08-02..2026-08-31
10,4,20864,1.4,1.7,1.9,2026-08-02..2026-08-31
11,0,39512,1.4,1.7,2.0,2026-08-02..2026-08-31
11,1,34945,1.5,1.8,2.1,2026-08-02..2026-08-31
11,2,32618,1.4,1.7,1.9,2026-08-02..2026-08-31
11,3,33598,1.4,1.7,1.9,2026-08-02..2026-08-31
11,4,28112,1.4,1.7,2.0,2026-08-02..2026-08-31
12,0,53388,1.5,1.8,2.3,2026-08-02..2026-08-31
12,1,38341,1.4,1.8,2.1,2026-08-02..2026-08-31
12,2,65720,1.5,2.2,3.4,2026-08-02..2026-08-31
12,3,40772,1.4,1.7,3.0,2026-08-02..2026-08-31
12,4,59165,1.5,2.2,4.1,2026-08-02..2026-08-31
13,0,65954,1.4,1.8,2.2,2026-08-02..2026-08-31
13,1,44261,1.4,1.8,2.0,2026-08-02..2026-08-31
13,2,72024,1.4,1.8,2.2,2026-08-02..2026-08-31
13,3,45192,1.3,1.6,1.8,2026-08-02..2026-08-31
13,4,55766,1.4,1.6,2.0,2026-08-02..2026-08-31
14,0,67291,1.4,1.8,2.2,2026-08-02..2026-08-31
14,1,48613,1.4,1.7,2.0,2026-08-02..2026-08-31
14,2,66835,1.4,1.7,2.0,2026-08-02..2026-08-31
14,3,59665,1.4,1.6,1.9,2026-08-02..2026-08-31
14,4,73420,1.4,1.8,2.3,2026-08-02..2026-08-31
15,0,59233,1.4,1.7,1.9,2026-08-02..2026-08-31
15,1,43617,1.4,1.7,1.9,2026-08-02..2026-08-31
15,2,54475,1.4,1.6,1.9,2026-08-02..2026-08-31
15,3,53197,1.4,1.7,2.0,2026-08-02..2026-08-31
15,4,61605,1.4,1.6,1.9,2026-08-02..2026-08-31
16,0,29683,1.5,1.8,2.3,2026-08-02..2026-08-31
16,1,21665,1.5,1.7,2.0,2026-08-02..2026-08-31
16,2,28634,1.5,1.7,1.9,2026-08-02..2026-08-31
16,3,29218,1.4,1.7,1.9,2026-08-02..2026-08-31
16,4,48895,1.4,1.6,1.8,2026-08-02..2026-08-31
17,0,23802,1.5,1.7,2.0,2026-08-02..2026-08-31
17,1,15883,1.5,1.8,2.1,2026-08-02..2026-08-31
17,2,20481,1.5,1.7,2.0,2026-08-02..2026-08-31
17,3,17193,1.4,1.6,1.9,2026-08-02..2026-08-31
17,4,24340,1.5,1.7,1.9,2026-08-02..2026-08-31
18,0,27723,1.5,1.8,2.2,2026-08-02..2026-08-31
18,1,16144,1.5,1.8,2.0,2026-08-02..2026-08-31
18,2,20089,1.5,1.8,2.0,2026-08-02..2026-08-31
18,3,15925,1.4,1.6,1.9,2026-08-02..2026-08-31
18,4,26225,1.5,1.7,1.9,2026-08-02..2026-08-31
19,0,20947,1.5,1.7,2.0,2026-08-02..2026-08-31
19,1,16782,1.4,1.7,1.9,2026-08-02..2026-08-31
19,2,22822,1.5,1.7,1.9,2026-08-02..2026-08-31
19,3,15678,1.4,1.6,1.9,2026-08-02..2026-08-31
19,4,29870,1.5,1.8,2.0,2026-08-02..2026-08-31
20,0,19192,1.7,2.3,3.5,2026-08-02..2026-08-31
20,1,23925,1.6,2.0,2.8,2026-08-02..2026-08-31
20,2,18814,1.6,2.0,2.6,2026-08-02..2026-08-31
20,3,13171,1.6,2.1,2.5,2026-08-02..2026-08-31
20,4,36039,1.9,2.9,4.4,2026-08-02..2026-08-31
21,0,6295,14.6,22.7,34.73,2026-08-02..2026-08-31
21,1,4758,10.5,17.8,23.7,2026-08-02..2026-08-31
21,2,4329,12.5,16.72,25.04,2026-08-02..2026-08-31
21,3,6198,12.8,17.0,27.8,2026-08-02..2026-08-31
21,6,8717,22.7,32.7,44.4,2026-08-02..2026-08-31
22,0,13586,2.5,4.0,7.52,2026-08-02..2026-08-31
22,1,10258,2.6,4.5,6.2,2026-08-02..2026-08-31
22,2,13802,2.5,4.5,5.6,2026-08-02..2026-08-31
22,3,9335,2.4,3.6,7.0,2026-08-02..2026-08-31
22,6,28509,2.2,3.5,7.8,2026-08-02..2026-08-31
23,0,23126,1.9,2.3,2.6,2026-08-02..2026-08-31
23,1,13400,1.8,2.2,2.7,2026-08-02..2026-08-31
23,2,18472,1.8,2.5,3.5,2026-08-02..2026-08-31
23,3,16652,1.7,2.1,2.4,2026-08-02..2026-08-31
23,6,36673,2.0,2.6,3.0,2026-08-02..2026-08-31
