hour_utc,weekday,n,med_pips,p90_pips,p99_pips,period
0,0,25880,0.8,1.0,1.1,2026-08-02..2026-08-31
0,1,11130,0.8,1.0,1.1,2026-08-02..2026-08-31
0,2,9748,0.8,1.0,1.2,2026-08-02..2026-08-31
0,3,16155,0.8,1.0,1.1,2026-08-02..2026-08-31
0,4,11186,0.8,1.0,1.1,2026-08-02..2026-08-31
1,0,22008,0.8,1.0,1.1,2026-08-02..2026-08-31
1,1,13497,0.7,1.0,1.1,2026-08-02..2026-08-31
1,2,10584,0.7,0.9,1.1,2026-08-02..2026-08-31
1,3,14315,0.8,1.0,1.1,2026-08-02..2026-08-31
1,4,13385,0.8,1.0,1.1,2026-08-02..2026-08-31
2,0,12103,0.7,0.9,1.1,2026-08-02..2026-08-31
2,1,11313,0.8,1.0,1.1,2026-08-02..2026-08-31
2,2,11540,0.8,1.0,1.1,2026-08-02..2026-08-31
2,3,9351,0.7,0.9,1.0,2026-08-02..2026-08-31
2,4,8157,0.7,0.9,1.1,2026-08-02..2026-08-31
3,0,9206,0.7,1.0,1.2,2026-08-02..2026-08-31
3,1,9335,0.7,0.9,1.1,2026-08-02..2026-08-31
3,2,7459,0.8,1.0,1.1,2026-08-02..2026-08-31
3,3,7166,0.7,0.9,1.1,2026-08-02..2026-08-31
3,4,5762,0.7,0.9,1.1,2026-08-02..2026-08-31
4,0,10168,0.7,0.9,1.1,2026-08-02..2026-08-31
4,1,6695,0.8,1.0,1.1,2026-08-02..2026-08-31
4,2,5387,0.7,1.0,1.1,2026-08-02..2026-08-31
4,3,5501,0.7,0.9,1.1,2026-08-02..2026-08-31
4,4,5104,0.8,1.0,1.1,2026-08-02..2026-08-31
5,0,14222,0.7,1.0,1.2,2026-08-02..2026-08-31
5,1,8699,0.7,0.9,1.1,2026-08-02..2026-08-31
5,2,6886,0.7,1.0,1.2,2026-08-02..2026-08-31
5,3,7772,0.7,0.9,1.1,2026-08-02..2026-08-31
5,4,8279,0.8,1.0,1.2,2026-08-02..2026-08-31
