hour_utc,weekday,n,med_pips,p90_pips,p99_pips,period
0,0,43969,0.5,1.5,2.4,2026-08-02..2026-08-31
0,1,23442,0.4,0.6,1.1,2026-08-02..2026-08-31
0,2,17567,0.4,0.6,0.7,2026-08-02..2026-08-31
0,3,23591,0.4,0.6,0.7,2026-08-02..2026-08-31
0,4,17277,0.4,0.5,0.7,2026-08-02..2026-08-31
1,0,35786,0.5,1.5,2.2,2026-08-02..2026-08-31
1,1,16181,0.4,0.6,0.7,2026-08-02..2026-08-31
1,2,14930,0.4,0.6,0.7,2026-08-02..2026-08-31
1,3,17069,0.4,0.5,0.7,2026-08-02..2026-08-31
1,4,16365,0.4,0.5,0.7,2026-08-02..2026-08-31
2,0,18752,0.4,0.7,0.9,2026-08-02..2026-08-31
2,1,13568,0.4,0.6,0.7,2026-08-02..2026-08-31
2,2,18920,0.4,0.6,0.8,2026-08-02..2026-08-31
2,3,12139,0.4,0.5,0.7,2026-08-02..2026-08-31
2,4,9270,0.3,0.5,0.7,2026-08-02..2026-08-31
3,0,13423,0.4,0.6,0.9,2026-08-02..2026-08-31
3,1,10880,0.4,0.6,0.8,2026-08-02..2026-08-31
3,2,10022,0.4,0.6,0.7,2026-08-02..2026-08-31
3,3,8512,0.3,0.5,0.7,2026-08-02..2026-08-31
3,4,7734,0.4,0.5,0.7,2026-08-02..2026-08-31
4,0,14412,0.4,0.6,0.7,2026-08-02..2026-08-31
4,1,11137,0.4,0.6,0.7,2026-08-02..2026-08-31
4,2,9562,0.4,0.5,0.7,2026-08-02..2026-08-31
4,3,8296,0.3,0.5,0.8,2026-08-02..2026-08-31
4,4,6756,0.4,0.5,0.7,2026-08-02..2026-08-31
5,0,14859,0.4,0.6,0.7,2026-08-02..2026-08-31
5,1,10403,0.4,0.6,0.7,2026-08-02..2026-08-31
5,2,10756,0.4,0.6,0.7,2026-08-02..2026-08-31
5,3,11371,0.4,0.5,0.7,2026-08-02..2026-08-31
5,4,10144,0.4,0.6,0.7,2026-08-02..2026-08-31
6,0,24744,0.4,0.5,0.7,2026-08-02..2026-08-31
6,1,17592,0.4,0.5,0.7,2026-08-02..2026-08-31
6,2,17696,0.3,0.5,0.6,2026-08-02..2026-08-31
6,3,16023,0.3,0.5,0.6,2026-08-02..2026-08-31
6,4,17133,0.3,0.5,0.7,2026-08-02..2026-08-31
7,0,34628,0.4,0.5,0.7,2026-08-02..2026-08-31
7,1,18680,0.3,0.5,0.6,2026-08-02..2026-08-31
7,2,16241,0.3,0.5,0.6,2026-08-02..2026-08-31
7,3,16462,0.3,0.5,0.6,2026-08-02..2026-08-31
7,4,18005,0.3,0.5,0.6,2026-08-02..2026-08-31
8,0,29675,0.3,0.5,0.7,2026-08-02..2026-08-31
8,1,16483,0.3,0.5,0.7,2026-08-02..2026-08-31
8,2,16514,0.3,0.5,0.6,2026-08-02..2026-08-31
8,3,14781,0.3,0.5,0.6,2026-08-02..2026-08-31
8,4,17633,0.3,0.5,0.7,2026-08-02..2026-08-31
9,0,21507,0.3,0.5,0.7,2026-08-02..2026-08-31
9,1,15692,0.3,0.5,0.7,2026-08-02..2026-08-31
9,2,19412,0.3,0.5,0.8,2026-08-02..2026-08-31
9,3,15277,0.3,0.5,0.6,2026-08-02..2026-08-31
9,4,17132,0.3,0.5,0.7,2026-08-02..2026-08-31
10,0,22890,0.3,0.5,0.7,2026-08-02..2026-08-31
10,1,14784,0.3,0.5,0.7,2026-08-02..2026-08-31
10,2,13672,0.3,0.5,0.7,2026-08-02..2026-08-31
10,3,12793,0.3,0.5,0.6,2026-08-02..2026-08-31
10,4,13211,0.3,0.5,0.6,2026-08-02..2026-08-31
11,0,24428,0.3,0.5,0.7,2026-08-02..2026-08-31
11,1,20666,0.4,0.5,0.8,2026-08-02..2026-08-31
11,2,16538,0.3,0.5,0.7,2026-08-02..2026-08-31
11,3,16528,0.3,0.5,0.6,2026-08-02..2026-08-31
11,4,17823,0.3,0.5,0.6,2026-08-02..2026-08-31
12,0,30443,0.4,0.5,0.8,2026-08-02..2026-08-31
12,1,20362,0.4,0.5,0.7,2026-08-02..2026-08-31
12,2,40757,0.4,0.7,1.3,2026-08-02..2026-08-31
12,3,21612,0.3,0.5,1.0,2026-08-02..2026-08-31
12,4,37284,0.4,0.8,1.6,2026-08-02..2026-08-31
13,0,37361,0.3,0.5,0.7,2026-08-02..2026-08-31
13,1,25683,0.3,0.5,0.7,2026-08-02..2026-08-31
13,2,44483,0.3,0.5,0.7,2026-08-02..2026-08-31
13,3,25053,0.3,0.5,0.6,2026-08-02..2026-08-31
13,4,34128,0.3,0.5,0.7,2026-08-02..2026-08-31
14,0,37010,0.3,0.5,0.8,2026-08-02..2026-08-31
14,1,24151,0.3,0.5,0.7,2026-08-02..2026-08-31
14,2,36945,0.3,0.5,0.7,2026-08-02..2026-08-31
14,3,31799,0.3,0.5,0.7,2026-08-02..2026-08-31
14,4,41721,0.3,0.5,0.7,2026-08-02..2026-08-31
15,0,29038,0.3,0.5,0.6,2026-08-02..2026-08-31
15,1,20787,0.3,0.5,0.6,2026-08-02..2026-08-31
15,2,24359,0.3,0.5,0.6,2026-08-02..2026-08-31
15,3,26892,0.3,0.5,0.7,2026-08-02..2026-08-31
15,4,31261,0.3,0.5,0.6,2026-08-02..2026-08-31
16,0,20805,0.3,0.5,0.7,2026-08-02..2026-08-31
16,1,12307,0.3,0.5,0.6,2026-08-02..2026-08-31
16,2,17004,0.3,0.5,0.6,2026-08-02..2026-08-31
16,3,16376,0.3,0.5,0.6,2026-08-02..2026-08-31
16,4,23669,0.3,0.5,0.6,2026-08-02..2026-08-31
17,0,16832,0.3,0.5,0.6,2026-08-02..2026-08-31
17,1,9582,0.3,0.5,0.6,2026-08-02..2026-08-31
17,2,13192,0.3,0.5,0.6,2026-08-02..2026-08-31
17,3,11571,0.3,0.5,0.6,2026-08-02..2026-08-31
17,4,12286,0.3,0.5,0.6,2026-08-02..2026-08-31
18,0,20954,0.3,0.5,0.7,2026-08-02..2026-08-31
18,1,9461,0.3,0.5,0.7,2026-08-02..2026-08-31
18,2,15929,0.3,0.5,0.6,2026-08-02..2026-08-31
18,3,11108,0.3,0.5,0.6,2026-08-02..2026-08-31
18,4,11281,0.4,0.5,0.7,2026-08-02..2026-08-31
19,0,15609,0.3,0.5,0.6,2026-08-02..2026-08-31
19,1,11923,0.3,0.5,0.6,2026-08-02..2026-08-31
19,2,14064,0.3,0.5,0.6,2026-08-02..2026-08-31
19,3,10736,0.3,0.5,0.6,2026-08-02..2026-08-31
19,4,13751,0.4,0.5,0.7,2026-08-02..2026-08-31
20,0,8939,0.5,0.8,1.8,2026-08-02..2026-08-31
20,1,7909,0.4,0.9,1.6,2026-08-02..2026-08-31
20,2,7438,0.4,0.7,1.3,2026-08-02..2026-08-31
20,3,4774,0.4,0.8,1.5,2026-08-02..2026-08-31
20,4,11227,0.6,1.5,3.2,2026-08-02..2026-08-31
21,0,3572,3.6,6.89,18.1,2026-08-02..2026-08-31
21,1,3929,3.2,5.7,8.9,2026-08-02..2026-08-31
21,2,4879,2.8,4.5,6.9,2026-08-02..2026-08-31
21,3,4787,2.7,4.3,7.2,2026-08-02..2026-08-31
21,6,3718,6.1,16.53,26.48,2026-08-02..2026-08-31
22,0,6806,0.7,1.5,4.0,2026-08-02..2026-08-31
22,1,4370,0.7,1.3,3.3,2026-08-02..2026-08-31
22,2,4893,0.7,1.2,3.0,2026-08-02..2026-08-31
22,3,5023,0.7,1.0,2.9,2026-08-02..2026-08-31
22,6,17119,0.7,1.6,5.1,2026-08-02..2026-08-31
23,0,9284,0.5,0.7,1.0,2026-08-02..2026-08-31
23,1,4566,0.4,0.7,1.1,2026-08-02..2026-08-31
23,2,6423,0.4,0.6,0.8,2026-08-02..2026-08-31
23,3,5438,0.4,0.6,0.8,2026-08-02..2026-08-31
23,6,18110,0.6,0.9,1.1,2026-08-02..2026-08-31
