symbol,month,sign,sum,c_last
XAUUSD,2021-01,1,4,1897.77000
XAUUSD,2021-02,-1,-2,1846.93000
XAUUSD,2021-03,-1,-2,1734.30000
XAUUSD,2021-04,-1,-2,1706.48000
XAUUSD,2021-05,0,0,1768.96000
XAUUSD,2021-06,1,4,1906.21000
XAUUSD,2021-07,-1,-2,1769.82000
XAUUSD,2021-08,0,0,1813.96000
XAUUSD,2021-09,-1,-2,1813.44000
XAUUSD,2021-10,-1,-2,1756.60000
XAUUSD,2021-11,0,0,1782.90000
XAUUSD,2021-12,-1,-4,1774.57000
XAUUSD,2022-01,1,2,1828.38000
XAUUSD,2022-02,-1,-2,1797.02000
XAUUSD,2022-03,1,4,1908.49000
XAUUSD,2022-04,1,4,1937.00000
XAUUSD,2022-05,1,2,1897.01000
XAUUSD,2022-06,-1,-2,1837.53000
XAUUSD,2022-07,-1,-2,1807.06000
XAUUSD,2022-08,-1,-4,1765.48000
XAUUSD,2022-09,-1,-4,1710.94000
XAUUSD,2022-10,-1,-4,1662.04000
XAUUSD,2022-11,-1,-4,1633.53000
XAUUSD,2022-12,0,0,1768.41000
XAUUSD,2023-01,1,2,1823.69000
XAUUSD,2023-02,1,4,1927.96000
XAUUSD,2023-03,0,0,1826.35000
XAUUSD,2023-04,1,4,1969.45000
XAUUSD,2023-05,1,4,1989.58000
XAUUSD,2023-06,1,2,1962.25000
XAUUSD,2023-07,0,0,1918.76000
XAUUSD,2023-08,1,2,1964.68000
XAUUSD,2023-09,0,0,1940.01000
XAUUSD,2023-10,-1,-2,1848.58000
XAUUSD,2023-11,1,2,1983.75000
XAUUSD,2023-12,1,4,2035.90000
XAUUSD,2024-01,1,4,2062.66000
XAUUSD,2024-02,1,2,2039.26000
XAUUSD,2024-03,1,4,2044.04000
XAUUSD,2024-04,1,4,2233.82000
XAUUSD,2024-05,1,4,2285.82000
XAUUSD,2024-06,1,4,2329.18000
XAUUSD,2024-07,1,2,2326.40000
XAUUSD,2024-08,1,4,2447.20000
XAUUSD,2024-09,1,4,2503.39000
XAUUSD,2024-10,1,4,2634.42000
XAUUSD,2024-11,1,4,2743.76000
XAUUSD,2024-12,1,2,2650.40000
XAUUSD,2025-01,0,0,2624.19000
XAUUSD,2025-02,1,4,2798.12000
XAUUSD,2025-03,1,4,2857.30000
XAUUSD,2025-04,1,4,3123.95000
XAUUSD,2025-05,1,4,3288.45000
XAUUSD,2025-06,1,4,3289.33000
XAUUSD,2025-07,1,4,3302.72000
XAUUSD,2025-08,1,2,3289.86000
XAUUSD,2025-09,1,4,3447.94000
XAUUSD,2025-10,1,4,3858.93000
XAUUSD,2025-11,1,4,4002.90000
XAUUSD,2025-12,1,4,4219.19000
XAUUSD,2026-01,1,4,4319.05000
XAUUSD,2026-02,1,4,4889.93000
XAUUSD,2026-03,1,4,5278.53000
XAUUSD,2026-04,1,2,4668.90000
XAUUSD,2026-05,0,0,4622.47000
XAUUSD,2026-06,0,0,4538.46000
XAUUSD,2026-07,-1,-2,4007.59000
XAUUSD,2026-08,0,0,4041.37000
XAUUSD,2026-09,0,0,4447.30000
SPX500,2023-11,0,0,4183.30000
SPX500,2023-12,1,4,4563.56000
SPX500,2024-01,1,4,4766.33000
SPX500,2024-02,1,4,4846.98000
SPX500,2024-03,1,4,5090.49000
SPX500,2024-04,1,4,5246.08000
SPX500,2024-05,1,2,5025.98000
SPX500,2024-06,1,4,5285.08000
SPX500,2024-07,1,4,5471.08000
SPX500,2024-08,1,4,5531.75000
SPX500,2024-09,1,4,5642.08000
SPX500,2024-10,1,4,5752.91000
SPX500,2024-11,1,2,5703.90000
SPX500,2024-12,1,4,6035.53000
SPX500,2025-01,1,2,5885.97000
SPX500,2025-02,1,4,6034.97000
SPX500,2025-03,0,0,5946.97000
SPX500,2025-04,-1,-2,5600.50000
SPX500,2025-05,-1,-2,5595.39000
SPX500,2025-06,0,0,5903.11000
SPX500,2025-07,1,4,6196.04000
SPX500,2025-08,1,4,6336.96000
SPX500,2025-09,1,4,6461.53000
SPX500,2025-10,1,4,6671.73000
SPX500,2025-11,1,4,6839.55000
SPX500,2025-12,1,4,6841.78000
SPX500,2026-01,1,4,6844.13000
SPX500,2026-02,1,4,6933.13000
SPX500,2026-03,1,2,6862.18000
SPX500,2026-04,-1,-2,6524.52000
SPX500,2026-05,1,4,7214.66000
SPX500,2026-06,1,4,7576.28000
SPX500,2026-07,1,2,7483.32000
SPX500,2026-08,1,2,7474.91000
