symbol,month,sign,sum,c_last
XAUUSD,2017-03,0,0,1252.5999755859375
XAUUSD,2017-04,1,2,1247.300048828125
XAUUSD,2017-05,0,0,1266.0999755859375
XAUUSD,2017-06,0,0,1272.0
XAUUSD,2017-07,1,4,1240.699951171875
XAUUSD,2017-08,-1,-2,1266.5999755859375
XAUUSD,2017-09,1,2,1316.199951171875
XAUUSD,2017-10,1,4,1281.5
XAUUSD,2017-11,0,0,1267.0
XAUUSD,2017-12,0,0,1273.199951171875
XAUUSD,2018-01,1,2,1306.300048828125
XAUUSD,2018-02,1,4,1339.0
XAUUSD,2018-03,1,4,1315.5
XAUUSD,2018-04,0,0,1322.800048828125
XAUUSD,2018-05,1,4,1316.199951171875
XAUUSD,2018-06,0,0,1300.0999755859375
XAUUSD,2018-07,0,0,1251.300048828125
XAUUSD,2018-08,-1,-2,1223.699951171875
XAUUSD,2018-09,-1,-4,1200.300048828125
XAUUSD,2018-10,-1,-4,1191.5
XAUUSD,2018-11,-1,-4,1212.300048828125
XAUUSD,2018-12,-1,-2,1220.199951171875
XAUUSD,2019-01,0,0,1278.300048828125
XAUUSD,2019-02,1,2,1319.699951171875
XAUUSD,2019-03,1,2,1312.800048828125
XAUUSD,2019-04,0,0,1293.0
XAUUSD,2019-05,0,0,1282.800048828125
XAUUSD,2019-06,-1,-2,1305.800048828125
XAUUSD,2019-07,1,2,1409.699951171875
XAUUSD,2019-08,1,4,1426.0999755859375
XAUUSD,2019-09,1,4,1519.0999755859375
XAUUSD,2019-10,1,4,1465.699951171875
XAUUSD,2019-11,1,2,1511.4000244140625
XAUUSD,2019-12,1,4,1465.5999755859375
XAUUSD,2020-01,0,0,1519.5
XAUUSD,2020-02,1,4,1582.9000244140625
XAUUSD,2020-03,1,4,1564.0999755859375
XAUUSD,2020-04,1,2,1583.4000244140625
XAUUSD,2020-05,1,4,1684.199951171875
XAUUSD,2020-06,1,4,1751.699951171875
XAUUSD,2020-07,1,4,1800.5
XAUUSD,2020-08,1,4,1962.800048828125
XAUUSD,2020-09,1,4,1978.5999755859373
XAUUSD,2020-10,1,4,1895.5
XAUUSD,2020-11,1,2,1879.9000244140625
XAUUSD,2020-12,0,0,1775.699951171875
XAUUSD,2021-01,0,0,1895.0999755859373
XAUUSD,2021-02,1,2,1847.300048828125
XAUUSD,2021-03,-1,-2,1728.800048828125
XAUUSD,2021-04,-1,-2,1713.800048828125
XAUUSD,2021-05,-1,-2,1767.699951171875
XAUUSD,2021-06,0,0,1902.5
XAUUSD,2021-07,1,4,1771.5999755859375
XAUUSD,2021-08,-1,-2,1812.5999755859373
XAUUSD,2021-09,0,0,1818.0999755859373
XAUUSD,2021-10,0,0,1757.0
XAUUSD,2021-11,-1,-2,1783.9000244140625
XAUUSD,2021-12,0,0,1773.5999755859375
XAUUSD,2022-01,-1,-4,1828.5999755859373
XAUUSD,2022-02,1,2,1795.0
XAUUSD,2022-03,-1,-2,1900.699951171875
XAUUSD,2022-04,1,4,1949.199951171875
XAUUSD,2022-05,1,4,1911.699951171875
XAUUSD,2022-06,1,2,1842.699951171875
XAUUSD,2022-07,-1,-2,1807.300048828125
XAUUSD,2022-08,-1,-2,1762.9000244140625
XAUUSD,2022-09,-1,-4,1726.199951171875
XAUUSD,2022-10,-1,-4,1672.0
XAUUSD,2022-11,-1,-4,1640.699951171875
XAUUSD,2022-12,-1,-4,1746.0
XAUUSD,2023-01,0,0,1826.199951171875
XAUUSD,2023-02,1,2,1929.5
XAUUSD,2023-03,1,4,1836.699951171875
XAUUSD,2023-04,0,0,1969.0
XAUUSD,2023-05,1,4,1999.0999755859373
XAUUSD,2023-06,1,4,1963.9000244140625
XAUUSD,2023-07,1,2,1929.4000244140625
XAUUSD,2023-08,0,0,1970.5
XAUUSD,2023-09,1,2,1965.9000244140625
XAUUSD,2023-10,1,2,1866.0999755859373
XAUUSD,2023-11,-1,-2,1994.300048828125
XAUUSD,2023-12,1,2,2038.0999755859373
XAUUSD,2024-01,1,4,2071.800048828125
XAUUSD,2024-02,1,4,2048.39990234375
XAUUSD,2024-03,1,2,2054.699951171875
XAUUSD,2024-04,1,4,2217.39990234375
XAUUSD,2024-05,1,4,2302.89990234375
XAUUSD,2024-06,1,4,2322.89990234375
XAUUSD,2024-07,1,4,2339.60009765625
XAUUSD,2024-08,1,4,2426.5
XAUUSD,2024-09,1,4,2527.60009765625
XAUUSD,2024-10,1,4,2659.39990234375
XAUUSD,2024-11,1,4,2749.300048828125
XAUUSD,2024-12,1,4,2657.0
XAUUSD,2025-01,1,2,2641.0
XAUUSD,2025-02,0,0,2812.5
XAUUSD,2025-03,1,4,2848.5
XAUUSD,2025-04,1,4,3122.800048828125
XAUUSD,2025-05,1,4,3319.10009765625
XAUUSD,2025-06,1,4,3288.89990234375
XAUUSD,2025-07,1,2,3307.699951171875
XAUUSD,2025-08,1,4,3293.199951171875
XAUUSD,2025-09,0,0,3516.10009765625
XAUUSD,2025-10,1,4,3873.199951171875
XAUUSD,2025-11,1,4,3996.5
XAUUSD,2025-12,1,4,4254.89990234375
XAUUSD,2026-01,1,4,4341.10009765625
XAUUSD,2026-02,1,4,4745.10009765625
XAUUSD,2026-03,1,4,5247.89990234375
XAUUSD,2026-04,1,4,4647.60009765625
XAUUSD,2026-05,1,2,4629.60009765625
XAUUSD,2026-06,0,0,4593.0
XAUUSD,2026-07,0,0,4038.5
XAUUSD,2026-08,-1,-2,4036.300048828125
US500,2017-03,1,4,2363.639892578125
US500,2017-04,1,4,2362.719970703125
US500,2017-05,1,2,2384.199951171875
US500,2017-06,1,4,2411.800048828125
US500,2017-07,1,4,2423.409912109375
US500,2017-08,1,4,2470.300048828125
US500,2017-09,1,4,2471.64990234375
US500,2017-10,1,4,2519.360107421875
US500,2017-11,1,4,2575.260009765625
US500,2017-12,1,4,2647.580078125
US500,2018-01,1,4,2673.610107421875
US500,2018-02,1,4,2823.81005859375
US500,2018-03,1,4,2713.830078125
US500,2018-04,1,2,2640.8701171875
US500,2018-05,0,0,2648.050048828125
US500,2018-06,1,2,2705.27001953125
US500,2018-07,1,2,2718.3701171875
US500,2018-08,1,4,2816.2900390625
US500,2018-09,1,2,2901.52001953125
US500,2018-10,1,4,2913.97998046875
US500,2018-11,1,4,2711.739990234375
US500,2018-12,0,0,2760.169921875
US500,2019-01,1,2,2506.85009765625
US500,2019-02,-1,-4,2704.10009765625
US500,2019-03,-1,-2,2784.489990234375
US500,2019-04,1,2,2834.39990234375
US500,2019-05,1,2,2945.830078125
US500,2019-06,1,4,2752.06005859375
US500,2019-07,-1,-2,2941.760009765625
US500,2019-08,1,4,2980.3798828125
US500,2019-09,1,4,2926.4599609375
US500,2019-10,1,2,2976.739990234375
US500,2019-11,1,4,3037.56005859375
US500,2019-12,1,4,3140.97998046875
US500,2020-01,1,4,3230.780029296875
US500,2020-02,1,4,3225.52001953125
US500,2020-03,1,2,2954.219970703125
US500,2020-04,0,0,2584.590087890625
US500,2020-05,-1,-4,2912.429931640625
US500,2020-06,-1,-2,3044.31005859375
US500,2020-07,1,2,3100.2900390625
US500,2020-08,1,2,3271.1201171875
US500,2020-09,1,4,3500.31005859375
US500,2020-10,1,4,3363.0
US500,2020-11,1,2,3269.9599609375
US500,2020-12,0,0,3621.6298828125
US500,2021-01,1,4,3756.070068359375
US500,2021-02,1,4,3714.239990234375
US500,2021-03,1,2,3811.14990234375
US500,2021-04,1,4,3972.889892578125
US500,2021-05,1,4,4181.169921875
US500,2021-06,1,4,4204.10986328125
US500,2021-07,1,4,4297.5
US500,2021-08,1,4,4395.259765625
US500,2021-09,1,4,4522.68017578125
US500,2021-10,1,4,4307.5400390625
US500,2021-11,1,2,4605.3798828125
US500,2021-12,1,4,4567.0
US500,2022-01,1,2,4766.18017578125
US500,2022-02,1,4,4515.5498046875
US500,2022-03,0,0,4373.93994140625
US500,2022-04,-1,-2,4530.41015625
US500,2022-05,1,2,4131.93017578125
US500,2022-06,-1,-4,4132.14990234375
US500,2022-07,-1,-2,3785.3798828125
US500,2022-08,-1,-4,4130.2900390625
US500,2022-09,-1,-2,3955.0
US500,2022-10,-1,-4,3585.6201171875
US500,2022-11,-1,-4,3871.97998046875
US500,2022-12,-1,-2,4080.110107421875
US500,2023-01,0,0,3839.5
US500,2023-02,0,0,4076.60009765625
